,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
1237,open,7,303,42,macdh,205,205,2,34,0.82,239,392,87,229,941,103,98,157,112,84,947,30,11,851,648,310,202,51,589,338,149,84,953,895,515,70,114,109,870,433,34,201,123,49,91,19,82,195,41,1000,32,28,0.22,0.89,9.952569402364093,19.925985864092883,12.003920783339264,20.74716855882704,False,False,True,False,False,False,True,False,True,True,True,False,True,True,True,True,True,3.0642053947282046,True,False
1238,HLCC/4,73,184,25,macds,192,44,6,27,0.82,2758,677,131,174,895,196,97,759,156,230,187,86,219,879,874,634,477,382,355,505,373,288,3,31,858,665,471,199,663,473,76,203,407,36,803,41,79,55,48,790,43,37,0.06,0.33,11.569882978089725,17.815595493578382,10.608451161184258,17.728968504290155,False,False,True,False,False,True,True,True,False,False,True,True,False,False,True,True,True,27.25970792362191,True,False
1239,OHLC/4,63,171,47,macds,224,88,5,24,0.13,1920,889,14,86,435,186,27,438,37,248,970,7,80,261,558,491,185,175,817,883,269,22,709,249,328,805,895,534,237,276,22,70,73,31,227,23,65,81,24,555,21,5,0.03,0.33,0.82,0.82,0.98,0.92,True,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,False,3.1538620331867104,True,False
1240,HLC/3,59,65,19,macdh,185,208,4,12,0.1,2485,562,20,98,983,176,175,857,180,67,92,221,86,441,817,346,205,33,543,628,398,133,686,985,963,215,372,996,446,935,40,193,177,35,391,43,61,210,38,613,9,44,0.56,0.52,13.931390754323322,17.556353808789655,12.539979145025113,17.749715174625223,True,True,False,False,True,True,False,False,False,False,True,False,False,True,True,True,False,3.059128556035018,True,False
1241,high,69,237,37,macd,245,9,6,35,0.59,1029,281,141,110,248,190,229,14,161,44,830,101,179,599,967,587,451,367,723,263,304,228,574,650,598,493,805,439,707,411,23,249,544,36,907,25,96,140,29,372,14,30,0.56,0.94,8.499180096943602,16.998360193887205,12.056083899294809,17.947902694665956,True,True,False,True,True,False,False,False,True,False,True,False,True,True,True,False,True,31.62277660168379,True,False
1242,high,82,252,44,macds,10,18,6,4,0.06,2066,925,35,189,762,210,75,437,74,135,65,192,127,539,520,403,319,176,990,756,258,54,503,855,777,244,206,434,912,422,22,41,568,24,386,30,39,184,13,577,24,12,0.42,0.92,0.93,0.8,0.98,0.94,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,True,True,3.0652977264777546,True,False
1243,HL/2,52,169,33,macd,132,157,3,9,0.94,1403,726,193,71,696,99,29,680,98,194,453,150,83,971,593,305,470,215,976,655,324,61,953,706,293,624,708,539,347,179,34,166,401,13,864,13,107,160,11,493,5,2,0.57,0.82,9.69,15.36,7.93,11.64,True,True,False,True,False,False,False,False,True,True,True,True,False,True,True,True,True,20.23940854644736,True,False
1244,HL/2,66,178,44,macdh,7,58,6,14,0.11,2112,649,200,149,963,75,102,70,79,148,788,63,217,761,254,809,294,29,988,517,434,402,163,1000,443,819,180,954,827,532,67,182,484,48,277,13,95,122,12,473,11,4,0.14,0.36,5.64,12.61,7.58,13.54,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,9.712699664481407,True,False
1245,low,137,308,46,macdh,190,228,3,27,0.41,1938,450,185,51,55,99,206,16,122,179,329,69,116,786,832,593,430,134,919,659,359,213,622,257,965,67,758,602,226,790,64,260,526,20,674,45,97,142,39,228,9,43,0.87,0.14,12.352224466315745,18.916308734182305,11.774329159388502,21.138356279125027,False,True,True,False,True,False,False,False,True,False,True,True,True,False,True,True,True,11.4119597981127,True,False
1246,HLC/3,27,121,15,macds,248,203,5,20,0.55,2478,779,148,216,424,146,208,318,230,215,520,38,146,951,946,616,473,354,874,813,200,144,81,69,82,845,442,906,466,545,2,55,218,33,55,50,109,163,37,87,12,31,0.44,0.68,6.66,17.69,4.75,14.74,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,11.763546063806416,True,False
1247,OHLC/4,38,152,35,macds,62,141,6,11,0.17,2137,334,214,14,886,92,76,678,23,180,569,113,69,439,809,547,471,350,912,847,400,363,221,552,168,553,627,843,419,426,7,52,233,27,110,22,30,121,46,642,2,6,0.45,0.74,0.93,0.82,0.94,0.99,True,False,True,True,False,True,False,False,False,True,False,False,False,True,True,False,True,17.89371836874867,True,False
1248,close,119,214,14,macd,97,243,4,27,0.04,2607,448,66,28,513,190,225,391,231,250,557,89,237,911,991,795,216,114,799,641,176,105,821,868,234,756,765,321,129,828,2,252,419,37,248,11,26,141,27,539,23,10,0.96,0.46,0.96,0.83,1.0,0.97,True,True,False,False,True,False,True,True,True,False,True,False,False,False,False,True,True,27.125299143974324,True,False
1249,low,62,114,9,macds,78,131,4,35,0.48,576,410,216,184,459,244,177,398,197,70,718,196,136,678,876,819,485,382,828,160,324,262,142,659,571,180,677,958,915,63,5,7,309,42,425,16,83,33,45,304,5,22,0.86,0.08,5.87,14.36,2.38,10.41,True,False,False,True,False,True,True,False,False,False,True,True,False,True,True,False,True,10.65852947984804,True,False
1250,HLC/3,137,301,19,macdh,135,225,5,7,0.33,2513,477,237,202,50,17,102,791,167,44,670,230,177,824,504,233,205,134,550,65,128,47,600,468,818,874,778,711,318,681,14,241,74,11,764,30,74,105,50,132,23,26,0.13,0.65,0.89,0.89,0.85,0.9,False,False,True,False,False,False,False,True,True,False,True,False,False,True,True,True,True,12.9938172158318,True,False
1251,low,31,298,22,macdh,55,197,3,40,0.28,2183,951,143,74,79,35,28,500,100,137,102,134,215,489,885,466,182,88,532,543,311,191,321,745,717,900,522,679,578,174,89,151,508,45,236,18,84,22,29,312,13,24,0.07,0.27,14.26157284592764,20.12895467927188,6.0231612114220425,17.158547150578997,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,False,18.13932908519569,True,False
1252,OHLC/4,87,311,24,macdh,226,59,5,50,0.57,837,992,21,126,645,216,88,151,192,26,994,231,192,414,406,523,207,129,712,683,338,127,854,696,34,768,773,734,378,507,45,261,291,50,338,4,38,133,33,709,18,24,0.97,0.5,12.466620023350336,21.43366982767412,10.424353738020685,23.9754354875165,True,True,True,False,False,True,False,True,False,True,True,False,False,False,False,True,True,23.331565626514703,True,False
1253,OHLC/4,8,114,39,macd,48,74,3,9,0.33,789,378,63,13,784,94,21,269,47,96,137,94,34,102,399,755,235,26,626,398,79,45,838,122,834,518,367,96,330,47,4,304,510,6,451,49,56,69,1,357,12,9,0.12,0.07,0.9,0.94,0.87,0.91,True,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,28.78910156716288,True,False
1254,HLC/3,6,204,42,macds,79,32,6,15,0.3,1877,616,90,38,640,58,74,391,15,73,556,81,100,474,795,478,125,99,770,558,102,79,117,101,971,942,761,24,930,160,10,200,498,15,665,25,75,143,4,918,9,19,0.01,0.13,9.88539451392753,16.146772952091442,13.023754246094615,18.196412153918114,True,False,True,True,True,False,True,False,True,False,False,True,False,True,True,True,True,3.121233565044517,True,False
1255,HLC/3,116,255,23,macd,53,13,3,19,0.15,948,509,82,66,935,19,7,266,23,61,745,22,54,719,748,477,305,209,426,323,462,361,674,479,469,849,223,9,552,880,95,290,148,1,927,8,58,192,9,960,21,16,0.13,0.09,15.625780644702465,16.66432842887958,9.072819208274773,23.627397629531387,True,False,True,True,True,True,False,False,True,True,True,False,False,False,False,True,True,17.57875658573528,True,False
1256,close,10,90,29,macd,93,58,5,15,0.29,204,965,63,65,171,12,98,39,44,2,407,7,90,219,621,601,100,46,922,182,423,298,632,768,10,687,559,657,213,546,36,98,55,5,691,27,78,175,5,528,3,17,0.01,0.06,0.61,0.94,0.82,0.81,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,False,25.80221023981565,True,False
