,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
20,low,150,1451,30,macdh,187,210,6,24,0.99,632,135,42,102,154,81,15,864,222,35,813,113,102,692,501,426,175,23,178,130,425,10,354,195,290,925,568,933,486,858,347,911,2091,7,928,36,63,116,19,797,46,8,0.72,0.09,15.37,17.17,16.46,16.86,False,False,False,True,True,True,False,True,False,True,True,True,True,False,True,True,True,-1.0,True,False
21,HLC/3,120,346,15,macds,116,107,6,20,0.66,1752,419,2,233,1000,87,170,854,166,138,3,233,86,575,926,508,372,268,233,953,163,153,534,427,817,370,823,478,38,51,488,1339,431,21,559,9,16,82,28,813,50,30,0.71,0.67,18.33,19.87,17.93,15.46,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,True,True,-1.0,True,False
22,high,779,1330,28,macdh,167,23,6,26,0.06,546,810,130,34,604,250,115,240,7,153,331,111,152,603,975,871,234,174,27,596,408,189,747,139,935,305,158,111,964,147,105,1295,2391,25,435,25,29,92,43,334,39,17,0.78,0.27,17.9,15.46,19.94,16.4,True,True,False,False,False,True,False,True,True,True,True,False,False,False,True,False,False,-1.0,True,False
23,high,715,943,38,macdh,100,12,6,42,0.23,164,139,214,55,628,117,134,273,30,236,708,10,76,680,711,606,264,254,690,460,303,62,519,86,171,362,887,76,647,773,41,889,2458,50,520,18,51,193,41,500,11,3,0.74,0.74,17.25,16.96,15.29,19.81,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,-1.0,True,False
24,low,307,1242,33,macds,97,137,6,14,0.44,267,359,32,74,314,121,129,671,40,24,218,16,124,698,239,588,243,63,152,57,405,61,128,942,672,343,623,117,692,113,363,460,1082,32,355,6,63,178,21,77,18,43,0.42,0.21,18.0,19.85,17.91,17.09,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,-1.0,True,False
25,HL/2,411,1135,41,macd,71,202,6,15,0.71,895,686,217,207,390,128,45,3,247,66,68,94,42,815,986,263,167,63,827,649,394,216,352,906,500,139,88,371,552,338,120,228,2342,31,262,24,47,197,7,927,3,1,0.45,0.58,16.38,18.8,19.5,17.11,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,-1.0,True,False
26,HLCC/4,677,1331,18,macd,19,172,6,21,0.64,1080,432,190,120,279,51,186,28,59,191,287,215,157,348,693,483,175,167,123,671,349,190,656,150,142,947,589,803,589,166,181,589,1858,28,399,7,54,204,15,428,37,39,0.07,0.35,19.44,17.32,17.65,19.32,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,-1.0,True,False
27,HLCC/4,778,1191,33,macdh,164,152,4,34,0.88,1081,51,106,196,279,77,84,621,48,137,224,140,37,463,278,923,364,187,808,71,422,411,804,701,694,764,353,952,903,80,394,899,830,21,588,34,82,43,31,256,18,3,0.88,0.42,15.468067521337806,15.468067521337806,3.4427112559513806,3.4427112559513806,False,True,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,44.59979525146244,True,False
28,HLC/3,420,1089,40,macds,165,215,5,2,0.4,2799,415,144,142,724,235,157,186,41,74,298,192,64,18,495,617,314,226,77,421,120,73,66,248,973,823,166,233,220,522,239,833,2230,24,340,41,96,200,42,431,19,19,0.36,0.48,8.150735047729444,16.06301973084881,2.7921331584479967,3.1874348307742912,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,-1.0,True,False
29,close,189,840,26,macdh,11,99,6,29,0.72,1644,927,80,203,483,125,244,440,230,55,161,192,140,968,229,209,298,188,66,670,490,95,81,220,989,374,153,894,119,534,97,226,2025,30,256,20,71,195,42,120,34,19,0.55,0.19,15.35,16.96,18.77,17.91,True,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,-1.0,True,False
