,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
66,low,574,1490,35,macds,27,101,6,47,0.4,2679,92,91,156,129,83,58,463,75,245,502,187,111,557,954,339,334,286,935,338,198,145,647,538,306,577,629,384,967,18,36,487,1150,22,857,296,1183,37,3,834,49,13,0.83,0.5,24,32,0.99,0.97,0.81,0.83,False,False,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,-1,True,False
67,close,85,644,41,macdh,168,170,6,45,0.57,2795,437,155,183,845,127,72,292,240,248,949,35,198,694,52,32,455,62,135,968,483,62,428,314,285,10,202,390,157,186,337,1101,1714,28,227,35,38,50,22,495,7,4,0.56,0.86,10,22,0.89,0.98,0.82,0.81,True,False,True,True,True,True,False,True,True,True,False,True,True,False,False,False,True,-1,True,False
68,close,501,1307,39,macdh,59,159,6,27,0.54,1428,96,25,220,498,134,82,372,108,169,167,248,18,455,839,393,172,169,915,436,160,34,264,470,863,951,550,981,281,15,140,389,1510,11,811,22,31,173,37,877,34,3,0.4,0.03,28,17,0.92,0.96,0.81,0.83,True,True,True,True,False,True,True,False,False,True,True,True,False,False,False,False,True,-1,True,False
69,low,498,1086,5,macd,52,45,6,23,0.51,2929,837,206,127,870,202,97,552,87,155,598,16,191,891,575,183,149,35,224,885,284,47,776,293,250,679,801,103,469,87,429,833,669,14,427,46,54,163,11,675,30,44,0.03,0.31,29,31,0.98,0.83,0.82,0.94,True,False,False,False,True,False,False,True,True,True,True,False,False,False,True,True,True,-1,True,False
70,HLC/3,101,766,14,macd,172,194,6,42,0.51,1114,598,186,68,731,185,211,233,16,64,691,224,16,619,777,765,247,124,717,449,203,111,820,470,874,350,896,368,519,398,79,1017,1012,20,385,18,85,133,24,679,46,42,0.16,0.21,8,31,0.84,0.96,0.85,0.8,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,-1,True,False
71,HL/2,67,342,12,macds,16,234,6,1,0.47,2261,608,129,141,172,70,24,295,92,81,526,150,166,59,508,281,187,159,202,178,141,86,92,108,999,666,225,246,253,1000,386,1352,1018,24,18,2,102,131,23,709,2,42,0.89,0.18,22,46,0.83,0.84,0.92,0.98,True,True,False,True,False,True,True,True,False,True,False,True,False,False,True,True,False,-1,True,False
72,HLCC/4,70,1235,9,macds,141,104,6,48,0.08,369,852,56,150,164,211,249,837,115,203,68,185,238,498,996,537,129,12,172,425,359,84,170,518,346,122,759,691,377,757,2,1037,2450,35,443,213,216,120,10,163,48,28,0.45,0.71,47,7,0.87,0.81,0.8,0.9,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,True,True,-1,True,False
73,open,393,815,43,macds,250,63,6,45,0.42,1012,106,31,93,631,183,25,654,65,238,706,201,121,405,854,547,342,178,200,196,161,56,24,190,354,174,439,121,284,527,463,595,320,33,413,50,108,77,10,824,39,26,0.53,0.22,21,24,0.87,0.81,0.92,0.93,True,False,False,True,False,True,True,True,True,False,True,False,True,True,False,False,True,-1,True,False
74,high,680,1368,30,macds,4,80,6,1,0.26,2215,385,85,198,949,179,106,257,137,74,336,187,74,569,960,919,408,254,101,517,288,4,903,278,578,926,932,593,389,315,279,1375,918,13,555,10,33,131,16,136,46,48,0.46,0.7,50,19,0.92,0.92,0.81,0.84,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,False,-1,True,False
75,HL/2,473,1174,17,macd,105,167,6,40,0.85,744,197,241,202,20,144,154,818,3,22,951,198,48,823,970,751,309,135,199,402,344,169,159,340,485,993,973,109,316,113,212,833,2171,44,233,9,19,210,39,271,5,13,0.88,0.26,44,3,0.94,0.91,0.81,0.94,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,True,-1,True,False
76,HL/2,316,523,28,macdh,224,76,6,17,0.13,59,769,41,142,785,172,40,480,243,17,994,104,124,721,760,622,429,249,182,671,211,26,614,464,987,86,200,886,262,754,8,21,289,8,169,30,55,172,19,151,29,19,0.03,0.53,23,27,0.94,0.83,0.89,0.85,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,-1,True,False
77,close,183,551,6,macdh,229,138,6,30,0.3,2388,923,10,214,659,126,243,836,22,34,510,85,86,710,752,397,251,18,707,223,469,140,623,883,633,607,628,340,21,763,20,617,2123,4,125,40,62,156,23,232,41,6,0.59,0.16,15,12,0.85,0.9,0.85,0.99,False,False,True,True,False,False,True,False,False,False,False,True,True,True,False,True,True,-1,True,False
78,HL/2,64,619,6,macdh,209,149,6,11,0.72,904,752,178,144,526,219,228,165,60,58,337,75,170,257,839,753,468,103,357,309,93,58,592,309,329,122,151,609,398,914,141,475,2005,13,152,264,517,87,37,925,24,36,0.05,0.47,2,44,0.91,0.93,0.83,0.89,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,False,-1,True,False
79,OHLC/4,614,905,35,macds,124,175,6,27,0.98,110,773,40,91,305,117,179,858,127,225,842,227,135,598,986,728,467,407,65,950,432,103,602,85,900,945,623,619,15,443,137,492,347,44,44,5,13,73,50,40,21,38,0.13,0.35,19,1,0.99,0.83,0.87,0.98,False,True,True,True,False,True,False,False,False,False,True,True,True,False,False,False,True,-1,True,False
80,high,599,827,32,macdh,87,119,6,8,0.67,715,797,91,201,608,48,234,638,77,218,104,189,162,186,588,873,85,18,638,514,277,58,792,159,639,71,526,798,129,556,395,705,1000,9,640,428,470,122,25,805,36,23,0.93,0.01,40,2,0.83,0.88,0.85,0.86,True,True,False,False,False,True,True,False,False,False,False,True,True,True,False,True,True,-1,True,False
81,open,136,1020,8,macds,142,216,2,10,0.7,1634,557,68,2,285,153,52,510,38,217,290,239,26,951,927,345,378,309,250,729,274,27,794,791,965,223,88,798,789,686,283,809,1416,19,453,13,22,22,37,785,36,19,0.55,0.2,44,2,0.0,0.0,0.0,0.0,False,True,False,True,True,False,False,False,True,False,False,True,True,True,True,True,True,-1,True,False
82,HLC/3,753,799,42,macds,37,217,6,28,0.11,1798,667,204,95,409,155,11,423,63,244,670,45,141,969,888,697,284,191,751,271,486,40,29,924,603,166,88,661,772,726,192,635,2362,45,470,87,1370,187,41,770,23,30,0.26,0.85,23,38,0.97,0.9,0.9,0.85,True,True,False,True,False,True,False,True,False,False,True,True,False,True,True,True,True,-1,True,False
83,low,765,1388,38,macd,21,76,6,29,0.44,2407,830,87,86,225,83,137,721,235,53,994,202,146,517,993,374,196,40,178,574,391,11,998,98,976,91,358,230,559,495,103,792,115,18,382,9,37,47,11,723,45,49,0.01,0.03,15,11,0.85,0.88,0.96,0.92,True,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,-1,True,False
84,close,628,1380,19,macdh,175,4,6,14,0.33,1712,318,107,70,20,38,118,151,132,30,53,210,54,557,831,263,257,147,551,544,209,14,418,816,81,682,84,103,362,319,85,150,327,21,406,50,81,42,10,548,3,40,0.19,0.93,2,9,0.89,0.81,0.83,0.88,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,-1,True,False
85,low,184,791,6,macd,14,98,6,11,0.5,1097,661,243,159,268,234,155,789,156,71,830,9,191,362,492,275,249,217,199,22,460,161,448,64,847,460,316,203,735,253,395,435,1185,4,128,32,107,175,23,5,13,24,0.26,0.23,26,24,0.93,0.82,0.84,0.89,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,-1,True,False
86,HL/2,210,512,23,macdh,27,246,6,15,0.29,673,166,70,230,228,35,230,727,173,89,204,124,160,728,916,669,99,90,961,230,36,12,276,501,282,88,65,900,510,437,429,1237,2063,37,883,45,70,12,22,757,37,32,0.22,0.01,17,13,0.91,0.85,0.94,0.99,True,True,False,False,True,True,True,True,False,False,True,True,True,False,True,True,False,-1,True,False
