,LTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
154,LTCUSD_i,196.41,194.2,193.28,196.44,194.86,194.64000000000001,194.53000000000003,195.0825,21840,2021-03-30 23:00:00
155,LTCUSD_i,195.22,194.83,193.82,195.53,194.675,194.7266666666667,194.75250000000003,194.85000000000002,12210,2021-03-31 01:00:00
156,LTCUSD_i,194.83,195.67,194.51,196.35,195.43,195.51,195.54999999999998,195.34,13900,2021-03-31 02:00:00
157,LTCUSD_i,195.67,197.59,194.94,197.59,196.265,196.70666666666668,196.9275,196.4475,17270,2021-03-31 03:00:00
158,LTCUSD_i,197.59,196.94,196.44,197.6,197.01999999999998,196.99333333333334,196.98000000000002,197.1425,12760,2021-03-31 04:00:00
159,LTCUSD_i,196.94,195.87,195.47,196.95,196.20999999999998,196.09666666666666,196.04,196.3075,14900,2021-03-31 05:00:00
160,LTCUSD_i,195.87,193.43,191.44,195.87,193.655,193.58,193.54250000000002,194.1525,25940,2021-03-31 06:00:00
161,LTCUSD_i,193.43,193.14,192.3,193.57,192.935,193.00333333333333,193.0375,193.11,13410,2021-03-31 07:00:00
162,LTCUSD_i,193.14,194.55,192.69,195.05,193.87,194.09666666666666,194.20999999999998,193.8575,10350,2021-03-31 08:00:00
163,LTCUSD_i,194.54,197.37,194.44,198.81,196.625,196.87333333333333,196.9975,196.29,27190,2021-03-31 09:00:00
164,LTCUSD_i,197.37,192.13,190.26,197.58,193.92000000000002,193.32333333333335,193.025,194.335,35120,2021-03-31 10:00:00
165,LTCUSD_i,192.13,190.51,186.94,192.7,189.82,190.04999999999998,190.165,190.57,49030,2021-03-31 11:00:00
166,LTCUSD_i,190.51,190.15,189.31,191.25,190.28,190.23666666666668,190.215,190.305,23580,2021-03-31 12:00:00
167,LTCUSD_i,190.13,188.69,187.69,190.73,189.20999999999998,189.03666666666663,188.95,189.30999999999997,32000,2021-03-31 13:00:00
168,LTCUSD_i,188.69,190.36,188.68,190.92,189.8,189.98666666666668,190.08,189.66250000000002,14470,2021-03-31 14:00:00
169,LTCUSD_i,190.36,190.97,189.28,191.3,190.29000000000002,190.51666666666668,190.63000000000002,190.47750000000002,22480,2021-03-31 15:00:00
170,LTCUSD_i,190.97,192.73,190.97,193.51,192.24,192.40333333333334,192.485,192.04500000000002,16890,2021-03-31 16:00:00
171,LTCUSD_i,192.73,192.25,192.0,193.31,192.655,192.51999999999998,192.4525,192.5725,16700,2021-03-31 17:00:00
172,LTCUSD_i,192.25,193.04,192.25,194.41,193.32999999999998,193.23333333333332,193.18499999999997,192.98749999999998,22750,2021-03-31 18:00:00
173,LTCUSD_i,193.04,191.63,190.71,193.91,192.31,192.08333333333334,191.97,192.3225,22150,2021-03-31 19:00:00
174,LTCUSD_i,191.63,192.21,191.19,192.81,192.0,192.07000000000002,192.10500000000002,191.96,21800,2021-03-31 20:00:00
175,LTCUSD_i,192.21,193.69,191.71,193.82,192.765,193.07333333333335,193.22750000000002,192.85750000000002,18040,2021-03-31 21:00:00
176,LTCUSD_i,193.69,192.7,192.28,194.91,193.595,193.29666666666665,193.14749999999998,193.39499999999998,29860,2021-03-31 22:00:00
177,LTCUSD_i,192.68,195.34,192.22,196.08,194.15,194.54666666666665,194.745,194.07999999999998,27440,2021-03-31 23:00:00
178,LTCUSD_i,195.01,194.48,194.44,196.59,195.515,195.17,194.9975,195.13,21470,2021-04-01 01:00:00
179,LTCUSD_i,194.48,196.39,194.42,197.36,195.89,196.05666666666664,196.14,195.6625,21960,2021-04-01 02:00:00
180,LTCUSD_i,196.39,199.13,196.39,200.44,198.415,198.65333333333334,198.7725,198.0875,28460,2021-04-01 03:00:00
181,LTCUSD_i,199.13,198.56,197.74,199.67,198.70499999999998,198.65666666666667,198.6325,198.775,14890,2021-04-01 04:00:00
182,LTCUSD_i,198.49,197.96,197.44,198.99,198.215,198.13,198.0875,198.22,13900,2021-04-01 05:00:00
183,LTCUSD_i,197.96,197.17,196.45,198.16,197.305,197.26,197.23749999999998,197.435,13010,2021-04-01 06:00:00
184,LTCUSD_i,197.17,195.85,194.74,197.44,196.09,196.01,195.97,196.29999999999998,19550,2021-04-01 07:00:00
185,LTCUSD_i,195.85,195.55,194.73,196.28,195.505,195.51999999999998,195.52749999999997,195.6025,18670,2021-04-01 08:00:00
186,LTCUSD_i,195.51,195.43,194.97,196.91,195.94,195.76999999999998,195.685,195.70499999999998,14250,2021-04-01 09:00:00
187,LTCUSD_i,195.43,196.83,193.9,197.32,195.61,196.01666666666668,196.22000000000003,195.87,23770,2021-04-01 10:00:00
188,LTCUSD_i,196.83,197.31,195.44,199.03,197.235,197.26,197.27249999999998,197.1525,31340,2021-04-01 11:00:00
189,LTCUSD_i,197.31,196.56,196.28,198.71,197.495,197.1833333333333,197.02749999999997,197.21499999999997,24690,2021-04-01 12:00:00
190,LTCUSD_i,196.58,195.4,194.7,197.33,196.015,195.80999999999997,195.70749999999998,196.0025,20400,2021-04-01 13:00:00
191,LTCUSD_i,195.4,195.86,193.94,196.11,195.025,195.30333333333337,195.44250000000002,195.32750000000001,20430,2021-04-01 14:00:00
192,LTCUSD_i,195.86,195.51,194.69,196.03,195.36,195.41,195.435,195.5225,16520,2021-04-01 15:00:00
193,LTCUSD_i,195.49,196.24,195.46,197.07,196.265,196.25666666666666,196.2525,196.065,17570,2021-04-01 16:00:00
194,LTCUSD_i,196.24,201.61,195.02,201.67,198.345,199.4333333333333,199.9775,198.635,28200,2021-04-01 17:00:00
195,LTCUSD_i,201.63,203.65,200.47,204.4,202.435,202.84,203.0425,202.5375,37610,2021-04-01 18:00:00
196,LTCUSD_i,203.66,202.23,201.26,204.66,202.95999999999998,202.71666666666667,202.595,202.9525,38760,2021-04-01 19:00:00
197,LTCUSD_i,202.23,198.73,196.98,202.66,199.82,199.45666666666668,199.275,200.15,26350,2021-04-01 20:00:00
198,LTCUSD_i,198.72,199.9,195.69,200.0,197.845,198.53,198.8725,198.57750000000001,36100,2021-04-01 21:00:00
199,LTCUSD_i,199.9,201.2,199.74,201.66,200.7,200.86666666666665,200.95,200.62499999999997,29530,2021-04-01 22:00:00
200,LTCUSD_i,201.2,200.84,200.44,202.06,201.25,201.11333333333334,201.04500000000002,201.135,18480,2021-04-01 23:00:00
201,LTCUSD_i,204.5,205.21,204.49,205.32,204.905,205.00666666666666,205.0575,204.88,3235,2021-04-02 12:00:00
202,LTCUSD_i,205.21,204.61,203.99,205.21,204.60000000000002,204.60333333333335,204.60500000000002,204.75500000000002,13820,2021-04-02 13:00:00
203,LTCUSD_i,204.61,205.52,204.02,205.53,204.775,205.02333333333334,205.1475,204.92000000000002,11900,2021-04-02 14:00:00
204,LTCUSD_i,205.52,204.66,202.94,205.96,204.45,204.51999999999998,204.55499999999998,204.76999999999998,21440,2021-04-02 15:00:00
205,LTCUSD_i,204.66,202.44,201.03,204.66,202.845,202.71,202.64249999999998,203.1975,22610,2021-04-02 16:00:00
206,LTCUSD_i,202.44,207.22,202.21,207.46,204.835,205.63,206.0275,204.83249999999998,32520,2021-04-02 17:00:00
207,LTCUSD_i,207.22,207.61,206.31,209.01,207.66,207.64333333333335,207.63500000000002,207.53750000000002,22800,2021-04-02 18:00:00
208,LTCUSD_i,207.61,208.43,205.74,211.51,208.625,208.56000000000003,208.52750000000003,208.32250000000002,35010,2021-04-02 19:00:00
209,LTCUSD_i,208.43,206.53,206.02,208.53,207.275,207.02666666666667,206.9025,207.3775,25710,2021-04-02 20:00:00
210,LTCUSD_i,206.53,205.6,205.19,207.02,206.10500000000002,205.9366666666667,205.85250000000002,206.085,14590,2021-04-02 21:00:00
211,LTCUSD_i,205.6,204.91,203.69,205.6,204.64499999999998,204.73333333333332,204.77749999999997,204.95,26520,2021-04-02 22:00:00
212,LTCUSD_i,204.85,205.91,204.31,206.07,205.19,205.42999999999998,205.54999999999998,205.285,21365,2021-04-02 23:00:00
213,LTCUSD_i,201.8,201.68,200.15,202.38,201.265,201.40333333333334,201.47250000000003,201.5025,22020,2021-04-05 01:00:00
214,LTCUSD_i,201.7,202.04,201.65,203.6,202.625,202.42999999999998,202.33249999999998,202.2475,19780,2021-04-05 02:00:00
