,AUDUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1269,AUDUSD_i,0.77076,0.77072,0.76975,0.77131,0.77053,0.7705933333333334,0.770625,0.7706350000000001,3999,2021-03-08 02:00:00
1270,AUDUSD_i,0.77072,0.77083,0.77006,0.77119,0.770625,0.7706933333333333,0.7707275,0.7706999999999999,5529,2021-03-08 03:00:00
1271,AUDUSD_i,0.77083,0.76951,0.76873,0.77118,0.769955,0.7698066666666666,0.7697324999999999,0.7700625,6041,2021-03-08 04:00:00
1272,AUDUSD_i,0.76952,0.76897,0.7685,0.76963,0.769065,0.7690333333333333,0.7690175,0.769155,6097,2021-03-08 05:00:00
1273,AUDUSD_i,0.76897,0.76998,0.7686,0.7703,0.76945,0.7696266666666666,0.7697149999999999,0.7694624999999999,4324,2021-03-08 06:00:00
1274,AUDUSD_i,0.76998,0.77074,0.76978,0.77091,0.7703450000000001,0.7704766666666667,0.7705425,0.7703525,5727,2021-03-08 07:00:00
1275,AUDUSD_i,0.77072,0.76929,0.76926,0.77135,0.770305,0.7699666666666666,0.7697974999999999,0.7701549999999999,4710,2021-03-08 08:00:00
1276,AUDUSD_i,0.76932,0.76743,0.76687,0.76962,0.7682450000000001,0.7679733333333334,0.7678375000000001,0.76831,6261,2021-03-08 09:00:00
1277,AUDUSD_i,0.76742,0.76615,0.76499,0.76803,0.76651,0.76639,0.7663300000000001,0.7666475,7388,2021-03-08 10:00:00
1278,AUDUSD_i,0.76614,0.7646,0.76356,0.76628,0.76492,0.7648133333333332,0.7647599999999999,0.765145,6545,2021-03-08 11:00:00
1279,AUDUSD_i,0.7646,0.76595,0.76415,0.76635,0.76525,0.7654833333333334,0.7656000000000001,0.7652625,4703,2021-03-08 12:00:00
1280,AUDUSD_i,0.76596,0.76578,0.76541,0.76673,0.76607,0.7659733333333333,0.765925,0.76597,4823,2021-03-08 13:00:00
1281,AUDUSD_i,0.76578,0.76467,0.76455,0.76607,0.7653099999999999,0.7650966666666665,0.7649899999999998,0.7652674999999999,4770,2021-03-08 14:00:00
1282,AUDUSD_i,0.76467,0.7669,0.76418,0.76716,0.76567,0.76608,0.766285,0.7657274999999999,5986,2021-03-08 15:00:00
1283,AUDUSD_i,0.7669,0.76737,0.76625,0.76846,0.767355,0.76736,0.7673625000000001,0.7672450000000001,9851,2021-03-08 16:00:00
1284,AUDUSD_i,0.76737,0.76668,0.76642,0.76844,0.7674300000000001,0.7671800000000001,0.767055,0.7672275000000001,13020,2021-03-08 17:00:00
1285,AUDUSD_i,0.7667,0.76522,0.76516,0.76748,0.76632,0.7659533333333334,0.7657700000000001,0.76614,7807,2021-03-08 18:00:00
1286,AUDUSD_i,0.76522,0.76702,0.76522,0.7674,0.76631,0.7665466666666667,0.766665,0.7662150000000001,6124,2021-03-08 19:00:00
1287,AUDUSD_i,0.76702,0.76578,0.76552,0.76792,0.7667200000000001,0.7664066666666667,0.76625,0.76656,5178,2021-03-08 20:00:00
1288,AUDUSD_i,0.76578,0.76616,0.76554,0.76649,0.766015,0.7660633333333333,0.7660875,0.7659925,4230,2021-03-08 21:00:00
1289,AUDUSD_i,0.76616,0.76419,0.76413,0.76617,0.76515,0.76483,0.7646700000000001,0.7651625,5320,2021-03-08 22:00:00
1290,AUDUSD_i,0.76418,0.76462,0.76393,0.76478,0.764355,0.7644433333333334,0.7644875,0.7643775,1939,2021-03-08 23:00:00
1291,AUDUSD_i,0.76462,0.76443,0.76346,0.76548,0.76447,0.7644566666666667,0.76445,0.7644974999999999,885,2021-03-09 00:00:00
1292,AUDUSD_i,0.76444,0.76547,0.76425,0.76588,0.765065,0.7652,0.7652675,0.76501,2097,2021-03-09 01:00:00
1293,AUDUSD_i,0.76546,0.76402,0.76309,0.76571,0.7644,0.7642733333333332,0.76421,0.76457,4803,2021-03-09 02:00:00
1294,AUDUSD_i,0.76402,0.76248,0.76206,0.76482,0.76344,0.7631200000000001,0.7629600000000001,0.763345,7273,2021-03-09 03:00:00
1295,AUDUSD_i,0.76249,0.765,0.76245,0.76514,0.763795,0.7641966666666667,0.7643975000000001,0.7637700000000001,6581,2021-03-09 04:00:00
1296,AUDUSD_i,0.76501,0.76604,0.76469,0.76618,0.765435,0.7656366666666666,0.7657375,0.7654799999999999,5884,2021-03-09 05:00:00
1297,AUDUSD_i,0.76604,0.76601,0.76517,0.76662,0.765895,0.7659333333333334,0.7659525,0.76596,4072,2021-03-09 06:00:00
1298,AUDUSD_i,0.766,0.76617,0.76583,0.76663,0.76623,0.7662100000000001,0.7662,0.7661575,4296,2021-03-09 07:00:00
1299,AUDUSD_i,0.76617,0.76511,0.765,0.7666,0.7658,0.76557,0.765455,0.76572,4649,2021-03-09 08:00:00
1300,AUDUSD_i,0.7651,0.76776,0.76429,0.76847,0.7663800000000001,0.7668400000000001,0.76707,0.766405,6189,2021-03-09 09:00:00
1301,AUDUSD_i,0.76778,0.77002,0.76726,0.77022,0.76874,0.7691666666666667,0.7693800000000001,0.7688200000000001,6938,2021-03-09 10:00:00
1302,AUDUSD_i,0.77002,0.7704,0.76945,0.77059,0.7700199999999999,0.7701466666666666,0.77021,0.770115,5109,2021-03-09 11:00:00
1303,AUDUSD_i,0.7704,0.7704,0.7696,0.77095,0.770275,0.7703166666666666,0.7703375,0.7703375,5074,2021-03-09 12:00:00
1304,AUDUSD_i,0.77039,0.77078,0.77019,0.77186,0.7710250000000001,0.7709433333333333,0.7709025,0.770805,4828,2021-03-09 13:00:00
1305,AUDUSD_i,0.77078,0.76979,0.76977,0.77095,0.7703599999999999,0.7701699999999999,0.770075,0.7703225,4405,2021-03-09 14:00:00
1306,AUDUSD_i,0.7698,0.76984,0.76899,0.77048,0.7697350000000001,0.76977,0.7697875,0.7697775,5891,2021-03-09 15:00:00
1307,AUDUSD_i,0.76983,0.7704,0.7698,0.77136,0.77058,0.77052,0.77049,0.7703475,8248,2021-03-09 16:00:00
1308,AUDUSD_i,0.77039,0.76969,0.76932,0.77125,0.770285,0.7700866666666667,0.7699875,0.7701625,7539,2021-03-09 17:00:00
1309,AUDUSD_i,0.76969,0.76973,0.76932,0.77025,0.7697849999999999,0.7697666666666666,0.7697575,0.7697475,5071,2021-03-09 18:00:00
1310,AUDUSD_i,0.76973,0.77018,0.76966,0.77072,0.7701899999999999,0.7701866666666666,0.7701849999999999,0.7700724999999999,3049,2021-03-09 19:00:00
1311,AUDUSD_i,0.77018,0.77099,0.77009,0.77161,0.77085,0.7708966666666667,0.7709199999999999,0.7707174999999999,3673,2021-03-09 20:00:00
1312,AUDUSD_i,0.77097,0.77163,0.77089,0.77173,0.7713099999999999,0.7714166666666666,0.77147,0.771305,2239,2021-03-09 21:00:00
1313,AUDUSD_i,0.77162,0.77168,0.77148,0.77251,0.771995,0.77189,0.7718375,0.7718225,2576,2021-03-09 22:00:00
1314,AUDUSD_i,0.77169,0.77146,0.77146,0.77211,0.7717849999999999,0.7716766666666667,0.7716225000000001,0.77168,1542,2021-03-09 23:00:00
1315,AUDUSD_i,0.77145,0.77124,0.77046,0.77176,0.77111,0.7711533333333334,0.771175,0.7712275,924,2021-03-10 00:00:00
1316,AUDUSD_i,0.77129,0.77144,0.77115,0.77184,0.771495,0.7714766666666667,0.7714675000000001,0.7714300000000001,1848,2021-03-10 01:00:00
1317,AUDUSD_i,0.77144,0.77029,0.77017,0.77144,0.770805,0.7706333333333334,0.7705475,0.770835,3539,2021-03-10 02:00:00
1318,AUDUSD_i,0.77034,0.76898,0.76897,0.77086,0.769915,0.7696033333333334,0.7694475000000001,0.7697875000000001,4950,2021-03-10 03:00:00
1319,AUDUSD_i,0.76896,0.76823,0.76774,0.76911,0.7684249999999999,0.7683599999999999,0.7683274999999999,0.7685099999999999,4455,2021-03-10 04:00:00
1320,AUDUSD_i,0.76824,0.76797,0.76757,0.76854,0.7680549999999999,0.7680266666666666,0.7680125,0.76808,2972,2021-03-10 05:00:00
