,GBPAUD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4066,GBPAUD_i,1.89239,1.8922400000000001,1.8910900000000002,1.89349,1.89229,1.8922733333333335,1.892265,1.8923025,6259,2021-08-17 17:00:00
4067,GBPAUD_i,1.89219,1.89367,1.89196,1.89444,1.8932,1.8933566666666666,1.893435,1.893065,5423,2021-08-17 18:00:00
4068,GBPAUD_i,1.89365,1.89478,1.89316,1.89501,1.894085,1.8943166666666666,1.8944325,1.89415,3468,2021-08-17 19:00:00
4069,GBPAUD_i,1.89478,1.89365,1.8933200000000001,1.89493,1.894125,1.8939666666666668,1.8938875000000002,1.8941700000000001,3275,2021-08-17 20:00:00
4070,GBPAUD_i,1.89365,1.89384,1.89302,1.8939300000000001,1.893475,1.8935966666666666,1.8936575,1.89361,1937,2021-08-17 21:00:00
4071,GBPAUD_i,1.89384,1.89322,1.8931900000000002,1.8941400000000002,1.8936650000000002,1.8935166666666667,1.8934425,1.8935975,4282,2021-08-17 22:00:00
4072,GBPAUD_i,1.8932099999999998,1.89381,1.89286,1.89399,1.8934250000000001,1.8935533333333334,1.8936175000000002,1.8934675,2048,2021-08-17 23:00:00
4073,GBPAUD_i,1.89273,1.89316,1.89009,1.89412,1.892105,1.8924566666666667,1.8926325,1.892525,524,2021-08-18 00:00:00
4074,GBPAUD_i,1.89318,1.89296,1.89239,1.8938000000000001,1.8930950000000002,1.89305,1.8930275,1.8930825,606,2021-08-18 01:00:00
4075,GBPAUD_i,1.89293,1.8933900000000001,1.89269,1.89351,1.8931,1.8931966666666666,1.893245,1.89313,632,2021-08-18 02:00:00
4076,GBPAUD_i,1.89345,1.89439,1.8931,1.89469,1.893895,1.8940600000000003,1.8941425,1.8939075,1646,2021-08-18 03:00:00
4077,GBPAUD_i,1.89442,1.89435,1.89386,1.89603,1.894945,1.8947466666666666,1.8946475,1.894665,2159,2021-08-18 04:00:00
4078,GBPAUD_i,1.8941599999999998,1.89351,1.89257,1.89792,1.895245,1.8946666666666667,1.8943775,1.8945400000000001,2737,2021-08-18 05:00:00
4079,GBPAUD_i,1.8935300000000002,1.89311,1.89215,1.8935300000000002,1.89284,1.89293,1.892975,1.89308,1164,2021-08-18 06:00:00
4080,GBPAUD_i,1.89311,1.89121,1.89121,1.89317,1.89219,1.8918633333333332,1.8917,1.892175,906,2021-08-18 07:00:00
4081,GBPAUD_i,1.89121,1.89289,1.89086,1.89304,1.89195,1.8922633333333334,1.89242,1.8920000000000001,1094,2021-08-18 08:00:00
4082,GBPAUD_i,1.8929,1.89216,1.89119,1.8929,1.892045,1.8920833333333331,1.8921025,1.8922875,2747,2021-08-18 09:00:00
4083,GBPAUD_i,1.89216,1.89316,1.89123,1.89378,1.8925049999999999,1.8927233333333333,1.8928325,1.8925825,2811,2021-08-18 10:00:00
4084,GBPAUD_i,1.89314,1.895,1.89264,1.89582,1.89423,1.8944866666666667,1.894615,1.89415,2477,2021-08-18 11:00:00
4085,GBPAUD_i,1.89505,1.89571,1.89467,1.89668,1.895675,1.8956866666666665,1.8956925,1.8955275,2037,2021-08-18 12:00:00
4086,GBPAUD_i,1.89567,1.89761,1.8956,1.89852,1.89706,1.8972433333333332,1.897335,1.89685,2188,2021-08-18 13:00:00
4087,GBPAUD_i,1.8976,1.8981,1.89724,1.8985400000000001,1.89789,1.89796,1.8979949999999999,1.89787,2627,2021-08-18 14:00:00
4088,GBPAUD_i,1.89809,1.89883,1.89668,1.8992900000000001,1.897985,1.8982666666666665,1.8984075,1.8982225,3861,2021-08-18 15:00:00
4089,GBPAUD_i,1.89883,1.89852,1.89812,1.9008,1.89946,1.8991466666666668,1.89899,1.8990675000000001,5008,2021-08-18 16:00:00
4090,GBPAUD_i,1.89852,1.90065,1.89825,1.90156,1.899905,1.9001533333333331,1.9002774999999998,1.8997449999999998,4735,2021-08-18 17:00:00
4091,GBPAUD_i,1.90059,1.8998599999999999,1.89961,1.9014199999999999,1.900515,1.9002966666666665,1.9001875,1.90037,5299,2021-08-18 18:00:00
4092,GBPAUD_i,1.89987,1.8999899999999998,1.89969,1.90122,1.900455,1.9002999999999999,1.9002225,1.9001925,3171,2021-08-18 19:00:00
4093,GBPAUD_i,1.8999899999999998,1.90034,1.8992499999999999,1.90054,1.899895,1.9000433333333333,1.9001175,1.9000299999999999,1483,2021-08-18 20:00:00
4094,GBPAUD_i,1.90011,1.89944,1.8970099999999999,1.9005800000000002,1.898795,1.8990099999999999,1.8991175,1.899285,11378,2021-08-18 21:00:00
4095,GBPAUD_i,1.89946,1.9003100000000002,1.89863,1.90069,1.89966,1.8998766666666667,1.899985,1.8997725,6726,2021-08-18 22:00:00
4096,GBPAUD_i,1.9003100000000002,1.9003999999999999,1.89944,1.9010799999999999,1.9002599999999998,1.9003066666666666,1.9003299999999999,1.9003075,2497,2021-08-18 23:00:00
4097,GBPAUD_i,1.9004400000000001,1.89933,1.89669,1.9008500000000002,1.89877,1.8989566666666668,1.8990500000000001,1.8993275,482,2021-08-19 00:00:00
4098,GBPAUD_i,1.89935,1.89992,1.89842,1.90015,1.899285,1.8994966666666666,1.8996024999999999,1.89946,800,2021-08-19 01:00:00
4099,GBPAUD_i,1.89992,1.90022,1.89982,1.90066,1.9002400000000002,1.9002333333333334,1.90023,1.900155,1041,2021-08-19 02:00:00
4100,GBPAUD_i,1.9002599999999998,1.90307,1.89974,1.9035600000000001,1.90165,1.9021233333333332,1.9023599999999998,1.9016574999999998,2523,2021-08-19 03:00:00
4101,GBPAUD_i,1.90307,1.9025400000000001,1.8984100000000002,1.90348,1.900945,1.9014766666666667,1.9017425000000001,1.901875,2335,2021-08-19 04:00:00
4102,GBPAUD_i,1.90253,1.90362,1.90151,1.90405,1.90278,1.90306,1.9032,1.9029275,1913,2021-08-19 05:00:00
4103,GBPAUD_i,1.90361,1.9040300000000001,1.9032499999999999,1.90486,1.904055,1.9040466666666667,1.9040425,1.9039375,1518,2021-08-19 06:00:00
4104,GBPAUD_i,1.9040300000000001,1.9066800000000002,1.9038300000000001,1.9067699999999999,1.9053,1.9057600000000001,1.90599,1.9053275000000003,933,2021-08-19 07:00:00
