,NZDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
3764,NZDCAD_i,0.87247,0.87228,0.87174,0.87285,0.872295,0.87229,0.8722875,0.872335,1475,2021-07-30 03:00:00
3765,NZDCAD_i,0.87226,0.87229,0.87181,0.87282,0.872315,0.8723066666666667,0.8723025,0.872295,1508,2021-07-30 04:00:00
3766,NZDCAD_i,0.87225,0.872,0.87168,0.87243,0.872055,0.8720366666666667,0.8720275,0.87209,1123,2021-07-30 05:00:00
3767,NZDCAD_i,0.872,0.87113,0.87101,0.8724,0.871705,0.8715133333333333,0.8714175,0.8716349999999999,876,2021-07-30 06:00:00
3768,NZDCAD_i,0.87112,0.87192,0.87103,0.87208,0.871555,0.8716766666666667,0.8717375,0.8715375,506,2021-07-30 07:00:00
3769,NZDCAD_i,0.87186,0.87062,0.87059,0.87191,0.87125,0.8710399999999999,0.870935,0.8712449999999999,1164,2021-07-30 08:00:00
3770,NZDCAD_i,0.8706,0.87047,0.87028,0.87116,0.87072,0.8706366666666666,0.870595,0.8706275,1529,2021-07-30 09:00:00
3771,NZDCAD_i,0.87046,0.87146,0.87042,0.87165,0.871035,0.8711766666666666,0.8712475,0.8709975,1848,2021-07-30 10:00:00
3772,NZDCAD_i,0.87146,0.87186,0.87136,0.87241,0.871885,0.8718766666666666,0.8718724999999999,0.8717725,1490,2021-07-30 11:00:00
3773,NZDCAD_i,0.87187,0.87146,0.87141,0.8722,0.8718049999999999,0.87169,0.8716324999999999,0.8717349999999999,1722,2021-07-30 12:00:00
3774,NZDCAD_i,0.87146,0.87101,0.87078,0.872,0.87139,0.8712633333333333,0.8712,0.8713124999999999,1762,2021-07-30 13:00:00
3775,NZDCAD_i,0.87101,0.87042,0.87032,0.87142,0.87087,0.87072,0.8706450000000001,0.8707925000000001,1411,2021-07-30 14:00:00
3776,NZDCAD_i,0.87049,0.86971,0.86962,0.87076,0.87019,0.87003,0.86995,0.870145,1781,2021-07-30 15:00:00
3777,NZDCAD_i,0.86972,0.87006,0.86895,0.87051,0.86973,0.86984,0.869895,0.86981,2528,2021-07-30 16:00:00
3778,NZDCAD_i,0.87004,0.87081,0.86911,0.87106,0.870085,0.8703266666666667,0.8704475,0.870255,3283,2021-07-30 17:00:00
3779,NZDCAD_i,0.87084,0.86994,0.86952,0.87116,0.87034,0.8702066666666667,0.87014,0.8703649999999999,2546,2021-07-30 18:00:00
3780,NZDCAD_i,0.86996,0.86976,0.86971,0.87046,0.870085,0.8699766666666666,0.8699224999999999,0.8699724999999999,1321,2021-07-30 19:00:00
3781,NZDCAD_i,0.86976,0.86965,0.86888,0.86988,0.86938,0.8694700000000001,0.869515,0.8695425,1191,2021-07-30 20:00:00
3782,NZDCAD_i,0.86966,0.86884,0.86851,0.86972,0.8691150000000001,0.8690233333333334,0.8689775000000001,0.8691825000000001,1124,2021-07-30 21:00:00
3783,NZDCAD_i,0.86882,0.86921,0.86806,0.86921,0.868635,0.8688266666666667,0.8689225,0.8688250000000001,1145,2021-07-30 22:00:00
3784,NZDCAD_i,0.86916,0.86931,0.86811,0.86941,0.86876,0.8689433333333333,0.869035,0.8689975,769,2021-07-30 23:00:00
3785,NZDCAD_i,0.86844,0.86884,0.86774,0.87013,0.868935,0.8689033333333334,0.8688875,0.8687875,525,2021-08-02 00:00:00
3786,NZDCAD_i,0.86886,0.86914,0.8676,0.86969,0.868645,0.86881,0.8688925000000001,0.8688225,538,2021-08-02 01:00:00
3787,NZDCAD_i,0.86915,0.8692,0.86903,0.86955,0.86929,0.86926,0.869245,0.8692325,527,2021-08-02 02:00:00
3788,NZDCAD_i,0.8692,0.86983,0.86869,0.8702,0.869445,0.8695733333333333,0.8696375,0.86948,1197,2021-08-02 03:00:00
3789,NZDCAD_i,0.8698,0.86911,0.86868,0.87009,0.8693850000000001,0.8692933333333334,0.8692475000000001,0.8694200000000001,1568,2021-08-02 04:00:00
3790,NZDCAD_i,0.8691,0.8694,0.86815,0.8694,0.868775,0.8689833333333333,0.8690875,0.8690125,1150,2021-08-02 05:00:00
3791,NZDCAD_i,0.8694,0.86871,0.86871,0.86959,0.86915,0.8690033333333332,0.86893,0.8691024999999999,687,2021-08-02 06:00:00
3792,NZDCAD_i,0.86874,0.86869,0.86843,0.86895,0.86869,0.86869,0.86869,0.8687024999999999,434,2021-08-02 07:00:00
3793,NZDCAD_i,0.86868,0.86886,0.86839,0.86916,0.8687750000000001,0.8688033333333335,0.8688175,0.8687725000000001,789,2021-08-02 08:00:00
3794,NZDCAD_i,0.86888,0.86906,0.86851,0.86933,0.86892,0.8689666666666667,0.86899,0.868945,1177,2021-08-02 09:00:00
3795,NZDCAD_i,0.86915,0.86977,0.86901,0.87007,0.86954,0.8696166666666666,0.869655,0.8694999999999999,1582,2021-08-02 10:00:00
3796,NZDCAD_i,0.86978,0.86991,0.86961,0.87069,0.87015,0.87007,0.87003,0.8699975,1227,2021-08-02 11:00:00
3797,NZDCAD_i,0.86992,0.86976,0.86951,0.87016,0.869835,0.8698100000000001,0.8697975,0.8698375,941,2021-08-02 12:00:00
3798,NZDCAD_i,0.86976,0.86931,0.86896,0.86981,0.869385,0.86936,0.8693475,0.86946,1040,2021-08-02 13:00:00
3799,NZDCAD_i,0.8693,0.86936,0.86875,0.86939,0.86907,0.8691666666666666,0.869215,0.8692,1179,2021-08-02 14:00:00
3800,NZDCAD_i,0.86934,0.86939,0.86899,0.86976,0.869375,0.86938,0.8693825000000001,0.86937,1506,2021-08-02 15:00:00
3801,NZDCAD_i,0.86943,0.87044,0.86897,0.87044,0.869705,0.8699499999999999,0.8700724999999999,0.8698199999999999,2099,2021-08-02 16:00:00
3802,NZDCAD_i,0.87046,0.87159,0.87016,0.87198,0.87107,0.8712433333333333,0.8713299999999999,0.8710475,2756,2021-08-02 17:00:00
3803,NZDCAD_i,0.87161,0.87131,0.87121,0.87181,0.87151,0.8714433333333332,0.87141,0.871485,1706,2021-08-02 18:00:00
3804,NZDCAD_i,0.87132,0.87151,0.87076,0.87167,0.871215,0.8713133333333333,0.8713625,0.871315,1723,2021-08-02 19:00:00
3805,NZDCAD_i,0.87151,0.87191,0.87133,0.87208,0.871705,0.8717733333333332,0.8718074999999998,0.8717074999999999,1135,2021-08-02 20:00:00
3806,NZDCAD_i,0.87191,0.8722,0.87171,0.87242,0.872065,0.87211,0.8721325,0.8720600000000001,983,2021-08-02 21:00:00
3807,NZDCAD_i,0.87207,0.87146,0.87131,0.87251,0.87191,0.87176,0.8716849999999999,0.8718374999999999,1012,2021-08-02 22:00:00
3808,NZDCAD_i,0.87146,0.87124,0.87111,0.87186,0.8714850000000001,0.8714033333333333,0.8713625,0.8714175,512,2021-08-02 23:00:00
3809,NZDCAD_i,0.87124,0.87161,0.86979,0.87176,0.870775,0.8710533333333332,0.8711924999999999,0.8711,404,2021-08-03 00:00:00
3810,NZDCAD_i,0.87161,0.8721,0.87091,0.87229,0.8715999999999999,0.8717666666666667,0.87185,0.8717275,472,2021-08-03 01:00:00
3811,NZDCAD_i,0.87209,0.87314,0.87203,0.87347,0.8727499999999999,0.87288,0.8729450000000001,0.8726825,505,2021-08-03 02:00:00
3812,NZDCAD_i,0.87314,0.8735,0.87285,0.87383,0.87334,0.8733933333333334,0.87342,0.8733299999999999,888,2021-08-03 03:00:00
3813,NZDCAD_i,0.87356,0.87447,0.87302,0.8748,0.87391,0.8740966666666666,0.87419,0.8739625,1521,2021-08-03 04:00:00
3814,NZDCAD_i,0.87448,0.8747,0.87424,0.87494,0.87459,0.8746266666666666,0.8746449999999999,0.87459,948,2021-08-03 05:00:00
3815,NZDCAD_i,0.8747,0.87529,0.87441,0.87543,0.87492,0.8750433333333333,0.875105,0.8749575,811,2021-08-03 06:00:00
3816,NZDCAD_i,0.87532,0.8773,0.87522,0.87735,0.876285,0.8766233333333333,0.8767925,0.8762975,1893,2021-08-03 07:00:00
3817,NZDCAD_i,0.87729,0.87756,0.87713,0.87821,0.87767,0.8776333333333333,0.8776149999999999,0.8775474999999999,1483,2021-08-03 08:00:00
3818,NZDCAD_i,0.87753,0.87728,0.87697,0.87781,0.87739,0.8773533333333333,0.877335,0.8773975,1551,2021-08-03 09:00:00
3819,NZDCAD_i,0.87727,0.87676,0.87646,0.87796,0.87721,0.8770600000000001,0.876985,0.8771125,1729,2021-08-03 10:00:00
3820,NZDCAD_i,0.87673,0.8765,0.87591,0.87679,0.87635,0.8764,0.876425,0.8764825,1190,2021-08-03 11:00:00
3821,NZDCAD_i,0.87646,0.87636,0.8755,0.87646,0.87598,0.8761066666666667,0.87617,0.8761950000000001,1193,2021-08-03 12:00:00
3822,NZDCAD_i,0.87636,0.87731,0.87608,0.87756,0.8768199999999999,0.8769833333333333,0.877065,0.8768275,1076,2021-08-03 13:00:00
3823,NZDCAD_i,0.87728,0.87728,0.87647,0.87731,0.87689,0.8770199999999999,0.8770849999999999,0.8770849999999999,1032,2021-08-03 14:00:00
3824,NZDCAD_i,0.87732,0.87761,0.87693,0.87801,0.87747,0.8775166666666667,0.87754,0.8774675000000001,1972,2021-08-03 15:00:00
3825,NZDCAD_i,0.87766,0.87797,0.87721,0.87847,0.87784,0.8778833333333332,0.8779049999999999,0.8778275,2868,2021-08-03 16:00:00
3826,NZDCAD_i,0.87796,0.88001,0.87761,0.88071,0.8791599999999999,0.8794433333333332,0.879585,0.8790724999999999,3211,2021-08-03 17:00:00
3827,NZDCAD_i,0.88001,0.87914,0.87901,0.88016,0.8795850000000001,0.8794366666666668,0.8793625,0.87958,1862,2021-08-03 18:00:00
3828,NZDCAD_i,0.87913,0.87941,0.87875,0.87956,0.879155,0.8792399999999999,0.8792825,0.8792125,1296,2021-08-03 19:00:00
3829,NZDCAD_i,0.87936,0.87889,0.87879,0.87956,0.879175,0.8790800000000001,0.8790325000000001,0.8791500000000001,834,2021-08-03 20:00:00
3830,NZDCAD_i,0.87887,0.87926,0.87865,0.87931,0.8789800000000001,0.8790733333333334,0.87912,0.8790225,860,2021-08-03 21:00:00
3831,NZDCAD_i,0.87931,0.87911,0.87906,0.87956,0.87931,0.8792433333333333,0.8792099999999999,0.8792599999999999,727,2021-08-03 22:00:00
