,SPX500_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6189,SPX500_m_i,4557.2,4559.7,4553.9,4564.4,4559.15,4559.333333333333,4559.425,4558.8,2718,2021-12-06 03:00:00
6190,SPX500_m_i,4559.6,4559.7,4556.9,4562.6,4559.75,4559.733333333334,4559.725,4559.700000000001,1908,2021-12-06 04:00:00
6191,SPX500_m_i,4559.9,4561.6,4557.9,4562.1,4560.0,4560.533333333334,4560.8,4560.375,1121,2021-12-06 05:00:00
6192,SPX500_m_i,4561.4,4561.4,4560.1,4564.4,4562.25,4561.966666666666,4561.825,4561.825,862,2021-12-06 06:00:00
6193,SPX500_m_i,4561.2,4565.7,4560.7,4568.7,4564.7,4565.033333333333,4565.2,4564.075,943,2021-12-06 07:00:00
6194,SPX500_m_i,4565.6,4562.8,4560.5,4567.1,4563.8,4563.466666666667,4563.3,4564.0,1158,2021-12-06 08:00:00
6195,SPX500_m_i,4562.8,4560.1,4554.4,4565.9,4560.15,4560.133333333333,4560.125,4560.8,1766,2021-12-06 09:00:00
6196,SPX500_m_i,4560.6,4561.6,4554.3,4565.8,4560.05,4560.566666666667,4560.825000000001,4560.575000000001,2928,2021-12-06 10:00:00
6197,SPX500_m_i,4561.3,4550.1,4547.9,4573.6,4560.75,4557.2,4555.425,4558.225,2812,2021-12-06 11:00:00
6198,SPX500_m_i,4550.4,4535.7,4534.5,4553.6,4544.05,4541.266666666666,4539.875,4543.549999999999,2605,2021-12-06 12:00:00
6199,SPX500_m_i,4536.0,4558.6,4535.2,4558.9,4547.049999999999,4550.9,4552.825,4547.174999999999,2374,2021-12-06 13:00:00
6200,SPX500_m_i,4558.9,4551.6,4549.2,4560.6,4554.9,4553.8,4553.25,4555.075,2021,2021-12-06 14:00:00
6201,SPX500_m_i,4552.6,4561.1,4550.7,4561.4,4556.049999999999,4557.733333333333,4558.575,4556.45,2413,2021-12-06 15:00:00
6202,SPX500_m_i,4560.7,4567.3,4541.4,4572.6,4557.0,4560.433333333333,4562.15,4560.5,7516,2021-12-06 16:00:00
