,USDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4921,USDCHF_i,0.92951,0.92983,0.92908,0.92983,0.929455,0.9295800000000001,0.9296425,0.9295625000000001,738,2021-10-06 08:00:00
4922,USDCHF_i,0.92985,0.92947,0.92911,0.93009,0.9296,0.9295566666666666,0.929535,0.92963,2187,2021-10-06 09:00:00
4923,USDCHF_i,0.92947,0.9304,0.92899,0.93054,0.929765,0.9299766666666667,0.9300825,0.9298500000000001,2877,2021-10-06 10:00:00
4924,USDCHF_i,0.9304,0.93001,0.92946,0.9306,0.9300299999999999,0.9300233333333333,0.9300200000000001,0.9301175,2303,2021-10-06 11:00:00
4925,USDCHF_i,0.93001,0.93014,0.92936,0.93028,0.92982,0.9299266666666667,0.92998,0.9299474999999999,2405,2021-10-06 12:00:00
4926,USDCHF_i,0.93014,0.9294,0.92916,0.93065,0.929905,0.9297366666666665,0.9296525,0.9298374999999999,2397,2021-10-06 13:00:00
4927,USDCHF_i,0.9294,0.92927,0.92864,0.92971,0.9291750000000001,0.9292066666666668,0.9292225000000001,0.9292550000000002,2288,2021-10-06 14:00:00
4928,USDCHF_i,0.92927,0.92853,0.92819,0.92937,0.9287799999999999,0.9286966666666666,0.9286549999999999,0.9288399999999999,3820,2021-10-06 15:00:00
4929,USDCHF_i,0.92853,0.92826,0.92749,0.92917,0.9283300000000001,0.9283066666666667,0.928295,0.9283625,3291,2021-10-06 16:00:00
4930,USDCHF_i,0.92825,0.92784,0.92709,0.92868,0.927885,0.92787,0.9278625,0.9279649999999999,3888,2021-10-06 17:00:00
4931,USDCHF_i,0.92784,0.92796,0.92756,0.92904,0.9283,0.9281866666666666,0.92813,0.9280999999999999,2448,2021-10-06 18:00:00
4932,USDCHF_i,0.92796,0.92812,0.9275,0.92823,0.9278649999999999,0.9279499999999999,0.9279924999999999,0.9279525,1067,2021-10-06 19:00:00
4933,USDCHF_i,0.92812,0.92783,0.92764,0.92833,0.9279850000000001,0.9279333333333334,0.9279075000000001,0.92798,1352,2021-10-06 20:00:00
4934,USDCHF_i,0.92783,0.92774,0.92744,0.92798,0.92771,0.92772,0.927725,0.9277475000000001,1567,2021-10-06 21:00:00
4935,USDCHF_i,0.92774,0.92712,0.92703,0.92781,0.92742,0.92732,0.92727,0.927425,1002,2021-10-06 22:00:00
4936,USDCHF_i,0.92712,0.92716,0.92705,0.92739,0.92722,0.9272,0.92719,0.92718,594,2021-10-06 23:00:00
4937,USDCHF_i,0.92716,0.92739,0.92657,0.92767,0.9271199999999999,0.92721,0.9272549999999999,0.9271974999999999,397,2021-10-07 00:00:00
4938,USDCHF_i,0.92739,0.92754,0.9273,0.92758,0.92744,0.9274733333333334,0.92749,0.9274525,417,2021-10-07 01:00:00
4939,USDCHF_i,0.92754,0.92767,0.92753,0.92775,0.92764,0.92765,0.927655,0.9276225,366,2021-10-07 02:00:00
4940,USDCHF_i,0.92767,0.92781,0.9273,0.92785,0.927575,0.9276533333333333,0.9276925,0.9276575,879,2021-10-07 03:00:00
4941,USDCHF_i,0.92782,0.9278,0.92767,0.9283,0.9279850000000001,0.9279233333333333,0.9278925,0.9278975,814,2021-10-07 04:00:00
4942,USDCHF_i,0.9278,0.92788,0.9276,0.92797,0.927785,0.9278166666666667,0.9278325000000001,0.9278125,363,2021-10-07 05:00:00
4943,USDCHF_i,0.92788,0.92747,0.92743,0.9279,0.927665,0.9276,0.9275675,0.92767,300,2021-10-07 06:00:00
4944,USDCHF_i,0.92747,0.92736,0.92729,0.92753,0.92741,0.9273933333333333,0.9273849999999999,0.9274125,255,2021-10-07 07:00:00
