,AUDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
3960,AUDCHF_i,0.677,0.67702,0.67668,0.67708,0.6768799999999999,0.6769266666666667,0.6769499999999999,0.676945,488,2021-08-11 07:00:00
3961,AUDCHF_i,0.67701,0.67689,0.67684,0.67737,0.6771050000000001,0.6770333333333335,0.6769975000000001,0.6770275000000001,638,2021-08-11 08:00:00
3962,AUDCHF_i,0.67692,0.67719,0.67678,0.67747,0.677125,0.6771466666666667,0.6771575,0.67709,1644,2021-08-11 09:00:00
3963,AUDCHF_i,0.67718,0.67663,0.67636,0.67754,0.6769499999999999,0.6768433333333332,0.6767899999999999,0.6769274999999999,2040,2021-08-11 10:00:00
3964,AUDCHF_i,0.67663,0.6765,0.67639,0.67686,0.676625,0.6765833333333333,0.6765625,0.676595,1749,2021-08-11 11:00:00
3965,AUDCHF_i,0.67649,0.67661,0.67634,0.67685,0.6765950000000001,0.6766000000000001,0.6766025000000001,0.6765725,1528,2021-08-11 12:00:00
3966,AUDCHF_i,0.67662,0.67703,0.67632,0.67703,0.676675,0.6767933333333334,0.6768525000000001,0.67675,1049,2021-08-11 13:00:00
3967,AUDCHF_i,0.67702,0.67733,0.67682,0.67736,0.67709,0.6771699999999999,0.67721,0.6771324999999999,1270,2021-08-11 14:00:00
3968,AUDCHF_i,0.67733,0.67935,0.67707,0.67959,0.67833,0.67867,0.67884,0.678335,4931,2021-08-11 15:00:00
3969,AUDCHF_i,0.67933,0.67946,0.6791,0.68006,0.6795800000000001,0.6795399999999999,0.6795199999999999,0.6794875,4833,2021-08-11 16:00:00
3970,AUDCHF_i,0.67944,0.67933,0.67882,0.67964,0.67923,0.6792633333333334,0.6792800000000001,0.6793075000000001,3004,2021-08-11 17:00:00
3971,AUDCHF_i,0.67934,0.67925,0.679,0.67946,0.67923,0.6792366666666667,0.6792400000000001,0.6792625000000001,1712,2021-08-11 18:00:00
3972,AUDCHF_i,0.67925,0.67966,0.67925,0.67984,0.6795450000000001,0.6795833333333334,0.6796025000000001,0.6795000000000001,1388,2021-08-11 19:00:00
3973,AUDCHF_i,0.67967,0.67961,0.67954,0.6802,0.67987,0.6797833333333333,0.67974,0.6797549999999999,2462,2021-08-11 20:00:00
3974,AUDCHF_i,0.67962,0.67939,0.67932,0.67969,0.679505,0.6794666666666668,0.6794475000000001,0.679505,1241,2021-08-11 21:00:00
3975,AUDCHF_i,0.67935,0.67974,0.67931,0.67985,0.67958,0.6796333333333333,0.6796599999999999,0.6795625,1160,2021-08-11 22:00:00
3976,AUDCHF_i,0.67973,0.67938,0.67932,0.67973,0.6795249999999999,0.6794766666666666,0.6794525,0.67954,778,2021-08-11 23:00:00
3977,AUDCHF_i,0.67934,0.67855,0.67841,0.67936,0.678885,0.6787733333333333,0.6787175,0.6789149999999999,394,2021-08-12 00:00:00
3978,AUDCHF_i,0.67848,0.67947,0.67848,0.67969,0.6790849999999999,0.6792133333333332,0.6792775,0.6790299999999999,533,2021-08-12 01:00:00
3979,AUDCHF_i,0.67947,0.67905,0.67904,0.67966,0.67935,0.67925,0.6792,0.679305,464,2021-08-12 02:00:00
3980,AUDCHF_i,0.67906,0.67899,0.67887,0.6793,0.6790849999999999,0.6790533333333334,0.6790375,0.679055,703,2021-08-12 03:00:00
3981,AUDCHF_i,0.67899,0.67864,0.67856,0.67915,0.678855,0.6787833333333334,0.6787475000000001,0.6788350000000001,844,2021-08-12 04:00:00
3982,AUDCHF_i,0.67861,0.67866,0.67852,0.67883,0.678675,0.67867,0.6786675,0.678655,668,2021-08-12 05:00:00
3983,AUDCHF_i,0.67865,0.67879,0.67855,0.67888,0.678715,0.67874,0.6787525000000001,0.6787175000000001,564,2021-08-12 06:00:00
3984,AUDCHF_i,0.67878,0.67848,0.67844,0.6789,0.67867,0.6786066666666667,0.678575,0.6786500000000001,521,2021-08-12 07:00:00
3985,AUDCHF_i,0.67847,0.6783,0.67799,0.67855,0.6782699999999999,0.67828,0.678285,0.6783275,823,2021-08-12 08:00:00
3986,AUDCHF_i,0.67832,0.67807,0.67775,0.67849,0.6781200000000001,0.6781033333333334,0.678095,0.6781575,1668,2021-08-12 09:00:00
3987,AUDCHF_i,0.67807,0.67874,0.67799,0.67882,0.6784049999999999,0.6785166666666665,0.6785724999999999,0.6784049999999999,2290,2021-08-12 10:00:00
3988,AUDCHF_i,0.67875,0.67864,0.67838,0.67895,0.6786650000000001,0.6786566666666668,0.6786525000000001,0.6786800000000001,1285,2021-08-12 11:00:00
3989,AUDCHF_i,0.67861,0.67831,0.67807,0.67866,0.678365,0.6783466666666667,0.6783375,0.6784125,948,2021-08-12 12:00:00
3990,AUDCHF_i,0.67833,0.67827,0.67816,0.67858,0.6783699999999999,0.6783366666666666,0.6783199999999999,0.6783349999999999,1425,2021-08-12 13:00:00
3991,AUDCHF_i,0.67827,0.678,0.67789,0.6784,0.678145,0.6780966666666667,0.6780725,0.67814,1383,2021-08-12 14:00:00
3992,AUDCHF_i,0.67802,0.67798,0.67757,0.67827,0.6779200000000001,0.6779400000000001,0.67795,0.6779600000000001,2581,2021-08-12 15:00:00
3993,AUDCHF_i,0.678,0.67746,0.67699,0.67804,0.677515,0.6774966666666667,0.6774875,0.6776225,2749,2021-08-12 16:00:00
3994,AUDCHF_i,0.67743,0.67777,0.67698,0.6778,0.6773899999999999,0.6775166666666665,0.6775799999999998,0.677495,1692,2021-08-12 17:00:00
3995,AUDCHF_i,0.67778,0.67765,0.67714,0.6778,0.67747,0.67753,0.6775599999999999,0.6775925,1212,2021-08-12 18:00:00
