,EURJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6165,EURJPY_i,128.642,128.576,128.514,128.69,128.602,128.59333333333333,128.589,128.6055,2497,2021-12-17 05:00:00
6166,EURJPY_i,128.577,128.754,128.527,128.76,128.6435,128.68033333333332,128.69875,128.65449999999998,2482,2021-12-17 06:00:00
6167,EURJPY_i,128.754,128.879,128.699,128.888,128.7935,128.822,128.83625,128.805,2279,2021-12-17 07:00:00
6168,EURJPY_i,128.879,128.678,128.663,128.901,128.782,128.74733333333333,128.73000000000002,128.78025,2474,2021-12-17 08:00:00
6169,EURJPY_i,128.678,128.639,128.605,128.712,128.6585,128.65200000000002,128.64875,128.6585,3715,2021-12-17 09:00:00
6170,EURJPY_i,128.637,128.707,128.587,128.764,128.6755,128.686,128.69125,128.67374999999998,5664,2021-12-17 10:00:00
6171,EURJPY_i,128.707,128.721,128.618,128.757,128.6875,128.69866666666667,128.70425,128.70075,4885,2021-12-17 11:00:00
6172,EURJPY_i,128.721,128.538,128.5,128.724,128.612,128.58733333333333,128.575,128.62075,4308,2021-12-17 12:00:00
6173,EURJPY_i,128.539,128.421,128.36,128.556,128.45800000000003,128.44566666666668,128.4395,128.469,3446,2021-12-17 13:00:00
6174,EURJPY_i,128.422,128.289,128.218,128.428,128.32299999999998,128.31166666666664,128.30599999999998,128.33925,4635,2021-12-17 14:00:00
6175,EURJPY_i,128.29,128.137,128.106,128.329,128.2175,128.19066666666666,128.17725000000002,128.2155,5319,2021-12-17 15:00:00
6176,EURJPY_i,128.135,128.162,128.014,128.245,128.1295,128.14033333333336,128.14575000000002,128.139,5856,2021-12-17 16:00:00
6177,EURJPY_i,128.162,128.097,127.999,128.189,128.094,128.095,128.0955,128.11175,6198,2021-12-17 17:00:00
6178,EURJPY_i,128.097,128.049,127.982,128.113,128.0475,128.048,128.04825,128.06025,4683,2021-12-17 18:00:00
6179,EURJPY_i,128.051,128.036,127.981,128.107,128.04399999999998,128.0413333333333,128.04,128.04375,2574,2021-12-17 19:00:00
6180,EURJPY_i,128.036,127.969,127.969,128.058,128.0135,127.99866666666667,127.99125,128.00799999999998,2605,2021-12-17 20:00:00
6181,EURJPY_i,127.971,127.917,127.891,128.009,127.94999999999999,127.93900000000001,127.93350000000001,127.947,1785,2021-12-17 21:00:00
6182,EURJPY_i,127.917,127.796,127.793,127.926,127.8595,127.83833333333332,127.82775,127.858,2151,2021-12-17 22:00:00
6183,EURJPY_i,127.792,127.759,127.729,127.866,127.7975,127.78466666666667,127.77825,127.78649999999999,1948,2021-12-17 23:00:00
6184,EURJPY_i,127.619,127.733,127.619,127.763,127.691,127.705,127.712,127.68350000000001,726,2021-12-20 00:00:00
6185,EURJPY_i,127.739,127.617,127.61,127.75,127.68,127.659,127.64850000000001,127.679,3459,2021-12-20 01:00:00
6186,EURJPY_i,127.615,127.763,127.605,127.81,127.70750000000001,127.726,127.73525000000001,127.69825,3862,2021-12-20 02:00:00
6187,EURJPY_i,127.763,127.57,127.56,127.793,127.6765,127.641,127.62325,127.67150000000001,3042,2021-12-20 03:00:00
6188,EURJPY_i,127.571,127.759,127.509,127.759,127.634,127.67566666666666,127.6965,127.64949999999999,3150,2021-12-20 04:00:00
6189,EURJPY_i,127.758,127.667,127.629,127.767,127.69800000000001,127.68766666666666,127.6825,127.70524999999999,1827,2021-12-20 05:00:00
6190,EURJPY_i,127.668,127.689,127.625,127.699,127.662,127.671,127.6755,127.67025000000001,2495,2021-12-20 06:00:00
6191,EURJPY_i,127.688,127.665,127.571,127.688,127.62950000000001,127.64133333333335,127.64725000000001,127.653,2356,2021-12-20 07:00:00
6192,EURJPY_i,127.666,127.62,127.606,127.702,127.654,127.64266666666667,127.637,127.6485,2640,2021-12-20 08:00:00
6193,EURJPY_i,127.62,127.683,127.504,127.718,127.611,127.635,127.647,127.63125000000001,4663,2021-12-20 09:00:00
6194,EURJPY_i,127.683,127.78,127.654,127.869,127.7615,127.76766666666667,127.77074999999999,127.7465,6324,2021-12-20 10:00:00
6195,EURJPY_i,127.78,127.803,127.664,127.848,127.756,127.77166666666666,127.7795,127.77375,5654,2021-12-20 11:00:00
6196,EURJPY_i,127.803,127.984,127.759,128.057,127.90799999999999,127.93333333333332,127.94599999999998,127.90074999999999,4654,2021-12-20 12:00:00
6197,EURJPY_i,127.984,128.112,127.929,128.16,128.0445,128.067,128.07825,128.04625000000001,2890,2021-12-20 13:00:00
6198,EURJPY_i,128.114,127.91,127.894,128.132,128.013,127.97866666666668,127.9615,128.01250000000002,3582,2021-12-20 14:00:00
6199,EURJPY_i,127.911,128.198,127.911,128.282,128.0965,128.1303333333333,128.14724999999999,128.07549999999998,5418,2021-12-20 15:00:00
6200,EURJPY_i,128.198,128.243,128.098,128.301,128.1995,128.214,128.22125,128.21,6888,2021-12-20 16:00:00
6201,EURJPY_i,128.237,128.012,127.982,128.285,128.1335,128.093,128.07274999999998,128.129,6483,2021-12-20 17:00:00
6202,EURJPY_i,128.012,128.152,127.98,128.177,128.0785,128.10299999999998,128.11525,128.08024999999998,4753,2021-12-20 18:00:00
