,USDRUR,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
7492,USDRUR,75.393,75.284,75.284,75.448,75.366,75.33866666666667,75.325,75.35225,80,2022-02-16 05:00:00
7493,USDRUR,75.229,75.208,75.111,75.251,75.18100000000001,75.19000000000001,75.1945,75.19975000000001,991,2022-02-16 06:00:00
7494,USDRUR,75.209,75.14,75.061,75.233,75.147,75.14466666666668,75.1435,75.16075000000001,1989,2022-02-16 07:00:00
7495,USDRUR,75.142,75.107,75.07,75.209,75.1395,75.12866666666666,75.12325,75.132,2162,2022-02-16 08:00:00
7496,USDRUR,75.116,74.911,74.791,75.126,74.9585,74.94266666666667,74.93475000000001,74.986,1694,2022-02-16 09:00:00
7497,USDRUR,74.898,74.849,74.801,74.968,74.8845,74.87266666666666,74.86675,74.87899999999999,375,2022-02-16 10:00:00
7498,USDRUR,74.844,75.074,74.79,75.134,74.962,74.99933333333333,75.018,74.9605,377,2022-02-16 11:00:00
7499,USDRUR,75.068,74.868,74.853,75.068,74.9605,74.92966666666666,74.91425,74.96424999999999,351,2022-02-16 12:00:00
7500,USDRUR,74.866,74.842,74.81,74.985,74.89750000000001,74.879,74.86975,74.87575,371,2022-02-16 13:00:00
7501,USDRUR,74.844,74.942,74.748,74.954,74.851,74.88133333333333,74.8965,74.872,378,2022-02-16 14:00:00
7502,USDRUR,74.951,75.208,74.897,75.214,75.0555,75.10633333333332,75.13175,75.0675,481,2022-02-16 15:00:00
7503,USDRUR,75.215,75.144,75.048,75.282,75.16499999999999,75.158,75.1545,75.17224999999999,660,2022-02-16 16:00:00
7504,USDRUR,75.158,75.126,75.062,75.293,75.17750000000001,75.16033333333334,75.15175,75.15975,620,2022-02-16 17:00:00
7505,USDRUR,75.128,75.106,74.952,75.172,75.062,75.07666666666667,75.084,75.0895,2203,2022-02-16 18:00:00
7506,USDRUR,75.107,75.139,75.085,75.183,75.134,75.13566666666667,75.1365,75.1285,2066,2022-02-16 19:00:00
7507,USDRUR,75.136,75.208,75.079,75.246,75.1625,75.17766666666667,75.18525,75.16725,2116,2022-02-16 20:00:00
7508,USDRUR,75.205,75.012,74.973,75.246,75.1095,75.077,75.06075,75.109,2777,2022-02-16 21:00:00
7509,USDRUR,75.003,75.117,74.993,75.187,75.09,75.099,75.10350000000001,75.075,1739,2022-02-16 22:00:00
7510,USDRUR,75.111,75.036,74.913,75.125,75.019,75.02466666666668,75.0275,75.04625,317,2022-02-16 23:00:00
7511,USDRUR,75.08,74.988,74.988,75.081,75.03450000000001,75.019,75.01125,75.03425,3,2022-02-17 00:00:00
7512,USDRUR,74.97,74.97,74.97,74.97,74.97,74.97,74.97,74.97,1,2022-02-17 01:00:00
7513,USDRUR,75.048,75.1,74.96,75.105,75.0325,75.05499999999999,75.06625,75.05324999999999,185,2022-02-17 02:00:00
7514,USDRUR,75.092,75.094,75.092,75.1,75.096,75.09533333333333,75.095,75.0945,11,2022-02-17 03:00:00
7515,USDRUR,75.113,75.049,75.006,75.138,75.072,75.06433333333334,75.0605,75.07650000000001,36,2022-02-17 04:00:00
7516,USDRUR,75.049,75.266,74.994,75.348,75.17099999999999,75.20266666666667,75.2185,75.16425000000001,84,2022-02-17 05:00:00
7517,USDRUR,75.294,75.657,75.28,75.744,75.512,75.56033333333333,75.58449999999999,75.49374999999999,908,2022-02-17 06:00:00
7518,USDRUR,75.66,75.595,75.465,75.668,75.5665,75.57600000000001,75.58075,75.59700000000001,1081,2022-02-17 07:00:00
7519,USDRUR,75.599,75.537,75.488,75.75,75.619,75.59166666666667,75.578,75.5935,1362,2022-02-17 08:00:00
7520,USDRUR,75.535,75.709,75.389,75.778,75.5835,75.62533333333333,75.64625000000001,75.60275,2006,2022-02-17 09:00:00
7521,USDRUR,75.708,76.15,75.49,76.618,76.054,76.086,76.102,75.9915,1154,2022-02-17 10:00:00
