,USDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
5073,USDCAD_i,1.2381,1.23561,1.2355800000000001,1.23903,1.237305,1.2367400000000002,1.2364575000000002,1.2370800000000002,5278,2021-10-14 16:00:00
5074,USDCAD_i,1.23564,1.23609,1.23538,1.23804,1.23671,1.2365033333333333,1.2364,1.2362875,3574,2021-10-14 17:00:00
5075,USDCAD_i,1.23607,1.23607,1.2359,1.23776,1.2368299999999999,1.2365766666666664,1.2364499999999998,1.2364499999999998,3090,2021-10-14 18:00:00
5076,USDCAD_i,1.23607,1.2364600000000001,1.23576,1.23726,1.23651,1.2364933333333334,1.236485,1.2363875,2504,2021-10-14 19:00:00
5077,USDCAD_i,1.2364600000000001,1.23641,1.23609,1.23731,1.2367,1.2366033333333333,1.236555,1.2365675,2014,2021-10-14 20:00:00
5078,USDCAD_i,1.23639,1.23669,1.23605,1.23743,1.2367400000000002,1.2367233333333336,1.2367150000000002,1.2366400000000002,2203,2021-10-14 21:00:00
5079,USDCAD_i,1.23676,1.23769,1.23676,1.23777,1.237265,1.2374066666666668,1.2374775,1.2372450000000002,2372,2021-10-14 22:00:00
5080,USDCAD_i,1.23773,1.23677,1.2366,1.23776,1.23718,1.2370433333333333,1.236975,1.237215,789,2021-10-14 23:00:00
5081,USDCAD_i,1.23669,1.23666,1.23567,1.23709,1.23638,1.2364733333333333,1.23652,1.2365275,771,2021-10-15 00:00:00
5082,USDCAD_i,1.23664,1.23764,1.23664,1.23764,1.2371400000000001,1.2373066666666668,1.23739,1.2371400000000001,654,2021-10-15 01:00:00
5083,USDCAD_i,1.23764,1.23746,1.23688,1.23764,1.23726,1.2373266666666667,1.23736,1.237405,724,2021-10-15 02:00:00
5084,USDCAD_i,1.23747,1.2368999999999999,1.23688,1.23807,1.2374749999999999,1.2372833333333333,1.2371874999999999,1.23733,1347,2021-10-15 03:00:00
5085,USDCAD_i,1.2368999999999999,1.23654,1.23614,1.23721,1.236675,1.23663,1.2366074999999999,1.2366975,2572,2021-10-15 04:00:00
5086,USDCAD_i,1.23654,1.23561,1.23539,1.23688,1.236135,1.2359600000000002,1.2358725000000002,1.236105,1236,2021-10-15 05:00:00
5087,USDCAD_i,1.23561,1.23592,1.2355800000000001,1.2361900000000001,1.2358850000000001,1.2358966666666669,1.2359025000000001,1.2358250000000002,1668,2021-10-15 06:00:00
5088,USDCAD_i,1.23594,1.23538,1.23533,1.23604,1.2356850000000001,1.2355833333333335,1.2355325000000001,1.2356725000000002,635,2021-10-15 07:00:00
5089,USDCAD_i,1.23538,1.2349999999999999,1.23496,1.23547,1.2352150000000002,1.2351433333333335,1.2351075,1.2352025,856,2021-10-15 08:00:00
5090,USDCAD_i,1.2349999999999999,1.2343600000000001,1.2342,1.23565,1.234925,1.2347366666666668,1.2346425,1.2348025,1576,2021-10-15 09:00:00
5091,USDCAD_i,1.2343600000000001,1.23397,1.23353,1.23465,1.2340900000000001,1.23405,1.2340300000000002,1.2341275,2604,2021-10-15 10:00:00
5092,USDCAD_i,1.23397,1.23452,1.23354,1.23502,1.23428,1.23436,1.2344,1.2342625,2141,2021-10-15 11:00:00
5093,USDCAD_i,1.23452,1.23443,1.2341,1.23517,1.234635,1.2345666666666666,1.2345324999999998,1.2345549999999998,1771,2021-10-15 12:00:00
5094,USDCAD_i,1.23443,1.23455,1.23396,1.23494,1.2344499999999998,1.2344833333333332,1.2345,1.23447,1897,2021-10-15 13:00:00
5095,USDCAD_i,1.23454,1.23563,1.23399,1.23599,1.2349899999999998,1.2352033333333332,1.23531,1.2350374999999998,1769,2021-10-15 14:00:00
5096,USDCAD_i,1.23564,1.23836,1.23555,1.23845,1.237,1.2374533333333335,1.2376800000000001,1.237,4003,2021-10-15 15:00:00
5097,USDCAD_i,1.23831,1.2371699999999999,1.23632,1.23831,1.2373150000000002,1.2372666666666667,1.2372425,1.2375275000000001,4324,2021-10-15 16:00:00
5098,USDCAD_i,1.2371699999999999,1.2358500000000001,1.23545,1.23895,1.2372,1.23675,1.236525,1.236855,5218,2021-10-15 17:00:00
5099,USDCAD_i,1.23583,1.2387299999999999,1.23542,1.23884,1.23713,1.2376633333333333,1.23793,1.2372049999999999,3483,2021-10-15 18:00:00
5100,USDCAD_i,1.2387299999999999,1.2392400000000001,1.23808,1.23964,1.23886,1.2389866666666667,1.2390500000000002,1.2389225000000001,1676,2021-10-15 19:00:00
5101,USDCAD_i,1.2392400000000001,1.23856,1.23813,1.2392400000000001,1.238685,1.2386433333333333,1.2386225,1.2387925000000002,1102,2021-10-15 20:00:00
5102,USDCAD_i,1.23855,1.23831,1.23809,1.23916,1.2386249999999999,1.23852,1.2384675,1.2385275,1525,2021-10-15 21:00:00
5103,USDCAD_i,1.23832,1.23744,1.23722,1.23864,1.23793,1.2377666666666667,1.2376850000000001,1.237905,1250,2021-10-15 22:00:00
5104,USDCAD_i,1.23744,1.23607,1.23603,1.23744,1.236735,1.2365133333333331,1.2364024999999998,1.236745,995,2021-10-15 23:00:00
5105,USDCAD_i,1.23645,1.23681,1.23594,1.23724,1.23659,1.2366633333333334,1.2367000000000001,1.2366100000000002,281,2021-10-18 00:00:00
5106,USDCAD_i,1.23588,1.23667,1.23475,1.23671,1.23573,1.2360433333333332,1.2362,1.2360025,1764,2021-10-18 01:00:00
5107,USDCAD_i,1.23666,1.23733,1.23635,1.23736,1.236855,1.2370133333333333,1.2370925000000002,1.236925,906,2021-10-18 02:00:00
5108,USDCAD_i,1.23733,1.23822,1.23708,1.23836,1.23772,1.2378866666666666,1.23797,1.2377475,1480,2021-10-18 03:00:00
5109,USDCAD_i,1.23822,1.23796,1.23723,1.23837,1.2378,1.2378533333333335,1.23788,1.237945,2683,2021-10-18 04:00:00
5110,USDCAD_i,1.23797,1.23774,1.2374,1.23804,1.23772,1.2377266666666666,1.23773,1.2377875,1120,2021-10-18 05:00:00
5111,USDCAD_i,1.23773,1.2391,1.2377,1.23915,1.2384249999999999,1.23865,1.2387625,1.23842,1415,2021-10-18 06:00:00
5112,USDCAD_i,1.23909,1.23939,1.23904,1.23954,1.23929,1.2393233333333333,1.23934,1.239265,1050,2021-10-18 07:00:00
5113,USDCAD_i,1.23939,1.23986,1.23927,1.23993,1.2396,1.2396866666666666,1.23973,1.2396125,1817,2021-10-18 08:00:00
5114,USDCAD_i,1.2398500000000001,1.24011,1.23949,1.24087,1.24018,1.2401566666666668,1.240145,1.24008,1985,2021-10-18 09:00:00
5115,USDCAD_i,1.24009,1.2389999999999999,1.23898,1.24034,1.23966,1.2394399999999999,1.2393299999999998,1.2396025,3087,2021-10-18 10:00:00
5116,USDCAD_i,1.2389999999999999,1.24017,1.23819,1.24034,1.239265,1.2395666666666667,1.2397175,1.239425,2838,2021-10-18 11:00:00
5117,USDCAD_i,1.24017,1.23915,1.23892,1.24023,1.2395749999999999,1.2394333333333332,1.2393625,1.2396175,1784,2021-10-18 12:00:00
5118,USDCAD_i,1.23915,1.23899,1.23871,1.23978,1.239245,1.23916,1.2391175,1.2391575000000001,1632,2021-10-18 13:00:00
5119,USDCAD_i,1.23899,1.2396099999999999,1.23868,1.24014,1.23941,1.2394766666666666,1.23951,1.239355,2031,2021-10-18 14:00:00
5120,USDCAD_i,1.2396099999999999,1.23943,1.23776,1.23993,1.238845,1.23904,1.2391375,1.2391825,4116,2021-10-18 15:00:00
5121,USDCAD_i,1.23943,1.2365599999999999,1.23648,1.23989,1.238185,1.2376433333333334,1.2373725,1.2380900000000001,5350,2021-10-18 16:00:00
5122,USDCAD_i,1.23655,1.23667,1.23499,1.237,1.235995,1.23622,1.2363325,1.2363025,4036,2021-10-18 17:00:00
5123,USDCAD_i,1.23667,1.23617,1.2361,1.23729,1.236695,1.23652,1.2364325,1.2365575,2656,2021-10-18 18:00:00
5124,USDCAD_i,1.23617,1.23664,1.23588,1.23692,1.2364000000000002,1.23648,1.23652,1.2364025,2209,2021-10-18 19:00:00
5125,USDCAD_i,1.23664,1.23721,1.23654,1.23767,1.2371050000000001,1.2371400000000001,1.2371575000000001,1.237015,1680,2021-10-18 20:00:00
5126,USDCAD_i,1.23722,1.23754,1.23719,1.2381199999999999,1.237655,1.2376166666666666,1.2375975000000001,1.2375175,2322,2021-10-18 21:00:00
5127,USDCAD_i,1.23755,1.23799,1.23739,1.23833,1.23786,1.2379033333333334,1.237925,1.2378149999999999,2063,2021-10-18 22:00:00
5128,USDCAD_i,1.23803,1.23746,1.23744,1.23819,1.2378149999999999,1.2376966666666667,1.2376375,1.2377799999999999,756,2021-10-18 23:00:00
5129,USDCAD_i,1.23746,1.23736,1.23655,1.23792,1.237235,1.2372766666666666,1.2372975,1.2373224999999999,586,2021-10-19 00:00:00
5130,USDCAD_i,1.23742,1.2381199999999999,1.23716,1.23815,1.2376550000000002,1.23781,1.2378875,1.2377125,716,2021-10-19 01:00:00
5131,USDCAD_i,1.23814,1.23715,1.23713,1.23817,1.23765,1.2374833333333333,1.2373999999999998,1.2376475,604,2021-10-19 02:00:00
5132,USDCAD_i,1.23713,1.23627,1.23623,1.23718,1.236705,1.2365599999999999,1.2364875,1.2367024999999998,1139,2021-10-19 03:00:00
5133,USDCAD_i,1.23627,1.23521,1.23489,1.23677,1.23583,1.2356233333333333,1.23552,1.235785,1927,2021-10-19 04:00:00
