,GER40_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4663,GER40_m_i,14366.8,14380.8,14350.8,14385.8,14368.3,14372.466666666665,14374.55,14371.05,2394,2021-03-09 12:00:00
4664,GER40_m_i,14380.8,14366.0,14305.5,14383.8,14344.65,14351.766666666668,14355.325,14359.025000000001,10712,2021-03-09 13:00:00
4665,GER40_m_i,14366.0,14429.0,14362.0,14439.0,14400.5,14410.0,14414.75,14399.0,6782,2021-03-09 14:00:00
4666,GER40_m_i,14428.0,14429.0,14413.0,14453.0,14433.0,14431.666666666666,14431.0,14430.75,4836,2021-03-09 15:00:00
4667,GER40_m_i,14429.0,14430.0,14425.0,14460.0,14442.5,14438.333333333334,14436.25,14436.0,5308,2021-03-09 16:00:00
4668,GER40_m_i,14431.0,14419.0,14407.0,14435.0,14421.0,14420.333333333334,14420.0,14423.0,4342,2021-03-09 17:00:00
4669,GER40_m_i,14419.0,14443.0,14416.0,14453.0,14434.5,14437.333333333334,14438.75,14432.75,4340,2021-03-09 18:00:00
4670,GER40_m_i,14445.0,14450.0,14427.0,14470.0,14448.5,14449.0,14449.25,14448.0,6440,2021-03-09 19:00:00
4671,GER40_m_i,14450.0,14440.0,14423.0,14465.0,14444.0,14442.666666666666,14442.0,14444.5,6540,2021-03-09 20:00:00
4672,GER40_m_i,14440.0,14467.0,14437.0,14476.0,14456.5,14460.0,14461.75,14455.0,4330,2021-03-09 21:00:00
4673,GER40_m_i,14467.0,14458.0,14451.1,14471.0,14461.05,14460.033333333333,14459.525,14461.775,2149,2021-03-09 22:00:00
4674,GER40_m_i,14459.0,14466.0,14458.0,14471.0,14464.5,14465.0,14465.25,14463.5,2400,2021-03-09 23:00:00
4675,GER40_m_i,14467.0,14457.0,14454.0,14469.0,14461.5,14460.0,14459.25,14461.75,2230,2021-03-10 00:00:00
4676,GER40_m_i,14457.0,14461.0,14457.0,14468.0,14462.5,14462.0,14461.75,14460.75,1120,2021-03-10 01:00:00
