,CAC40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6580,CAC40_i,7165.5,7170.1,7160.5,7170.1,7165.3,7166.900000000001,7167.700000000001,7166.55,331,2021-12-29 04:00:00
6581,CAC40_i,7170.6,7173.1,7165.6,7174.6,7170.1,7171.100000000001,7171.6,7170.975,266,2021-12-29 05:00:00
6582,CAC40_i,7171.6,7171.6,7169.6,7172.6,7171.1,7171.266666666667,7171.35,7171.35,158,2021-12-29 06:00:00
6583,CAC40_i,7170.6,7176.6,7168.6,7178.6,7173.6,7174.600000000001,7175.1,7173.6,234,2021-12-29 07:00:00
6584,CAC40_i,7178.1,7169.6,7168.6,7178.1,7173.35,7172.100000000001,7171.475,7173.6,267,2021-12-29 08:00:00
6585,CAC40_i,7171.1,7181.5,7168.6,7188.0,7178.3,7179.366666666666,7179.9,7177.299999999999,496,2021-12-29 09:00:00
6586,CAC40_i,7182.5,7190.7,7171.7,7203.7,7187.7,7188.7,7189.2,7187.15,1117,2021-12-29 10:00:00
6587,CAC40_i,7190.2,7187.2,7177.7,7195.2,7186.45,7186.7,7186.825,7187.575,622,2021-12-29 11:00:00
6588,CAC40_i,7187.2,7186.7,7182.7,7191.7,7187.2,7187.033333333333,7186.95,7187.075,424,2021-12-29 12:00:00
6589,CAC40_i,7186.7,7181.2,7177.2,7186.7,7181.95,7181.7,7181.575,7182.95,528,2021-12-29 13:00:00
6590,CAC40_i,7181.2,7167.7,7167.2,7181.2,7174.2,7172.033333333333,7170.95,7174.325,507,2021-12-29 14:00:00
6591,CAC40_i,7167.7,7165.7,7154.7,7171.7,7163.2,7164.033333333333,7164.45,7164.95,579,2021-12-29 15:00:00
6592,CAC40_i,7165.2,7151.2,7147.7,7171.7,7159.7,7156.866666666666,7155.45,7158.95,937,2021-12-29 16:00:00
6593,CAC40_i,7151.7,7160.2,7137.2,7160.7,7148.95,7152.7,7154.575,7152.45,1433,2021-12-29 17:00:00
6594,CAC40_i,7159.2,7159.7,7153.2,7167.7,7160.45,7160.2,7160.075,7159.95,911,2021-12-29 18:00:00
6595,CAC40_i,7159.7,7162.2,7150.2,7162.2,7156.2,7158.2,7159.2,7158.575,481,2021-12-29 19:00:00
6596,CAC40_i,7162.2,7164.2,7159.7,7165.7,7162.7,7163.2,7163.45,7162.95,379,2021-12-29 20:00:00
6597,CAC40_i,7164.2,7170.7,7162.7,7172.7,7167.7,7168.7,7169.2,7167.575,310,2021-12-29 21:00:00
6598,CAC40_i,7170.7,7167.1,7167.1,7180.2,7173.65,7171.466666666667,7170.375,7171.275000000001,536,2021-12-29 22:00:00
6599,CAC40_i,7154.5,7155.9,7154.4,7159.4,7156.9,7156.566666666666,7156.4,7156.049999999999,157,2021-12-30 01:00:00
6600,CAC40_i,7155.4,7156.4,7141.4,7157.9,7149.65,7151.899999999999,7153.025,7152.775,395,2021-12-30 02:00:00
6601,CAC40_i,7155.9,7165.9,7154.9,7167.9,7161.4,7162.899999999999,7163.65,7161.15,330,2021-12-30 03:00:00
6602,CAC40_i,7166.4,7158.9,7157.9,7169.4,7163.65,7162.066666666666,7161.275,7163.15,259,2021-12-30 04:00:00
6603,CAC40_i,7158.4,7156.4,7155.4,7161.9,7158.65,7157.899999999999,7157.525,7158.025,299,2021-12-30 05:00:00
6604,CAC40_i,7155.9,7160.4,7155.9,7161.9,7158.9,7159.399999999999,7159.65,7158.525,151,2021-12-30 06:00:00
6605,CAC40_i,7160.9,7154.4,7154.4,7163.4,7158.9,7157.399999999999,7156.65,7158.275,260,2021-12-30 07:00:00
6606,CAC40_i,7153.4,7161.9,7153.4,7164.4,7158.9,7159.899999999999,7160.4,7158.275,291,2021-12-30 08:00:00
6607,CAC40_i,7167.5,7163.9,7157.9,7172.0,7164.95,7164.599999999999,7164.424999999999,7165.325,461,2021-12-30 09:00:00
6608,CAC40_i,7165.9,7175.1,7155.1,7175.6,7165.35,7168.600000000001,7170.225,7167.925000000001,918,2021-12-30 10:00:00
6609,CAC40_i,7174.6,7183.1,7173.6,7192.1,7182.85,7182.933333333334,7182.975,7180.85,682,2021-12-30 11:00:00
6610,CAC40_i,7183.1,7171.6,7167.1,7184.1,7175.6,7174.266666666667,7173.6,7176.475,619,2021-12-30 12:00:00
6611,CAC40_i,7171.6,7184.6,7167.1,7187.6,7177.35,7179.766666666667,7180.975,7177.725,559,2021-12-30 13:00:00
6612,CAC40_i,7184.6,7181.1,7179.1,7189.6,7184.35,7183.266666666667,7182.725,7183.6,557,2021-12-30 14:00:00
6613,CAC40_i,7180.6,7188.6,7178.6,7189.6,7184.1,7185.600000000001,7186.35,7184.35,416,2021-12-30 15:00:00
6614,CAC40_i,7188.6,7169.6,7169.6,7189.6,7179.6,7176.266666666667,7174.6,7179.35,726,2021-12-30 16:00:00
6615,CAC40_i,7171.1,7175.6,7164.1,7180.1,7172.1,7173.266666666667,7173.85,7172.725,754,2021-12-30 17:00:00
6616,CAC40_i,7175.6,7175.6,7167.1,7183.6,7175.35,7175.433333333334,7175.475,7175.475,817,2021-12-30 18:00:00
6617,CAC40_i,7175.6,7178.1,7175.1,7179.6,7177.35,7177.600000000001,7177.725,7177.1,385,2021-12-30 19:00:00
6618,CAC40_i,7178.1,7174.1,7170.6,7178.1,7174.35,7174.266666666667,7174.225,7175.225,291,2021-12-30 20:00:00
6619,CAC40_i,7174.1,7170.1,7169.1,7175.1,7172.1,7171.433333333334,7171.1,7172.1,402,2021-12-30 21:00:00
6620,CAC40_i,7170.6,7151.0,7150.6,7170.6,7160.6,7157.400000000001,7155.8,7160.700000000001,717,2021-12-30 22:00:00
6621,CAC40_i,7154.9,7152.9,7149.9,7154.9,7152.4,7152.566666666666,7152.65,7153.15,132,2021-12-31 01:00:00
6622,CAC40_i,7152.4,7123.9,7115.9,7153.9,7134.9,7131.233333333333,7129.4,7136.525,487,2021-12-31 02:00:00
6623,CAC40_i,7124.4,7145.4,7124.4,7145.4,7134.9,7138.399999999999,7140.15,7134.9,473,2021-12-31 03:00:00
6624,CAC40_i,7145.9,7134.4,7131.4,7145.9,7138.65,7137.233333333333,7136.525,7139.4,354,2021-12-31 04:00:00
