,CHFJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6609,CHFJPY_i,125.31,125.308,125.27,125.377,125.3235,125.31833333333333,125.31575,125.31625,2080,2022-01-12 23:00:00
6610,CHFJPY_i,125.308,125.366,125.291,125.404,125.3475,125.35366666666665,125.35674999999999,125.34224999999999,729,2022-01-13 00:00:00
6611,CHFJPY_i,125.366,125.407,125.321,125.447,125.384,125.39166666666667,125.3955,125.38525,1054,2022-01-13 01:00:00
6612,CHFJPY_i,125.408,125.34,125.328,125.431,125.37950000000001,125.36633333333334,125.35975000000002,125.37675000000002,2196,2022-01-13 02:00:00
6613,CHFJPY_i,125.339,125.24,125.195,125.36,125.2775,125.265,125.25875,125.2835,2072,2022-01-13 03:00:00
6614,CHFJPY_i,125.24,125.322,125.232,125.367,125.2995,125.307,125.31075,125.29025,1242,2022-01-13 04:00:00
6615,CHFJPY_i,125.321,125.215,125.187,125.321,125.25399999999999,125.24099999999999,125.2345,125.261,1059,2022-01-13 05:00:00
6616,CHFJPY_i,125.214,125.24,125.214,125.279,125.2465,125.24433333333333,125.24325,125.23675,855,2022-01-13 06:00:00
6617,CHFJPY_i,125.24,125.204,125.165,125.251,125.208,125.20666666666666,125.206,125.215,815,2022-01-13 07:00:00
6618,CHFJPY_i,125.202,125.303,125.199,125.365,125.282,125.28899999999999,125.29249999999999,125.26724999999999,1259,2022-01-13 08:00:00
6619,CHFJPY_i,125.303,125.333,125.282,125.471,125.3765,125.36200000000001,125.35475,125.34725,4265,2022-01-13 09:00:00
6620,CHFJPY_i,125.332,125.291,125.235,125.472,125.3535,125.33266666666667,125.32225,125.3325,3139,2022-01-13 10:00:00
6621,CHFJPY_i,125.295,125.486,125.225,125.536,125.3805,125.41566666666667,125.43325,125.38550000000001,2992,2022-01-13 11:00:00
6622,CHFJPY_i,125.486,125.451,125.367,125.525,125.446,125.44766666666665,125.4485,125.45724999999999,2705,2022-01-13 12:00:00
6623,CHFJPY_i,125.451,125.526,125.407,125.528,125.4675,125.48700000000001,125.49675,125.47800000000001,2668,2022-01-13 13:00:00
6624,CHFJPY_i,125.525,125.335,125.305,125.569,125.43700000000001,125.403,125.386,125.43350000000001,4613,2022-01-13 14:00:00
6625,CHFJPY_i,125.334,125.48,125.201,125.487,125.344,125.38933333333334,125.412,125.3755,6097,2022-01-13 15:00:00
6626,CHFJPY_i,125.482,125.606,125.429,125.634,125.5315,125.55633333333333,125.56875,125.53774999999999,6328,2022-01-13 16:00:00
6627,CHFJPY_i,125.609,125.353,125.232,125.619,125.4255,125.40133333333334,125.38925,125.45325,7960,2022-01-13 17:00:00
6628,CHFJPY_i,125.354,125.288,125.221,125.382,125.3015,125.29700000000001,125.29475000000001,125.31125,5106,2022-01-13 18:00:00
6629,CHFJPY_i,125.288,125.243,125.175,125.31,125.2425,125.24266666666666,125.24275,125.254,4027,2022-01-13 19:00:00
6630,CHFJPY_i,125.244,125.248,125.238,125.334,125.286,125.27333333333333,125.267,125.26599999999999,2654,2022-01-13 20:00:00
6631,CHFJPY_i,125.248,125.247,125.236,125.3,125.268,125.26100000000001,125.25750000000001,125.25775,2176,2022-01-13 21:00:00
6632,CHFJPY_i,125.248,125.213,125.17,125.252,125.211,125.21166666666666,125.21199999999999,125.22075,2698,2022-01-13 22:00:00
6633,CHFJPY_i,125.213,125.281,125.2,125.284,125.242,125.255,125.2615,125.24449999999999,2278,2022-01-13 23:00:00
6634,CHFJPY_i,125.281,125.255,125.179,125.312,125.24549999999999,125.24866666666667,125.25025,125.25675,741,2022-01-14 00:00:00
6635,CHFJPY_i,125.242,125.223,125.189,125.347,125.268,125.253,125.2455,125.25025000000001,1192,2022-01-14 01:00:00
6636,CHFJPY_i,125.216,124.984,124.963,125.274,125.1185,125.07366666666667,125.05125,125.10925,2813,2022-01-14 02:00:00
