,EURGBP_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4038,EURGBP_i,0.85011,0.84981,0.84948,0.85054,0.8500099999999999,0.8499433333333334,0.8499099999999999,0.849985,1371,2021-08-16 13:00:00
4039,EURGBP_i,0.84981,0.84863,0.84824,0.84996,0.8491,0.8489433333333333,0.848865,0.8491599999999999,1487,2021-08-16 14:00:00
4040,EURGBP_i,0.84863,0.84931,0.84843,0.84935,0.84889,0.84903,0.8491,0.84893,2757,2021-08-16 15:00:00
4041,EURGBP_i,0.84932,0.85112,0.84923,0.85126,0.850245,0.8505366666666667,0.8506825,0.8502325000000001,3902,2021-08-16 16:00:00
4042,EURGBP_i,0.85111,0.85045,0.85034,0.85132,0.85083,0.8507033333333333,0.85064,0.850805,3550,2021-08-16 17:00:00
4043,EURGBP_i,0.85045,0.8502,0.85004,0.85072,0.85038,0.85032,0.85029,0.8503525,2337,2021-08-16 18:00:00
4044,EURGBP_i,0.8502,0.85032,0.8501,0.85043,0.850265,0.8502833333333334,0.8502925,0.8502625,1236,2021-08-16 19:00:00
4045,EURGBP_i,0.85032,0.85058,0.85031,0.85068,0.850495,0.8505233333333333,0.8505375,0.8504725,1049,2021-08-16 20:00:00
4046,EURGBP_i,0.85057,0.85085,0.85056,0.85088,0.8507199999999999,0.8507633333333332,0.8507849999999999,0.8507149999999999,841,2021-08-16 21:00:00
4047,EURGBP_i,0.85086,0.85094,0.85074,0.851,0.85087,0.8508933333333334,0.850905,0.850885,995,2021-08-16 22:00:00
4048,EURGBP_i,0.85093,0.85026,0.85026,0.851,0.85063,0.8505066666666666,0.850445,0.8506125,1130,2021-08-16 23:00:00
4049,EURGBP_i,0.85026,0.8505,0.85012,0.8507,0.85041,0.85044,0.850455,0.850395,772,2021-08-17 00:00:00
4050,EURGBP_i,0.85049,0.8508,0.85042,0.85084,0.85063,0.8506866666666667,0.850715,0.8506374999999999,459,2021-08-17 01:00:00
4051,EURGBP_i,0.8508,0.8508,0.85069,0.85091,0.8508,0.8508,0.8508,0.8508,354,2021-08-17 02:00:00
4052,EURGBP_i,0.8508,0.85083,0.85068,0.85098,0.85083,0.8508299999999999,0.85083,0.8508224999999999,707,2021-08-17 03:00:00
4053,EURGBP_i,0.85083,0.85123,0.85077,0.8514,0.8510850000000001,0.8511333333333334,0.8511575000000001,0.8510575,1060,2021-08-17 04:00:00
4054,EURGBP_i,0.85125,0.85143,0.8511,0.8515,0.8513,0.8513433333333333,0.851365,0.85132,760,2021-08-17 05:00:00
4055,EURGBP_i,0.85143,0.85166,0.8513,0.85176,0.8515299999999999,0.8515733333333332,0.8515949999999999,0.8515375,818,2021-08-17 06:00:00
4056,EURGBP_i,0.85168,0.85145,0.85144,0.85176,0.8515999999999999,0.8515499999999999,0.8515249999999999,0.8515824999999999,943,2021-08-17 07:00:00
4057,EURGBP_i,0.85145,0.85126,0.85104,0.85163,0.851335,0.8513099999999999,0.8512974999999999,0.851345,937,2021-08-17 08:00:00
4058,EURGBP_i,0.85123,0.85216,0.85103,0.85232,0.851675,0.8518366666666667,0.8519175,0.851685,2272,2021-08-17 09:00:00
4059,EURGBP_i,0.85216,0.85288,0.85196,0.85318,0.85257,0.8526733333333333,0.852725,0.852545,3065,2021-08-17 10:00:00
4060,EURGBP_i,0.85289,0.85268,0.8526,0.85343,0.8530150000000001,0.8529033333333333,0.8528475,0.8529,2219,2021-08-17 11:00:00
4061,EURGBP_i,0.85269,0.85278,0.85221,0.85298,0.852595,0.8526566666666667,0.8526875,0.852665,1600,2021-08-17 12:00:00
4062,EURGBP_i,0.85277,0.85293,0.85276,0.85349,0.8531249999999999,0.8530599999999998,0.8530274999999998,0.8529874999999999,1856,2021-08-17 13:00:00
4063,EURGBP_i,0.85291,0.85292,0.85284,0.85338,0.85311,0.8530466666666667,0.8530150000000001,0.8530125000000001,1904,2021-08-17 14:00:00
4064,EURGBP_i,0.85292,0.85251,0.85231,0.85344,0.852875,0.8527533333333334,0.8526925000000001,0.8527950000000001,3353,2021-08-17 15:00:00
4065,EURGBP_i,0.8525,0.85312,0.85238,0.85337,0.852875,0.8529566666666667,0.8529975000000001,0.8528425000000001,3711,2021-08-17 16:00:00
4066,EURGBP_i,0.85312,0.85272,0.85208,0.85316,0.8526199999999999,0.8526533333333334,0.85267,0.85277,3754,2021-08-17 17:00:00
