,WSt30_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4083,WSt30_m_i,34613.0,34532.0,34501.0,34623.0,34562.0,34552.0,34547.0,34567.25,972,2021-07-20 23:00:00
4084,WSt30_m_i,34534.0,34546.0,34534.0,34593.0,34563.5,34557.666666666664,34554.75,34551.75,866,2021-07-21 00:00:00
4085,WSt30_m_i,34547.0,34522.0,34517.0,34615.0,34566.0,34551.333333333336,34544.0,34550.25,1042,2021-07-21 01:00:00
4086,WSt30_m_i,34565.0,34572.0,34561.0,34573.0,34567.0,34568.666666666664,34569.5,34567.75,133,2021-07-21 04:00:00
4087,WSt30_m_i,34572.0,34597.0,34565.0,34603.0,34584.0,34588.333333333336,34590.5,34584.25,339,2021-07-21 05:00:00
4088,WSt30_m_i,34596.0,34607.0,34552.0,34627.0,34589.5,34595.333333333336,34598.25,34595.5,652,2021-07-21 06:00:00
4089,WSt30_m_i,34606.0,34563.0,34553.0,34608.0,34580.5,34574.666666666664,34571.75,34582.5,656,2021-07-21 07:00:00
4090,WSt30_m_i,34563.0,34492.0,34481.0,34564.0,34522.5,34512.333333333336,34507.25,34525.0,644,2021-07-21 08:00:00
4091,WSt30_m_i,34494.0,34522.0,34490.0,34531.0,34510.5,34514.333333333336,34516.25,34509.25,454,2021-07-21 09:00:00
4092,WSt30_m_i,34521.0,34488.0,34486.0,34545.0,34515.5,34506.333333333336,34501.75,34510.0,370,2021-07-21 10:00:00
4093,WSt30_m_i,34488.0,34513.0,34487.0,34555.0,34521.0,34518.333333333336,34517.0,34510.75,523,2021-07-21 11:00:00
4094,WSt30_m_i,34513.0,34559.0,34492.0,34566.0,34529.0,34539.0,34544.0,34532.5,830,2021-07-21 12:00:00
4095,WSt30_m_i,34555.0,34714.0,34527.0,34742.0,34634.5,34661.0,34674.25,34634.5,1580,2021-07-21 13:00:00
4096,WSt30_m_i,34713.0,34732.0,34664.0,34751.0,34707.5,34715.666666666664,34719.75,34715.0,986,2021-07-21 14:00:00
4097,WSt30_m_i,34733.0,34715.0,34691.0,34738.0,34714.5,34714.666666666664,34714.75,34719.25,809,2021-07-21 15:00:00
4098,WSt30_m_i,34715.0,34697.0,34677.0,34720.0,34698.5,34698.0,34697.75,34702.25,765,2021-07-21 16:00:00
4099,WSt30_m_i,34693.0,34588.0,34574.0,34693.0,34633.5,34618.333333333336,34610.75,34637.0,862,2021-07-21 17:00:00
4100,WSt30_m_i,34588.0,34658.0,34582.0,34681.0,34631.5,34640.333333333336,34644.75,34627.25,802,2021-07-21 18:00:00
4101,WSt30_m_i,34659.0,34778.0,34642.0,34797.0,34719.5,34739.0,34748.75,34719.0,1470,2021-07-21 19:00:00
4102,WSt30_m_i,34778.0,34749.0,34700.0,34794.0,34747.0,34747.666666666664,34748.0,34755.25,1277,2021-07-21 20:00:00
4103,WSt30_m_i,34749.0,34789.0,34693.0,34800.0,34746.5,34760.666666666664,34767.75,34757.75,924,2021-07-21 21:00:00
4104,WSt30_m_i,34789.0,34761.0,34746.0,34792.0,34769.0,34766.333333333336,34765.0,34772.0,588,2021-07-21 22:00:00
4105,WSt30_m_i,34760.0,34765.0,34753.0,34781.0,34767.0,34766.333333333336,34766.0,34764.75,580,2021-07-21 23:00:00
4106,WSt30_m_i,34765.0,34781.0,34753.0,34781.0,34767.0,34771.666666666664,34774.0,34770.0,523,2021-07-22 00:00:00
4107,WSt30_m_i,34780.0,34807.0,34744.0,34823.0,34783.5,34791.333333333336,34795.25,34788.5,766,2021-07-22 01:00:00
4108,WSt30_m_i,34829.0,34832.0,34824.0,34837.0,34830.5,34831.0,34831.25,34830.5,104,2021-07-22 04:00:00
4109,WSt30_m_i,34831.0,34838.0,34823.0,34860.0,34841.5,34840.333333333336,34839.75,34838.0,321,2021-07-22 05:00:00
4110,WSt30_m_i,34838.0,34815.0,34814.0,34840.0,34827.0,34823.0,34821.0,34826.75,395,2021-07-22 06:00:00
4111,WSt30_m_i,34816.0,34843.0,34812.0,34847.0,34829.5,34834.0,34836.25,34829.5,347,2021-07-22 07:00:00
4112,WSt30_m_i,34844.0,34824.0,34821.0,34846.0,34833.5,34830.333333333336,34828.75,34833.75,296,2021-07-22 08:00:00
4113,WSt30_m_i,34825.0,34829.0,34822.0,34837.0,34829.5,34829.333333333336,34829.25,34828.25,221,2021-07-22 09:00:00
4114,WSt30_m_i,34830.0,34827.0,34823.0,34832.0,34827.5,34827.333333333336,34827.25,34828.0,164,2021-07-22 10:00:00
4115,WSt30_m_i,34826.0,34838.0,34819.0,34851.0,34835.0,34836.0,34836.5,34833.5,267,2021-07-22 11:00:00
4116,WSt30_m_i,34838.0,34833.0,34818.0,34849.0,34833.5,34833.333333333336,34833.25,34834.5,503,2021-07-22 12:00:00
4117,WSt30_m_i,34831.0,34841.0,34818.0,34869.0,34843.5,34842.666666666664,34842.25,34839.75,794,2021-07-22 13:00:00
4118,WSt30_m_i,34840.0,34870.0,34825.0,34881.0,34853.0,34858.666666666664,34861.5,34854.0,561,2021-07-22 14:00:00
4119,WSt30_m_i,34870.0,34882.0,34857.0,34891.0,34874.0,34876.666666666664,34878.0,34875.0,429,2021-07-22 15:00:00
4120,WSt30_m_i,34882.0,34889.0,34865.0,34903.0,34884.0,34885.666666666664,34886.5,34884.75,475,2021-07-22 16:00:00
4121,WSt30_m_i,34890.0,34855.0,34818.0,34890.0,34854.0,34854.333333333336,34854.5,34863.25,626,2021-07-22 17:00:00
4122,WSt30_m_i,34856.0,34747.0,34726.0,34858.0,34792.0,34777.0,34769.5,34796.75,836,2021-07-22 18:00:00
4123,WSt30_m_i,34743.0,34732.0,34671.0,34810.0,34740.5,34737.666666666664,34736.25,34739.0,1731,2021-07-22 19:00:00
4124,WSt30_m_i,34734.0,34779.0,34697.0,34798.0,34747.5,34758.0,34763.25,34752.0,1496,2021-07-22 20:00:00
4125,WSt30_m_i,34778.0,34751.0,34728.0,34794.0,34761.0,34757.666666666664,34756.0,34762.75,1042,2021-07-22 21:00:00
4126,WSt30_m_i,34752.0,34801.0,34705.0,34802.0,34753.5,34769.333333333336,34777.25,34765.0,896,2021-07-22 22:00:00
4127,WSt30_m_i,34800.0,34843.0,34791.0,34844.0,34817.5,34826.0,34830.25,34819.5,626,2021-07-22 23:00:00
4128,WSt30_m_i,34843.0,34875.0,34838.0,34883.0,34860.5,34865.333333333336,34867.75,34859.75,626,2021-07-23 00:00:00
4129,WSt30_m_i,34875.0,34824.0,34816.0,34879.0,34847.5,34839.666666666664,34835.75,34848.5,743,2021-07-23 01:00:00
4130,WSt30_m_i,34870.0,34870.0,34868.0,34874.0,34871.0,34870.666666666664,34870.5,34870.5,86,2021-07-23 04:00:00
4131,WSt30_m_i,34870.0,34868.0,34867.0,34879.0,34873.0,34871.333333333336,34870.5,34871.0,161,2021-07-23 05:00:00
4132,WSt30_m_i,34868.0,34882.0,34850.0,34890.0,34870.0,34874.0,34876.0,34872.5,306,2021-07-23 06:00:00
4133,WSt30_m_i,34881.0,34883.0,34874.0,34896.0,34885.0,34884.333333333336,34884.0,34883.5,324,2021-07-23 07:00:00
4134,WSt30_m_i,34883.0,34878.0,34869.0,34893.0,34881.0,34880.0,34879.5,34880.75,275,2021-07-23 08:00:00
4135,WSt30_m_i,34878.0,34871.0,34868.0,34884.0,34876.0,34874.333333333336,34873.5,34875.25,207,2021-07-23 09:00:00
4136,WSt30_m_i,34870.0,34875.0,34853.0,34879.0,34866.0,34869.0,34870.5,34869.25,201,2021-07-23 10:00:00
4137,WSt30_m_i,34876.0,34871.0,34864.0,34882.0,34873.0,34872.333333333336,34872.0,34873.25,267,2021-07-23 11:00:00
4138,WSt30_m_i,34872.0,34899.0,34867.0,34908.0,34887.5,34891.333333333336,34893.25,34886.5,506,2021-07-23 12:00:00
4139,WSt30_m_i,34900.0,34931.0,34889.0,34934.0,34911.5,34918.0,34921.25,34913.5,724,2021-07-23 13:00:00
4140,WSt30_m_i,34932.0,34942.0,34921.0,34956.0,34938.5,34939.666666666664,34940.25,34937.75,416,2021-07-23 14:00:00
4141,WSt30_m_i,34942.0,34968.0,34942.0,34992.0,34967.0,34967.333333333336,34967.5,34961.0,429,2021-07-23 15:00:00
4142,WSt30_m_i,34968.0,34986.0,34962.0,34994.0,34978.0,34980.666666666664,34982.0,34977.5,409,2021-07-23 16:00:00
4143,WSt30_m_i,34988.0,34992.0,34970.0,34995.0,34982.5,34985.666666666664,34987.25,34986.25,474,2021-07-23 17:00:00
4144,WSt30_m_i,34993.0,34998.0,34991.0,35025.0,35008.0,35004.666666666664,35003.0,35001.75,454,2021-07-23 18:00:00
4145,WSt30_m_i,34998.0,34943.0,34925.0,35062.0,34993.5,34976.666666666664,34968.25,34982.0,1195,2021-07-23 19:00:00
4146,WSt30_m_i,34944.0,35020.0,34930.0,35029.0,34979.5,34993.0,34999.75,34980.75,1206,2021-07-23 20:00:00
4147,WSt30_m_i,35021.0,35003.0,35002.0,35093.0,35047.5,35032.666666666664,35025.25,35029.75,903,2021-07-23 21:00:00
4148,WSt30_m_i,35004.0,35029.0,35004.0,35043.0,35023.5,35025.333333333336,35026.25,35020.0,611,2021-07-23 22:00:00
4149,WSt30_m_i,35029.0,35059.0,35027.0,35084.0,35055.5,35056.666666666664,35057.25,35049.75,565,2021-07-23 23:00:00
4150,WSt30_m_i,35056.0,35058.0,35052.0,35068.0,35060.0,35059.333333333336,35059.0,35058.5,109,2021-07-26 04:00:00
4151,WSt30_m_i,35058.0,35040.0,35031.0,35068.0,35049.5,35046.333333333336,35044.75,35049.25,387,2021-07-26 05:00:00
4152,WSt30_m_i,35042.0,34957.0,34928.0,35048.0,34988.0,34977.666666666664,34972.5,34993.75,739,2021-07-26 06:00:00
4153,WSt30_m_i,34957.0,34927.0,34911.0,34966.0,34938.5,34934.666666666664,34932.75,34940.25,656,2021-07-26 07:00:00
4154,WSt30_m_i,34928.0,34906.0,34896.0,34939.0,34917.5,34913.666666666664,34911.75,34917.25,513,2021-07-26 08:00:00
4155,WSt30_m_i,34905.0,34912.0,34899.0,34921.0,34910.0,34910.666666666664,34911.0,34909.25,389,2021-07-26 09:00:00
4156,WSt30_m_i,34912.0,34924.0,34912.0,34931.0,34921.5,34922.333333333336,34922.75,34919.75,266,2021-07-26 10:00:00
4157,WSt30_m_i,34924.0,34906.0,34886.0,34933.0,34909.5,34908.333333333336,34907.75,34912.25,442,2021-07-26 11:00:00
4158,WSt30_m_i,34904.0,34898.0,34869.0,34917.0,34893.0,34894.666666666664,34895.5,34897.0,783,2021-07-26 12:00:00
4159,WSt30_m_i,34898.0,34838.0,34832.0,34934.0,34883.0,34868.0,34860.5,34875.5,990,2021-07-26 13:00:00
4160,WSt30_m_i,34837.0,34855.0,34768.0,34875.0,34821.5,34832.666666666664,34838.25,34833.75,889,2021-07-26 14:00:00
4161,WSt30_m_i,34855.0,34942.0,34849.0,34953.0,34901.0,34914.666666666664,34921.5,34899.75,690,2021-07-26 15:00:00
4162,WSt30_m_i,34941.0,34931.0,34931.0,34988.0,34959.5,34950.0,34945.25,34947.75,601,2021-07-26 16:00:00
4163,WSt30_m_i,34930.0,34985.0,34916.0,34992.0,34954.0,34964.333333333336,34969.5,34955.75,612,2021-07-26 17:00:00
4164,WSt30_m_i,34985.0,34964.0,34956.0,35013.0,34984.5,34977.666666666664,34974.25,34979.5,640,2021-07-26 18:00:00
4165,WSt30_m_i,34964.0,35042.0,34952.0,35107.0,35029.5,35033.666666666664,35035.75,35016.25,1355,2021-07-26 19:00:00
4166,WSt30_m_i,35042.0,35016.0,34956.0,35048.0,35002.0,35006.666666666664,35009.0,35015.5,1251,2021-07-26 20:00:00
4167,WSt30_m_i,35016.0,35092.0,34998.0,35109.0,35053.5,35066.333333333336,35072.75,35053.75,843,2021-07-26 21:00:00
4168,WSt30_m_i,35091.0,35088.0,35065.0,35098.0,35081.5,35083.666666666664,35084.75,35085.5,660,2021-07-26 22:00:00
4169,WSt30_m_i,35089.0,35117.0,35082.0,35127.0,35104.5,35108.666666666664,35110.75,35103.75,536,2021-07-26 23:00:00
4170,WSt30_m_i,35116.0,35133.0,35110.0,35143.0,35126.5,35128.666666666664,35129.75,35125.5,558,2021-07-27 00:00:00
