,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
30,OHLC/4,746,796,25,macd,113,77,6,41,0.67,823,398,82,124,13,237,195,326,192,232,251,176,193,255,881,223,459,385,94,559,178,103,992,708,926,848,669,706,678,284,434,1289,2399,46,727,120,667,101,48,328,37,14,0.17,0.71,16.73,15.61,17.1,18.16,False,False,True,False,True,False,True,True,True,True,True,True,True,True,False,False,False,-1.0,True,False
31,low,363,848,22,macdh,117,70,6,43,0.17,1305,467,164,200,422,176,210,116,96,68,404,243,44,889,816,211,134,107,481,357,116,19,484,163,475,273,724,654,538,714,254,1245,1865,44,502,29,98,143,46,875,34,28,0.52,0.3,19.3,15.39,19.97,18.37,False,False,True,False,True,False,False,False,True,True,False,True,True,False,True,True,True,-1.0,True,False
32,OHLC/4,697,821,36,macd,230,56,6,11,0.73,1823,331,31,97,79,196,54,731,62,63,65,157,42,889,708,343,263,114,169,619,495,132,621,400,694,343,847,61,788,274,391,801,2180,22,463,14,48,124,30,404,34,46,0.43,0.15,16.78,17.17,18.71,17.63,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,True,-1.0,True,False
33,HLCC/4,518,1390,8,macd,163,12,6,26,0.19,737,620,161,178,756,147,161,229,180,123,311,202,114,715,477,162,324,103,136,993,392,269,701,818,509,162,449,413,317,654,404,879,1286,16,395,34,38,16,14,3,30,5,0.08,0.67,16.67,18.04,15.53,15.81,True,True,True,False,True,False,False,True,False,True,True,True,True,False,False,False,False,-1.0,True,False
34,close,77,396,22,macdh,231,155,6,31,0.54,1672,678,188,228,102,2,127,866,142,108,857,9,51,289,846,324,362,66,190,167,131,58,380,434,226,65,647,400,59,492,382,624,1663,35,321,28,451,102,27,801,29,19,0.01,0.87,2.07,10.34,10.67,18.31,True,True,True,True,True,False,False,False,True,False,False,True,True,True,True,False,False,3.287850543880261,True,False
35,HLCC/4,50,88,31,macdh,56,249,5,50,0.05,1996,429,82,133,821,67,199,831,87,69,455,191,22,154,255,166,340,250,481,139,411,238,685,296,526,321,566,86,810,526,120,245,1846,20,330,31,108,135,8,928,2,50,0.31,0.15,0.49,3.68,4.48,11.33,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,-1.0,True,False
36,low,629,866,47,macd,14,57,6,33,0.12,289,400,20,139,539,10,3,441,217,127,188,129,26,494,707,87,48,46,189,376,174,80,677,462,937,669,177,116,811,258,347,444,218,45,55,34,103,2,30,943,40,38,0.77,0.01,15.3,16.76,15.38,18.91,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,True,-1.0,True,False
37,open,109,604,10,macds,94,247,5,39,0.49,669,407,13,134,439,151,81,436,29,225,860,150,133,412,821,266,392,153,213,501,406,134,608,415,765,642,847,330,456,815,110,1071,1209,15,183,169,1309,149,37,176,46,50,0.09,0.97,0.47,3.56,4.2,11.0,False,True,True,True,False,False,True,True,False,False,True,True,True,True,False,True,True,-1.0,True,False
38,HLC/3,105,753,8,macds,137,146,6,35,0.59,1195,763,71,23,564,169,228,634,167,215,242,193,24,566,925,816,251,22,884,777,372,34,691,970,758,399,979,191,421,872,188,942,1539,32,237,30,38,182,27,827,20,46,0.15,0.27,16.87,15.69,15.12,17.53,False,False,True,True,True,False,False,True,False,True,True,True,False,True,True,True,True,-1.0,True,False
39,HLC/3,45,423,20,macdh,100,99,6,4,0.84,2095,270,166,188,924,102,175,114,227,130,503,46,118,293,762,576,159,109,763,185,169,82,543,249,313,922,143,393,249,849,26,1120,425,15,374,22,46,95,18,137,21,24,0.52,0.79,15.79,17.21,19.48,15.74,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,-1.0,True,False
40,HLC/3,252,1194,39,macd,206,230,6,33,0.91,2146,51,197,135,992,17,56,459,198,209,198,196,75,417,785,639,388,79,632,559,182,44,794,456,509,87,272,34,584,667,286,849,364,10,214,48,90,178,34,618,12,2,0.41,0.96,18.85,19.89,16.05,19.13,True,True,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,-1.0,True,False
41,HLCC/4,255,947,23,macdh,213,39,6,19,0.15,2401,182,10,224,501,206,229,172,2,97,874,56,106,496,443,905,387,356,249,755,471,450,235,946,242,885,675,801,431,55,431,1027,2234,21,995,21,95,184,33,472,34,44,0.05,0.02,17.19,16.07,18.58,16.45,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,-1.0,True,False
42,HLC/3,171,742,33,macds,127,41,6,5,0.01,155,187,45,117,985,99,62,41,35,236,133,240,173,640,284,690,376,131,799,594,176,92,828,385,644,722,131,768,232,665,369,1187,429,31,128,29,69,51,10,966,39,34,0.41,0.02,16.4,19.59,18.18,16.5,False,False,True,True,True,False,False,False,True,False,True,True,True,True,True,False,False,-1.0,True,False
43,open,346,1421,44,macd,52,207,6,28,0.54,1742,323,48,45,963,42,100,732,127,247,307,207,201,889,635,501,478,58,318,40,403,395,23,375,524,236,372,671,754,204,13,275,1216,8,521,61,1141,12,8,145,6,41,0.18,0.42,19.04,17.74,18.85,16.66,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,-1.0,True,False
44,low,53,1131,9,macd,186,195,6,7,0.31,912,687,25,142,500,165,234,347,81,220,89,22,218,774,655,884,261,100,939,260,129,11,538,457,793,710,708,424,436,635,399,1082,1583,5,221,4,69,97,26,489,50,11,0.96,0.32,17.35,16.42,19.27,16.07,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,-1.0,True,False
45,low,101,321,50,macd,169,75,6,23,0.39,2611,877,135,178,102,18,205,205,160,73,391,34,192,325,900,497,427,33,653,528,283,15,258,744,734,995,162,594,104,461,458,1299,2413,40,504,31,42,47,46,157,28,26,0.07,0.86,16.62,15.96,17.7,19.32,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,True,False,-1.0,True,False
46,close,41,409,10,macdh,201,61,6,50,0.76,1254,473,14,125,109,22,183,207,74,240,608,184,147,924,912,744,484,280,862,77,41,14,515,888,678,610,369,786,795,933,354,644,1917,38,676,18,63,46,36,674,9,6,0.72,0.35,17.28,16.63,19.34,18.58,False,False,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,-1.0,True,False
47,HLCC/4,232,1398,7,macdh,219,4,6,38,0.74,1003,780,249,127,119,134,223,535,164,93,845,73,84,179,215,696,419,16,760,426,247,160,275,329,399,698,708,597,984,723,64,1060,1882,32,629,23,74,19,23,900,46,45,0.95,0.16,17.6,18.64,15.63,19.09,True,False,True,False,True,False,True,False,False,False,True,True,True,True,False,False,False,-1.0,True,False
48,OHLC/4,55,108,50,macds,83,101,6,39,0.94,1376,242,181,86,483,128,45,724,193,8,417,62,239,166,140,88,70,37,65,792,329,244,166,433,189,903,315,810,466,980,116,1022,1593,46,285,12,17,12,31,999,38,21,0.62,0.12,16.18,17.76,15.27,17.15,True,True,False,False,False,True,False,False,True,True,False,True,True,False,False,True,False,-1.0,True,False
49,close,96,1100,35,macds,157,27,6,39,0.94,2544,400,131,175,885,47,104,376,245,8,283,9,92,945,969,388,409,23,781,481,356,270,968,191,895,772,874,259,843,959,367,773,2306,28,19,10,87,27,28,180,11,37,0.18,0.41,15.74,19.09,16.58,19.59,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,-1.0,True,False
50,close,117,597,24,macd,209,143,6,13,0.14,244,149,44,205,388,100,206,403,112,64,376,178,83,21,929,119,99,18,696,414,225,30,877,455,852,16,625,376,510,932,67,1274,1252,7,138,155,1092,142,33,55,49,18,0.8,0.5,19.41,19.08,19.03,16.86,True,True,False,True,True,True,True,False,False,False,False,True,True,True,False,True,False,-1.0,True,False
51,low,415,920,14,macds,105,103,6,20,0.89,685,131,145,81,703,224,190,453,64,160,356,224,149,61,991,425,376,96,648,303,315,78,749,378,235,174,147,35,569,473,427,1236,816,24,797,147,1237,131,16,730,31,35,0.11,0.49,15.83,17.81,16.61,17.57,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,True,False,-1.0,True,False
52,HLCC/4,418,1397,49,macds,209,31,1,23,0.52,432,749,161,58,370,203,9,762,63,201,385,145,95,517,830,610,246,165,875,540,213,173,950,877,288,38,850,420,735,142,235,554,182,10,668,22,53,20,32,324,15,2,0.73,0.97,0.52,0.91,0.92,0.87,True,True,True,True,False,True,True,False,True,False,True,False,True,False,False,True,False,-1.0,True,False
53,HL/2,338,1438,46,macds,96,105,6,12,0.59,699,322,184,84,752,69,118,502,179,198,436,61,202,379,692,506,497,351,117,314,225,49,84,761,681,319,977,855,272,997,7,265,1558,23,14,29,79,86,9,859,42,38,0.06,0.73,15.29,17.11,16.91,18.26,True,False,True,False,False,False,True,False,True,False,False,True,True,True,True,True,True,-1.0,True,False
