,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
33,open,503,854,42,macds,250,204,3,26,0.52,1165,981,92,132,277,84,129,806,115,248,656,30,173,835,612,421,145,102,765,566,421,398,541,145,90,740,72,903,746,214,134,204,762,47,825,22,26,58,37,875,17,9,0.86,0.32,9.426526672629878,23.53834472285498,10.762459255408771,22.52573410623782,True,False,True,False,False,True,False,False,False,True,False,True,True,True,True,False,True,10.729898344000308,True,False
34,open,27,1209,27,macdh,246,38,3,27,0.75,2008,719,85,51,674,46,144,108,33,176,368,88,190,501,929,498,413,346,405,611,469,165,691,40,92,890,747,902,817,941,94,914,1757,24,546,28,81,84,40,607,18,19,0.37,0.45,11.756669127368989,17.851711471420888,13.398473666009806,19.028648903600114,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,2.8899417131734664,True,False
35,low,196,1320,21,macds,164,66,3,34,0.85,2547,890,151,8,624,210,15,546,14,115,235,85,70,699,903,789,429,219,465,452,186,83,476,506,763,521,824,318,809,400,111,1223,2213,41,97,40,101,174,38,88,6,14,0.57,0.89,12.23031007087392,12.92940439804338,5.568409724675746,13.068294760493204,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,True,True,18.61462960809707,True,False
36,HLC/3,329,498,40,macds,205,144,3,48,0.61,1015,439,128,160,197,91,250,848,116,135,931,186,139,301,521,316,87,46,652,574,239,164,179,825,564,853,198,567,248,988,81,377,296,15,101,27,108,134,33,726,12,5,0.4,0.96,9.642211150474813,22.93257804101292,10.449632727453045,16.135788593138123,True,False,False,True,False,True,False,False,True,False,True,False,False,True,True,True,True,18.29297551406924,True,False
37,OHLC/4,696,1211,40,macdh,219,160,3,36,0.04,1938,289,171,33,978,65,18,135,98,65,572,241,223,648,769,318,242,25,672,645,433,263,470,231,149,863,862,277,391,754,393,944,947,48,831,44,95,177,35,722,25,2,0.31,0.58,0.93,0.97,0.89,0.99,False,False,True,True,True,False,True,False,False,False,False,True,False,False,True,False,True,18.03323570653804,True,False
38,close,614,713,23,macd,180,2,4,40,0.87,2506,648,22,33,857,51,36,396,112,34,563,89,188,671,833,596,185,169,973,205,164,11,510,138,681,208,889,655,80,588,384,730,1619,49,657,2,11,199,12,794,22,39,0.17,0.17,0.961390264542262,0.961390264542262,17.078998709360327,17.078998709360327,False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,27.64486091963279,True,False
39,HL/2,83,189,21,macds,230,24,3,46,0.24,2285,296,21,74,435,2,76,929,153,145,255,146,171,764,554,444,442,229,844,280,330,123,969,955,315,524,318,283,777,78,87,1324,643,28,586,4,18,92,15,17,18,16,0.64,0.83,0.75,0.81,0.93,0.85,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,False,21.02190518043988,True,False
40,low,534,874,25,macd,181,84,4,21,0.28,2226,738,58,16,402,84,178,237,68,177,633,221,183,312,694,553,420,121,778,542,349,172,251,765,333,254,270,966,607,542,263,511,777,25,567,7,61,116,26,88,11,3,0.03,0.97,0.84,0.95,0.87,0.92,True,True,True,False,True,True,True,True,False,True,True,True,False,True,False,False,False,20.67899240814741,True,False
41,HLC/3,500,1040,27,macd,219,70,2,32,0.12,2025,667,192,188,777,137,34,298,13,241,891,156,236,771,285,257,87,38,917,845,60,55,617,442,277,48,991,916,504,641,460,927,924,46,948,8,50,90,42,633,23,7,0.01,0.89,8.42052280592851,22.896238298713165,12.65465596197078,18.45483647322574,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,29.45716423661541,True,False
42,close,683,1452,19,macdh,183,29,2,22,0.07,2462,204,194,52,265,144,142,507,171,114,59,226,103,117,899,782,268,38,536,297,58,37,589,109,740,306,394,454,672,681,497,541,1540,27,924,4,90,144,43,680,30,8,0.56,0.45,0.82,0.85,0.83,0.84,False,False,True,True,True,False,False,True,False,True,True,True,False,True,True,True,True,25.22993897709004,True,False
