,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
859,close,6,27,5,macdh,29,21,5,4,0.02,1853,653,8,99,374,38,51,519,53,79,179,65,52,767,764,627,373,58,469,190,287,220,129,867,520,591,561,470,130,478,8,10,27,20,532,4,46,17,19,870,12,17,0.27,0.19,0.34,0.4,0.55,0.64,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,6.851083351,TRUE,FALSE
860,close,32,63,27,macdh,5,82,5,16,0.25,1039,669,86,99,934,52,91,945,60,93,925,30,41,392,508,395,349,129,956,545,482,383,689,330,145,904,22,41,643,64,20,59,57,19,571,3,33,48,6,123,7,9,0.19,0.15,0.52,0.91,0.82,0.81,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,10.28764403,TRUE,FALSE
861,low,28,63,35,macd,18,26,5,5,0.1,2477,506,40,18,737,46,16,889,41,81,478,62,85,909,616,810,138,34,696,163,349,129,276,761,101,647,195,19,253,357,26,37,103,16,82,4,38,42,9,619,25,10,0.3,0.39,0.63,0.71,0.84,0.91,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,15.47142203,TRUE,FALSE
862,OHLC/4,7,61,25,macdh,31,79,2,15,0.18,837,911,60,41,533,41,99,295,77,11,992,39,85,144,789,987,432,163,780,502,420,17,991,848,877,414,100,309,984,986,5,18,71,14,733,3,16,64,19,263,5,8,0.26,0.25,0.88,0.96,0.92,0.93,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.54361613,TRUE,FALSE
863,high,16,28,11,macds,97,92,2,15,0.12,2893,847,57,82,459,8,76,509,80,99,777,81,27,108,821,544,242,150,923,447,167,98,152,506,65,444,82,443,53,430,12,41,65,6,121,4,34,68,6,663,22,7,0.29,0.35,0.42,0.81,0.62,1.08,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,8.137344176,TRUE,FALSE
864,open,8,66,5,macds,15,21,5,2,0.36,1780,712,11,52,495,11,17,71,37,83,182,62,71,864,701,677,234,149,744,919,388,34,747,766,61,349,901,2,747,308,5,56,97,1,877,8,34,64,13,700,21,6,0.05,0.32,0.49,0.9,0.82,0.86,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1.173346052,TRUE,FALSE
865,HLCC/4,17,23,15,macd,29,49,4,18,0.39,1708,833,16,16,116,7,70,990,11,83,965,54,69,33,974,526,249,37,476,417,493,398,852,155,747,456,132,780,141,375,14,40,76,14,789,3,29,78,18,428,17,22,0.3,0.13,0.45,0.6,0.83,0.96,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,18.44711236,TRUE,FALSE
866,HLC/3,30,62,4,macds,45,68,5,6,0.28,1444,996,89,63,593,61,29,992,64,13,510,41,92,437,982,644,350,57,237,355,314,272,144,389,193,202,163,513,780,499,3,48,24,19,681,7,24,78,14,233,13,18,0.24,0.04,0.32,0.4,0.53,0.63,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,19.15934065,TRUE,FALSE
867,close,30,35,21,macds,31,67,5,8,0.39,840,376,25,99,147,21,91,645,28,41,707,19,5,758,988,614,286,221,178,278,213,73,197,73,786,431,306,680,443,155,15,21,45,14,25,10,21,47,14,113,16,5,0.04,0.01,0.46,0.73,0.68,0.93,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,17.31861438,TRUE,FALSE
868,open,7,42,33,macds,89,45,6,5,0.26,1049,612,44,59,373,22,54,302,14,78,877,13,23,197,639,749,163,127,841,497,400,84,203,795,94,374,355,899,362,140,5,47,57,15,489,12,24,16,20,528,2,11,0.19,0.24,0.8,0.87,0.91,1.0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2.940364673,TRUE,FALSE
