,BTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
25519,BTCUSD_i,37875.4,37776.4,37718.4,37884.4,37801.4,37793.06666666667,37788.9,37813.65,1130,2022-01-30 16:15:00
25520,BTCUSD_i,37776.4,37800.4,37728.4,37814.4,37771.4,37781.06666666667,37785.9,37779.9,1119,2022-01-30 16:30:00
25521,BTCUSD_i,37801.4,37825.4,37723.4,37845.4,37784.4,37798.06666666667,37804.9,37798.9,808,2022-01-30 16:45:00
25522,BTCUSD_i,37825.4,37868.4,37825.4,37897.4,37861.4,37863.73333333334,37864.9,37854.15,1144,2022-01-30 17:00:00
25523,BTCUSD_i,37868.4,37962.4,37780.4,38025.4,37902.9,37922.73333333334,37932.65,37909.15,1485,2022-01-30 17:15:00
25524,BTCUSD_i,37962.4,37983.4,37912.4,38005.4,37958.9,37967.06666666667,37971.15,37965.9,1293,2022-01-30 17:30:00
25525,BTCUSD_i,37983.4,37951.4,37923.4,38008.4,37965.9,37961.06666666667,37958.65,37966.65,1056,2022-01-30 17:45:00
25526,BTCUSD_i,37957.4,37991.4,37878.4,38044.4,37961.4,37971.4,37976.4,37967.9,1202,2022-01-30 18:00:00
25527,BTCUSD_i,37991.4,37897.4,37887.4,37994.4,37940.9,37926.4,37919.15,37942.65,825,2022-01-30 18:15:00
25528,BTCUSD_i,37902.4,37810.4,37795.4,37904.4,37849.9,37836.73333333334,37830.15,37853.15,1032,2022-01-30 18:30:00
25529,BTCUSD_i,37810.4,37815.4,37780.4,37856.4,37818.4,37817.4,37816.9,37815.65,560,2022-01-30 18:45:00
25530,BTCUSD_i,37815.4,37830.4,37760.4,37830.4,37795.4,37807.06666666667,37812.9,37809.15,509,2022-01-30 19:00:00
25531,BTCUSD_i,37830.4,37934.4,37828.4,37938.4,37883.4,37900.4,37908.9,37882.9,724,2022-01-30 19:15:00
25532,BTCUSD_i,37934.4,37940.4,37900.4,37943.4,37921.9,37928.06666666667,37931.15,37929.65,519,2022-01-30 19:30:00
25533,BTCUSD_i,37940.4,37974.4,37913.4,37975.4,37944.4,37954.4,37959.4,37950.9,416,2022-01-30 19:45:00
25534,BTCUSD_i,37974.4,37995.4,37957.4,38001.4,37979.4,37984.73333333334,37987.4,37982.15,474,2022-01-30 20:00:00
25535,BTCUSD_i,37997.4,37916.4,37875.4,38000.4,37937.9,37930.73333333334,37927.15,37947.4,584,2022-01-30 20:15:00
