,NQ100_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
31352,NQ100_m_i,14215.7,14229.2,14213.7,14269.2,14241.45,14237.366666666669,14235.325,14231.95,3386,2022-03-21 19:30:00
31353,NQ100_m_i,14229.7,14266.8,14217.9,14268.2,14243.05,14250.966666666665,14254.925,14245.649999999998,3310,2022-03-21 19:45:00
31354,NQ100_m_i,14266.5,14254.2,14232.9,14280.4,14256.65,14255.833333333334,14255.425,14258.5,3251,2022-03-21 20:00:00
31355,NQ100_m_i,14253.9,14328.9,14242.9,14338.5,14290.7,14303.433333333334,14309.800000000001,14291.050000000001,3107,2022-03-21 20:15:00
31356,NQ100_m_i,14329.0,14324.4,14296.9,14334.5,14315.7,14318.6,14320.050000000001,14321.2,2833,2022-03-21 20:30:00
31357,NQ100_m_i,14324.9,14256.9,14253.8,14345.9,14299.849999999999,14285.533333333333,14278.375,14295.375,3225,2022-03-21 20:45:00
31358,NQ100_m_i,14255.7,14300.4,14249.0,14301.9,14275.45,14283.766666666668,14287.925000000001,14276.75,2835,2022-03-21 21:00:00
31359,NQ100_m_i,14300.9,14322.6,14279.5,14325.7,14302.6,14309.266666666668,14312.6,14307.175000000001,2997,2022-03-21 21:15:00
31360,NQ100_m_i,14322.7,14301.8,14290.2,14343.0,14316.6,14311.666666666666,14309.2,14314.425,3124,2022-03-21 21:30:00
31361,NQ100_m_i,14303.3,14375.4,14266.8,14378.6,14322.7,14340.266666666668,14349.050000000001,14331.025000000001,3556,2022-03-21 21:45:00
31362,NQ100_m_i,14376.5,14378.1,14369.8,14378.5,14374.15,14375.466666666667,14376.125,14375.725,351,2022-03-22 00:30:00
31363,NQ100_m_i,14378.1,14373.8,14371.8,14380.5,14376.15,14375.366666666667,14374.974999999999,14376.05,266,2022-03-22 00:45:00
31364,NQ100_m_i,14373.5,14363.8,14362.8,14376.5,14369.65,14367.699999999999,14366.724999999999,14369.15,367,2022-03-22 01:00:00
31365,NQ100_m_i,14363.3,14366.9,14361.0,14368.3,14364.65,14365.4,14365.775,14364.875,394,2022-03-22 01:15:00
31366,NQ100_m_i,14366.9,14358.0,14354.3,14368.1,14361.2,14360.133333333333,14359.6,14361.825,340,2022-03-22 01:30:00
31367,NQ100_m_i,14358.0,14346.3,14346.0,14360.3,14353.15,14350.866666666667,14349.724999999999,14352.65,616,2022-03-22 01:45:00
31368,NQ100_m_i,14346.0,14342.5,14338.3,14347.8,14343.05,14342.866666666667,14342.775,14343.65,966,2022-03-22 02:00:00
31369,NQ100_m_i,14342.3,14340.5,14339.8,14349.5,14344.65,14343.266666666668,14342.575,14343.025000000001,608,2022-03-22 02:15:00
31370,NQ100_m_i,14340.5,14336.3,14326.5,14345.0,14335.75,14335.933333333334,14336.025000000001,14337.075,729,2022-03-22 02:30:00
31371,NQ100_m_i,14336.3,14316.5,14316.3,14336.3,14326.3,14323.033333333333,14321.4,14326.349999999999,792,2022-03-22 02:45:00
31372,NQ100_m_i,14316.5,14322.5,14298.5,14324.9,14311.7,14315.300000000001,14317.1,14315.6,928,2022-03-22 03:00:00
31373,NQ100_m_i,14322.0,14321.3,14311.8,14326.5,14319.15,14319.866666666667,14320.224999999999,14320.4,1128,2022-03-22 03:15:00
31374,NQ100_m_i,14321.3,14315.9,14314.5,14329.8,14322.15,14320.066666666666,14319.025,14320.375,1263,2022-03-22 03:30:00
31375,NQ100_m_i,14316.0,14318.5,14312.0,14322.5,14317.25,14317.666666666666,14317.875,14317.25,1122,2022-03-22 03:45:00
31376,NQ100_m_i,14319.3,14314.7,14309.0,14321.5,14315.25,14315.066666666666,14314.974999999999,14316.125,991,2022-03-22 04:00:00
31377,NQ100_m_i,14314.8,14313.7,14309.5,14319.3,14314.4,14314.166666666666,14314.05,14314.325,845,2022-03-22 04:15:00
31378,NQ100_m_i,14313.3,14340.0,14311.3,14344.8,14328.05,14332.033333333333,14334.025,14327.349999999999,1004,2022-03-22 04:30:00
31379,NQ100_m_i,14340.5,14332.7,14332.3,14352.3,14342.3,14339.1,14337.5,14339.45,894,2022-03-22 04:45:00
31380,NQ100_m_i,14332.3,14321.3,14318.5,14335.3,14326.9,14325.033333333333,14324.099999999999,14326.849999999999,751,2022-03-22 05:00:00
31381,NQ100_m_i,14321.9,14337.5,14320.5,14340.1,14330.3,14332.699999999999,14333.9,14330.0,949,2022-03-22 05:15:00
