,USDRUB_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
31396,USDRUB_i,76.406,76.399,76.296,76.466,76.381,76.387,76.39,76.39175,1352,2022-02-14 15:45:00
31397,USDRUB_i,76.4,76.301,76.283,76.507,76.39500000000001,76.36366666666667,76.348,76.37275,1101,2022-02-14 16:00:00
31398,USDRUB_i,76.301,76.326,76.222,76.369,76.2955,76.30566666666667,76.31075,76.3045,1016,2022-02-14 16:15:00
31399,USDRUB_i,76.32,76.501,76.251,76.553,76.402,76.435,76.45150000000001,76.40625,1646,2022-02-14 16:30:00
31400,USDRUB_i,76.501,76.52,76.377,76.603,76.49,76.5,76.505,76.50025,1280,2022-02-14 16:45:00
31401,USDRUB_i,76.52,76.596,76.476,76.621,76.54849999999999,76.56433333333332,76.57225,76.55324999999999,1053,2022-02-14 17:00:00
31402,USDRUB_i,76.596,76.739,76.572,76.792,76.682,76.70100000000001,76.7105,76.67475,1129,2022-02-14 17:15:00
31403,USDRUB_i,76.739,76.774,76.723,76.859,76.791,76.78533333333333,76.7825,76.77375,944,2022-02-14 17:30:00
31404,USDRUB_i,76.775,76.82,76.765,76.963,76.864,76.84933333333333,76.842,76.83075,845,2022-02-14 17:45:00
31405,USDRUB_i,76.82,76.749,76.696,76.9,76.798,76.78166666666667,76.7735,76.79124999999999,919,2022-02-14 18:00:00
31406,USDRUB_i,76.746,76.811,76.733,76.834,76.7835,76.79266666666668,76.79725,76.781,677,2022-02-14 18:15:00
31407,USDRUB_i,76.809,76.602,76.392,76.921,76.6565,76.63833333333334,76.62925,76.681,1491,2022-02-14 18:30:00
31408,USDRUB_i,76.602,76.371,76.361,76.626,76.49350000000001,76.45266666666667,76.43225,76.49000000000001,764,2022-02-14 18:45:00
31409,USDRUB_i,76.371,76.499,76.36,76.615,76.4875,76.49133333333333,76.49324999999999,76.46124999999999,718,2022-02-14 19:00:00
31410,USDRUB_i,76.496,76.416,76.391,76.497,76.444,76.43466666666667,76.43,76.45,484,2022-02-14 19:15:00
31411,USDRUB_i,76.416,76.492,76.393,76.537,76.465,76.474,76.47850000000001,76.4595,389,2022-02-14 19:30:00
31412,USDRUB_i,76.492,76.432,76.404,76.507,76.4555,76.44766666666668,76.44375000000001,76.45875000000001,286,2022-02-14 19:45:00
31413,USDRUB_i,76.013,76.433,76.008,76.498,76.253,76.313,76.343,76.238,1894,2022-02-15 09:00:00
31414,USDRUB_i,76.433,76.357,76.081,76.448,76.2645,76.29533333333333,76.31075,76.32975,2528,2022-02-15 09:15:00
31415,USDRUB_i,76.356,76.545,76.173,76.635,76.404,76.45100000000001,76.4745,76.42725,3503,2022-02-15 09:30:00
31416,USDRUB_i,76.545,76.511,76.304,76.664,76.48400000000001,76.49300000000001,76.4975,76.506,3131,2022-02-15 09:45:00
31417,USDRUB_i,76.533,75.648,75.474,76.582,76.02799999999999,75.90133333333333,75.838,76.05924999999999,3564,2022-02-15 10:00:00
31418,USDRUB_i,75.649,75.414,75.266,75.744,75.505,75.47466666666666,75.45949999999999,75.51825,4243,2022-02-15 10:15:00
31419,USDRUB_i,75.413,75.459,75.367,75.573,75.47,75.46633333333334,75.4645,75.453,3497,2022-02-15 10:30:00
31420,USDRUB_i,75.459,75.441,75.407,75.561,75.48400000000001,75.46966666666667,75.4625,75.46700000000001,3222,2022-02-15 10:45:00
31421,USDRUB_i,75.442,75.259,75.15,75.483,75.3165,75.29733333333333,75.28775,75.3335,3864,2022-02-15 11:00:00
31422,USDRUB_i,75.266,75.274,75.213,75.338,75.2755,75.27499999999999,75.27475,75.27275,2423,2022-02-15 11:15:00
31423,USDRUB_i,75.273,75.362,75.26,75.416,75.338,75.34599999999999,75.35,75.32775,1875,2022-02-15 11:30:00
31424,USDRUB_i,75.364,75.479,75.344,75.482,75.413,75.435,75.446,75.41725,1672,2022-02-15 11:45:00
31425,USDRUB_i,75.48,75.306,75.238,75.486,75.362,75.34333333333332,75.33399999999999,75.3775,2272,2022-02-15 12:00:00
31426,USDRUB_i,75.306,75.495,75.282,75.676,75.479,75.48433333333334,75.487,75.43975,2495,2022-02-15 12:15:00
31427,USDRUB_i,75.518,75.601,75.346,75.631,75.4885,75.526,75.54475,75.524,2588,2022-02-15 12:30:00
31428,USDRUB_i,75.601,75.63,75.548,75.687,75.6175,75.62166666666667,75.62375,75.6165,1810,2022-02-15 12:45:00
