,ETHUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
28191,ETHUSD_i,2769.47,2767.37,2767.37,2774.07,2770.7200000000003,2769.603333333334,2769.045,2769.57,871,2022-02-27 19:30:00
28192,ETHUSD_i,2767.37,2767.37,2767.37,2771.77,2769.5699999999997,2768.836666666666,2768.4699999999993,2768.4699999999993,702,2022-02-27 19:45:00
28193,ETHUSD_i,2767.37,2751.57,2734.87,2767.57,2751.2200000000003,2751.3366666666666,2751.395,2755.3450000000003,1258,2022-02-27 20:00:00
28194,ETHUSD_i,2751.57,2762.37,2749.27,2768.97,2759.12,2760.2033333333334,2760.745,2758.045,1247,2022-02-27 20:15:00
28195,ETHUSD_i,2762.37,2757.67,2754.17,2762.37,2758.27,2758.0699999999997,2757.97,2759.1449999999995,785,2022-02-27 20:30:00
28196,ETHUSD_i,2757.67,2738.97,2731.47,2758.17,2744.8199999999997,2742.8699999999994,2741.8949999999995,2746.5699999999997,1100,2022-02-27 20:45:00
28197,ETHUSD_i,2738.97,2739.57,2735.77,2748.27,2742.02,2741.2033333333334,2740.795,2740.645,906,2022-02-27 21:00:00
28198,ETHUSD_i,2739.17,2689.67,2686.87,2739.17,2713.02,2705.2366666666667,2701.3450000000003,2713.7200000000003,2284,2022-02-27 21:15:00
28199,ETHUSD_i,2689.67,2651.27,2644.37,2691.97,2668.17,2662.536666666667,2659.7200000000003,2669.32,2742,2022-02-27 21:30:00
28200,ETHUSD_i,2651.27,2606.87,2598.47,2652.67,2625.5699999999997,2619.3366666666666,2616.22,2627.3199999999997,2631,2022-02-27 21:45:00
28201,ETHUSD_i,2606.77,2593.77,2585.97,2628.87,2607.42,2602.8700000000003,2600.5950000000003,2603.8450000000003,2759,2022-02-27 22:00:00
28202,ETHUSD_i,2593.77,2607.27,2591.17,2612.37,2601.77,2603.603333333333,2604.52,2601.145,2555,2022-02-27 22:15:00
28203,ETHUSD_i,2607.67,2626.17,2602.47,2626.37,2614.42,2618.3366666666666,2620.295,2615.67,1851,2022-02-27 22:30:00
28204,ETHUSD_i,2625.97,2633.77,2624.67,2657.87,2641.27,2638.77,2637.52,2635.5699999999997,2151,2022-02-27 22:45:00
28205,ETHUSD_i,2633.47,2584.97,2582.47,2637.77,2610.12,2601.736666666666,2597.5449999999996,2609.6699999999996,3094,2022-02-27 23:00:00
28206,ETHUSD_i,2585.07,2598.17,2557.47,2603.77,2580.62,2586.47,2589.395,2586.12,3061,2022-02-27 23:15:00
28207,ETHUSD_i,2598.17,2602.17,2592.27,2614.97,2603.62,2603.1366666666668,2602.895,2601.895,2326,2022-02-27 23:30:00
28208,ETHUSD_i,2602.17,2602.37,2598.77,2621.17,2609.9700000000003,2607.436666666667,2606.17,2606.12,1519,2022-02-27 23:45:00
28209,ETHUSD_i,2601.47,2611.97,2595.37,2614.57,2604.9700000000003,2607.3033333333333,2608.47,2605.845,1263,2022-02-28 00:00:00
28210,ETHUSD_i,2612.07,2618.17,2611.77,2621.87,2616.8199999999997,2617.27,2617.495,2615.97,886,2022-02-28 00:15:00
28211,ETHUSD_i,2618.17,2626.17,2617.07,2638.07,2627.57,2627.1033333333335,2626.87,2624.87,777,2022-02-28 00:30:00
28212,ETHUSD_i,2626.17,2629.07,2603.37,2632.37,2617.87,2621.603333333333,2623.47,2622.745,1145,2022-02-28 00:45:00
28213,ETHUSD_i,2629.07,2602.17,2579.17,2629.77,2604.4700000000003,2603.7033333333334,2603.32,2610.045,3388,2022-02-28 01:00:00
28214,ETHUSD_i,2602.17,2598.77,2586.07,2616.37,2601.2200000000003,2600.4033333333336,2599.9950000000003,2600.8450000000003,2019,2022-02-28 01:15:00
28215,ETHUSD_i,2598.77,2626.87,2594.97,2628.47,2611.72,2616.77,2619.295,2612.27,2353,2022-02-28 01:30:00
28216,ETHUSD_i,2626.87,2616.47,2613.97,2631.77,2622.87,2620.736666666666,2619.6699999999996,2622.2699999999995,1914,2022-02-28 01:45:00
28217,ETHUSD_i,2616.37,2615.87,2600.47,2625.37,2612.92,2613.903333333333,2614.395,2614.52,1933,2022-02-28 02:00:00
28218,ETHUSD_i,2615.87,2599.37,2593.07,2620.47,2606.77,2604.3033333333333,2603.0699999999997,2607.1949999999997,1394,2022-02-28 02:15:00
28219,ETHUSD_i,2599.17,2612.77,2591.27,2613.67,2602.4700000000003,2605.9033333333336,2607.6200000000003,2604.2200000000003,1237,2022-02-28 02:30:00
28220,ETHUSD_i,2612.77,2606.47,2598.77,2617.17,2607.9700000000003,2607.47,2607.22,2608.795,1347,2022-02-28 02:45:00
28221,ETHUSD_i,2606.47,2635.97,2605.57,2636.87,2621.2200000000003,2626.1366666666668,2628.595,2621.22,1615,2022-02-28 03:00:00
28222,ETHUSD_i,2635.67,2664.37,2631.67,2666.17,2648.92,2654.07,2656.645,2649.4700000000003,2110,2022-02-28 03:15:00
28223,ETHUSD_i,2664.37,2669.77,2655.47,2675.27,2665.37,2666.8366666666666,2667.57,2666.2200000000003,2153,2022-02-28 03:30:00
