,AUDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6628,AUDCAD_i,0.96314,0.96307,0.96298,0.96339,0.963185,0.9631466666666667,0.9631275,0.963145,426,2021-03-30 08:00:00
6629,AUDCAD_i,0.96307,0.96309,0.96291,0.96322,0.9630650000000001,0.9630733333333333,0.9630775,0.9630725,266,2021-03-30 08:15:00
6630,AUDCAD_i,0.9631,0.96308,0.96293,0.96322,0.9630749999999999,0.9630766666666667,0.9630775,0.9630825,290,2021-03-30 08:30:00
6631,AUDCAD_i,0.96305,0.96302,0.96291,0.96313,0.96302,0.9630199999999999,0.96302,0.9630274999999999,270,2021-03-30 08:45:00
6632,AUDCAD_i,0.96302,0.96323,0.96271,0.96324,0.9629749999999999,0.9630599999999999,0.9631025,0.96305,392,2021-03-30 09:00:00
6633,AUDCAD_i,0.96321,0.96287,0.96265,0.96344,0.9630449999999999,0.9629866666666667,0.9629575,0.9630425,504,2021-03-30 09:15:00
6634,AUDCAD_i,0.96287,0.96263,0.96253,0.96315,0.9628399999999999,0.9627699999999999,0.9627349999999999,0.962795,681,2021-03-30 09:30:00
6635,AUDCAD_i,0.96263,0.96188,0.96162,0.96265,0.962135,0.96205,0.9620074999999999,0.9621949999999999,602,2021-03-30 09:45:00
6636,AUDCAD_i,0.96187,0.9622,0.96154,0.96228,0.96191,0.9620066666666668,0.9620550000000001,0.9619725000000001,824,2021-03-30 10:00:00
6637,AUDCAD_i,0.96215,0.96194,0.96185,0.96229,0.96207,0.9620266666666666,0.962005,0.9620574999999999,657,2021-03-30 10:15:00
6638,AUDCAD_i,0.96195,0.96133,0.96131,0.96203,0.96167,0.9615566666666666,0.9615,0.9616549999999999,597,2021-03-30 10:30:00
6639,AUDCAD_i,0.96133,0.96114,0.96109,0.96164,0.961365,0.96129,0.9612525,0.9613,635,2021-03-30 10:45:00
6640,AUDCAD_i,0.96114,0.96084,0.96067,0.9612,0.9609350000000001,0.9609033333333334,0.9608875000000001,0.9609625,562,2021-03-30 11:00:00
6641,AUDCAD_i,0.96083,0.96118,0.96068,0.96119,0.960935,0.9610166666666666,0.9610575,0.96097,640,2021-03-30 11:15:00
6642,AUDCAD_i,0.96118,0.96121,0.96093,0.96135,0.96114,0.9611633333333334,0.961175,0.9611675000000001,513,2021-03-30 11:30:00
6643,AUDCAD_i,0.96121,0.96084,0.96074,0.96121,0.960975,0.96093,0.9609075,0.961,336,2021-03-30 11:45:00
6644,AUDCAD_i,0.96083,0.96069,0.96044,0.96089,0.960665,0.9606733333333333,0.9606775,0.9607125,431,2021-03-30 12:00:00
6645,AUDCAD_i,0.96067,0.96094,0.96062,0.96098,0.9608,0.9608466666666667,0.96087,0.9608025,304,2021-03-30 12:15:00
6646,AUDCAD_i,0.96091,0.96048,0.96029,0.96093,0.96061,0.9605666666666667,0.960545,0.9606525,321,2021-03-30 12:30:00
6647,AUDCAD_i,0.96048,0.96043,0.96024,0.96065,0.960445,0.9604400000000001,0.9604375,0.96045,331,2021-03-30 12:45:00
6648,AUDCAD_i,0.96042,0.96032,0.96026,0.96065,0.9604550000000001,0.96041,0.9603875,0.9604125,352,2021-03-30 13:00:00
6649,AUDCAD_i,0.96033,0.96044,0.96014,0.96051,0.960325,0.9603633333333333,0.9603824999999999,0.960355,458,2021-03-30 13:15:00
6650,AUDCAD_i,0.9604,0.96001,0.95996,0.96065,0.960305,0.9602066666666667,0.9601575,0.960255,406,2021-03-30 13:30:00
6651,AUDCAD_i,0.96004,0.95964,0.95946,0.96029,0.959875,0.9597966666666666,0.9597575,0.9598575,630,2021-03-30 13:45:00
6652,AUDCAD_i,0.95964,0.95929,0.95919,0.95988,0.959535,0.9594533333333333,0.9594125,0.9595,567,2021-03-30 14:00:00
6653,AUDCAD_i,0.95929,0.95961,0.95902,0.95964,0.95933,0.9594233333333334,0.95947,0.95939,583,2021-03-30 14:15:00
6654,AUDCAD_i,0.9596,0.95965,0.95894,0.95994,0.9594400000000001,0.95951,0.959545,0.9595325,681,2021-03-30 14:30:00
6655,AUDCAD_i,0.95966,0.95992,0.95957,0.96029,0.95993,0.9599266666666666,0.9599249999999999,0.9598599999999999,595,2021-03-30 14:45:00
6656,AUDCAD_i,0.95991,0.9605,0.95974,0.96074,0.96024,0.9603266666666667,0.9603700000000001,0.9602225,833,2021-03-30 15:00:00
6657,AUDCAD_i,0.9605,0.96019,0.9601,0.96065,0.960375,0.9603133333333332,0.9602824999999999,0.96036,699,2021-03-30 15:15:00
6658,AUDCAD_i,0.96022,0.96064,0.96013,0.96094,0.960535,0.96057,0.9605875,0.9604825,715,2021-03-30 15:30:00
6659,AUDCAD_i,0.96064,0.96067,0.96041,0.96135,0.96088,0.9608099999999999,0.9607749999999999,0.9607675,818,2021-03-30 15:45:00
6660,AUDCAD_i,0.96071,0.96084,0.96065,0.9613,0.960975,0.96093,0.9609075,0.9608749999999999,751,2021-03-30 16:00:00
6661,AUDCAD_i,0.96085,0.96066,0.96057,0.96096,0.9607650000000001,0.96073,0.9607125,0.9607600000000001,854,2021-03-30 16:15:00
6662,AUDCAD_i,0.96061,0.96098,0.96021,0.96111,0.9606600000000001,0.9607666666666667,0.96082,0.9607275,1213,2021-03-30 16:30:00
6663,AUDCAD_i,0.96099,0.96133,0.96071,0.96141,0.96106,0.96115,0.961195,0.9611099999999999,1096,2021-03-30 16:45:00
6664,AUDCAD_i,0.96131,0.96196,0.96108,0.96217,0.961625,0.9617366666666666,0.9617924999999999,0.96163,1334,2021-03-30 17:00:00
6665,AUDCAD_i,0.96196,0.96147,0.96136,0.96201,0.961685,0.9616133333333333,0.9615775,0.9617,1068,2021-03-30 17:15:00
6666,AUDCAD_i,0.96149,0.96189,0.96125,0.96191,0.9615800000000001,0.9616833333333333,0.961735,0.961635,1247,2021-03-30 17:30:00
6667,AUDCAD_i,0.96189,0.95955,0.95916,0.96229,0.960725,0.9603333333333334,0.9601375000000001,0.9607225,1367,2021-03-30 17:45:00
6668,AUDCAD_i,0.9596,0.96049,0.95939,0.96054,0.959965,0.96014,0.9602275,0.960005,1190,2021-03-30 18:00:00
6669,AUDCAD_i,0.9605,0.9604,0.96024,0.96066,0.96045,0.9604333333333334,0.960425,0.96045,760,2021-03-30 18:15:00
6670,AUDCAD_i,0.9604,0.96018,0.96011,0.96045,0.96028,0.9602466666666668,0.9602300000000001,0.960285,544,2021-03-30 18:30:00
6671,AUDCAD_i,0.96017,0.96029,0.96012,0.96055,0.9603349999999999,0.96032,0.9603125,0.9602824999999999,674,2021-03-30 18:45:00
6672,AUDCAD_i,0.9603,0.95973,0.95964,0.96047,0.9600550000000001,0.9599466666666667,0.9598925,0.9600350000000001,709,2021-03-30 19:00:00
6673,AUDCAD_i,0.95974,0.95928,0.95924,0.95978,0.95951,0.9594333333333332,0.959395,0.95951,505,2021-03-30 19:15:00
6674,AUDCAD_i,0.95929,0.95864,0.95859,0.95933,0.95896,0.9588533333333333,0.9588,0.9589624999999999,438,2021-03-30 19:30:00
