,EURCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
25376,EURCHF_i,1.03704,1.03699,1.03695,1.03722,1.037085,1.0370533333333334,1.0370375,1.03705,152,2021-12-28 19:00:00
25377,EURCHF_i,1.037,1.03715,1.03697,1.03716,1.0370650000000001,1.0370933333333334,1.0371075,1.03707,341,2021-12-28 19:15:00
25378,EURCHF_i,1.03715,1.03696,1.03683,1.03717,1.037,1.0369866666666667,1.03698,1.0370275,412,2021-12-28 19:30:00
25379,EURCHF_i,1.03695,1.03691,1.03686,1.03699,1.036925,1.03692,1.0369175,1.0369275,243,2021-12-28 19:45:00
25380,EURCHF_i,1.03691,1.03688,1.03683,1.03696,1.036895,1.0368899999999999,1.0368875,1.036895,284,2021-12-28 20:00:00
25381,EURCHF_i,1.03687,1.03688,1.03684,1.03693,1.0368849999999998,1.0368833333333332,1.0368825,1.03688,106,2021-12-28 20:15:00
25382,EURCHF_i,1.03688,1.03695,1.03681,1.03696,1.036885,1.0369066666666666,1.0369175,1.0369000000000002,342,2021-12-28 20:30:00
25383,EURCHF_i,1.03694,1.03692,1.03684,1.03696,1.0369000000000002,1.0369066666666669,1.0369100000000002,1.036915,202,2021-12-28 20:45:00
25384,EURCHF_i,1.03692,1.03685,1.03682,1.03692,1.03687,1.0368633333333335,1.0368600000000001,1.0368775000000001,243,2021-12-28 21:00:00
25385,EURCHF_i,1.03685,1.03686,1.03682,1.03689,1.036855,1.0368566666666668,1.0368575,1.036855,108,2021-12-28 21:15:00
25386,EURCHF_i,1.03686,1.03685,1.03682,1.03689,1.036855,1.0368533333333334,1.0368525000000002,1.036855,88,2021-12-28 21:30:00
25387,EURCHF_i,1.03685,1.03693,1.03684,1.03704,1.03694,1.0369366666666666,1.036935,1.036915,390,2021-12-28 21:45:00
25388,EURCHF_i,1.03693,1.03701,1.03689,1.03717,1.0370300000000001,1.0370233333333334,1.03702,1.037,155,2021-12-28 22:00:00
25389,EURCHF_i,1.037,1.03725,1.037,1.03732,1.03716,1.03719,1.0372050000000002,1.0371425,266,2021-12-28 22:15:00
25390,EURCHF_i,1.03724,1.03721,1.03715,1.03746,1.037305,1.0372733333333333,1.0372575,1.0372649999999999,115,2021-12-28 22:30:00
25391,EURCHF_i,1.03721,1.03728,1.0372,1.03737,1.0372849999999998,1.0372833333333331,1.0372824999999999,1.0372649999999999,315,2021-12-28 22:45:00
25392,EURCHF_i,1.03728,1.0374,1.03719,1.03752,1.037355,1.0373700000000001,1.0373775,1.0373475,134,2021-12-28 23:00:00
25393,EURCHF_i,1.0374,1.03729,1.03725,1.03752,1.037385,1.0373533333333333,1.0373375,1.037365,95,2021-12-28 23:15:00
25394,EURCHF_i,1.0373,1.03714,1.03712,1.03731,1.037215,1.03719,1.0371774999999999,1.0372175000000001,91,2021-12-28 23:30:00
25395,EURCHF_i,1.03713,1.03717,1.03704,1.03725,1.037145,1.0371533333333334,1.0371575,1.0371475,169,2021-12-28 23:45:00
25396,EURCHF_i,1.03733,1.03709,1.03683,1.03742,1.037125,1.0371133333333333,1.0371075,1.0371675,88,2021-12-29 00:00:00
25397,EURCHF_i,1.03709,1.03704,1.03694,1.03763,1.037285,1.0372033333333333,1.0371625,1.037175,573,2021-12-29 00:15:00
25398,EURCHF_i,1.03683,1.03673,1.03634,1.03709,1.036715,1.03672,1.0367225,1.0367475,108,2021-12-29 00:30:00
25399,EURCHF_i,1.03677,1.03703,1.03663,1.03707,1.0368499999999998,1.0369099999999998,1.0369399999999998,1.0368749999999998,104,2021-12-29 00:45:00
25400,EURCHF_i,1.03703,1.03728,1.03698,1.03734,1.03716,1.0372000000000001,1.03722,1.0371575,247,2021-12-29 01:00:00
25401,EURCHF_i,1.03729,1.03737,1.03729,1.03741,1.03735,1.0373566666666667,1.03736,1.03734,145,2021-12-29 01:15:00
25402,EURCHF_i,1.03737,1.03732,1.0373,1.0375,1.0374,1.0373733333333333,1.03736,1.0373725,196,2021-12-29 01:30:00
25403,EURCHF_i,1.03733,1.03734,1.03728,1.03747,1.037375,1.0373633333333332,1.0373575,1.037355,163,2021-12-29 01:45:00
25404,EURCHF_i,1.03734,1.03736,1.03717,1.03745,1.03731,1.0373266666666667,1.0373350000000001,1.0373299999999999,122,2021-12-29 02:00:00
25405,EURCHF_i,1.03734,1.03728,1.03728,1.03745,1.0373649999999999,1.0373366666666666,1.0373225,1.0373375,119,2021-12-29 02:15:00
25406,EURCHF_i,1.03727,1.03735,1.03724,1.03735,1.0372949999999999,1.0373133333333333,1.0373225,1.0373025,124,2021-12-29 02:30:00
25407,EURCHF_i,1.03735,1.03725,1.03714,1.03739,1.037265,1.03726,1.0372575000000002,1.0372825,134,2021-12-29 02:45:00
25408,EURCHF_i,1.03725,1.03715,1.03712,1.03737,1.037245,1.0372133333333333,1.0371975,1.0372225,161,2021-12-29 03:00:00
25409,EURCHF_i,1.03715,1.03679,1.03677,1.03716,1.036965,1.0369066666666666,1.0368775,1.0369674999999998,119,2021-12-29 03:15:00
25410,EURCHF_i,1.03679,1.03663,1.03658,1.03681,1.036695,1.0366733333333331,1.0366624999999998,1.0367024999999999,242,2021-12-29 03:30:00
25411,EURCHF_i,1.03662,1.03672,1.0366,1.03681,1.036705,1.03671,1.0367125,1.0366875,250,2021-12-29 03:45:00
25412,EURCHF_i,1.03673,1.03662,1.03653,1.03673,1.03663,1.0366266666666666,1.036625,1.0366525,313,2021-12-29 04:00:00
25413,EURCHF_i,1.03661,1.03662,1.03654,1.03664,1.03659,1.0366,1.036605,1.0366024999999999,119,2021-12-29 04:15:00
25414,EURCHF_i,1.03663,1.03659,1.03654,1.0366900000000001,1.036615,1.0366066666666667,1.0366024999999999,1.0366125,101,2021-12-29 04:30:00
25415,EURCHF_i,1.03659,1.03672,1.03653,1.03675,1.03664,1.0366666666666668,1.03668,1.0366475,132,2021-12-29 04:45:00
25416,EURCHF_i,1.03672,1.03694,1.03671,1.03709,1.0369000000000002,1.0369133333333334,1.03692,1.0368650000000001,134,2021-12-29 05:00:00
25417,EURCHF_i,1.03694,1.03674,1.03671,1.03694,1.0368249999999999,1.0367966666666666,1.0367825,1.0368325,103,2021-12-29 05:15:00
25418,EURCHF_i,1.03674,1.03683,1.0367,1.03685,1.036775,1.0367933333333335,1.0368025,1.03678,82,2021-12-29 05:30:00
25419,EURCHF_i,1.03682,1.03684,1.03675,1.03688,1.036815,1.0368233333333334,1.0368275,1.0368225,103,2021-12-29 05:45:00
25420,EURCHF_i,1.03683,1.03691,1.03675,1.03691,1.0368300000000001,1.0368566666666668,1.03687,1.03685,179,2021-12-29 06:00:00
25421,EURCHF_i,1.03691,1.03694,1.0369,1.03697,1.036935,1.0369366666666666,1.0369375,1.03693,84,2021-12-29 06:15:00
25422,EURCHF_i,1.03694,1.03688,1.03683,1.03698,1.036905,1.0368966666666666,1.0368925,1.0369074999999999,97,2021-12-29 06:30:00
25423,EURCHF_i,1.03688,1.03685,1.03682,1.03696,1.03689,1.036876666666667,1.0368700000000002,1.0368775000000001,129,2021-12-29 06:45:00
25424,EURCHF_i,1.03685,1.03699,1.03685,1.03701,1.03693,1.03695,1.03696,1.036925,139,2021-12-29 07:00:00
25425,EURCHF_i,1.03699,1.03702,1.03695,1.03706,1.0370050000000002,1.0370100000000002,1.0370125000000001,1.0370050000000002,163,2021-12-29 07:15:00
25426,EURCHF_i,1.03703,1.03706,1.03699,1.03719,1.03709,1.0370800000000002,1.0370750000000002,1.0370675,135,2021-12-29 07:30:00
25427,EURCHF_i,1.03706,1.03709,1.03696,1.03713,1.037045,1.03706,1.0370675,1.03706,213,2021-12-29 07:45:00
25428,EURCHF_i,1.0371,1.03689,1.03685,1.03711,1.03698,1.03695,1.0369350000000002,1.0369875,253,2021-12-29 08:00:00
25429,EURCHF_i,1.03689,1.03696,1.03688,1.03697,1.036925,1.0369366666666668,1.0369425,1.036925,150,2021-12-29 08:15:00
25430,EURCHF_i,1.03696,1.03707,1.03695,1.03711,1.0370300000000001,1.0370433333333333,1.03705,1.0370225,76,2021-12-29 08:30:00
25431,EURCHF_i,1.03707,1.03712,1.03704,1.03717,1.037105,1.03711,1.0371124999999999,1.0371,90,2021-12-29 08:45:00
25432,EURCHF_i,1.03712,1.0366,1.03655,1.03712,1.036835,1.0367566666666665,1.0367175,1.0368475,156,2021-12-29 09:00:00
25433,EURCHF_i,1.0366,1.03675,1.0366,1.03678,1.0366900000000001,1.03671,1.03672,1.0366825,164,2021-12-29 09:15:00
25434,EURCHF_i,1.03675,1.03647,1.03644,1.03678,1.03661,1.0365633333333333,1.03654,1.03661,229,2021-12-29 09:30:00
25435,EURCHF_i,1.03647,1.03645,1.03631,1.03657,1.03644,1.0364433333333334,1.036445,1.0364499999999999,217,2021-12-29 09:45:00
25436,EURCHF_i,1.03645,1.03645,1.03632,1.03659,1.036455,1.0364533333333332,1.0364525,1.0364525,471,2021-12-29 10:00:00
25437,EURCHF_i,1.03645,1.03637,1.03636,1.03679,1.036575,1.0365066666666667,1.0364725,1.0364925,773,2021-12-29 10:15:00
25438,EURCHF_i,1.03638,1.0365,1.03637,1.03659,1.03648,1.0364866666666668,1.0364900000000001,1.0364600000000002,456,2021-12-29 10:30:00
25439,EURCHF_i,1.03651,1.03693,1.03637,1.03699,1.03668,1.0367633333333333,1.036805,1.0367,521,2021-12-29 10:45:00
25440,EURCHF_i,1.03692,1.03689,1.03658,1.03712,1.03685,1.0368633333333335,1.03687,1.0368775000000001,626,2021-12-29 11:00:00
25441,EURCHF_i,1.03689,1.03646,1.03634,1.03695,1.036645,1.0365833333333334,1.0365525,1.03666,489,2021-12-29 11:15:00
25442,EURCHF_i,1.03646,1.0366,1.03632,1.03676,1.03654,1.03656,1.03657,1.036535,446,2021-12-29 11:30:00
25443,EURCHF_i,1.0366,1.03667,1.03611,1.03668,1.0363950000000002,1.0364866666666668,1.0365325,1.036515,569,2021-12-29 11:45:00
25444,EURCHF_i,1.03667,1.03721,1.03663,1.03732,1.036975,1.0370533333333334,1.0370925,1.0369575,450,2021-12-29 12:00:00
25445,EURCHF_i,1.03721,1.03745,1.03721,1.03782,1.037515,1.0374933333333332,1.0374824999999999,1.0374225,421,2021-12-29 12:15:00
25446,EURCHF_i,1.03746,1.0374,1.03723,1.03755,1.03739,1.0373933333333334,1.037395,1.0374100000000002,432,2021-12-29 12:30:00
25447,EURCHF_i,1.0374,1.03685,1.03673,1.0374,1.0370650000000001,1.0369933333333334,1.0369575000000002,1.037095,365,2021-12-29 12:45:00
25448,EURCHF_i,1.03686,1.03696,1.03672,1.03721,1.036965,1.0369633333333332,1.0369625,1.0369375,416,2021-12-29 13:00:00
25449,EURCHF_i,1.03694,1.03733,1.03674,1.03743,1.037085,1.0371666666666668,1.0372075,1.0371100000000002,390,2021-12-29 13:15:00
25450,EURCHF_i,1.03735,1.03734,1.03732,1.03762,1.03747,1.0374266666666665,1.037405,1.0374075,403,2021-12-29 13:30:00
25451,EURCHF_i,1.03734,1.03737,1.03702,1.03738,1.0372,1.0372566666666667,1.037285,1.0372775,375,2021-12-29 13:45:00
25452,EURCHF_i,1.03737,1.03739,1.03733,1.03776,1.0375450000000002,1.0374933333333336,1.0374675000000002,1.0374625000000002,635,2021-12-29 14:00:00
25453,EURCHF_i,1.03739,1.03765,1.03733,1.03772,1.037525,1.0375666666666667,1.0375875,1.0375225000000001,503,2021-12-29 14:15:00
25454,EURCHF_i,1.03765,1.0378,1.03748,1.03781,1.037645,1.0376966666666665,1.0377224999999999,1.037685,595,2021-12-29 14:30:00
25455,EURCHF_i,1.03781,1.03775,1.03761,1.0379,1.037755,1.0377533333333333,1.0377524999999999,1.0377675,614,2021-12-29 14:45:00
25456,EURCHF_i,1.03773,1.0377,1.03745,1.03793,1.03769,1.0376933333333334,1.037695,1.0377025,514,2021-12-29 15:00:00
25457,EURCHF_i,1.03769,1.03786,1.03757,1.03806,1.0378150000000002,1.0378300000000003,1.0378375000000002,1.037795,680,2021-12-29 15:15:00
25458,EURCHF_i,1.03783,1.03781,1.03767,1.03808,1.037875,1.0378533333333333,1.0378425,1.0378475,663,2021-12-29 15:30:00
25459,EURCHF_i,1.0378,1.03766,1.0375,1.03792,1.0377100000000001,1.0376933333333334,1.037685,1.03772,543,2021-12-29 15:45:00
25460,EURCHF_i,1.03769,1.03698,1.03693,1.03784,1.037385,1.03725,1.0371825,1.03736,655,2021-12-29 16:00:00
25461,EURCHF_i,1.03699,1.03742,1.03677,1.03742,1.0370949999999999,1.0372033333333333,1.0372575,1.03715,577,2021-12-29 16:15:00
25462,EURCHF_i,1.03743,1.03747,1.03717,1.03768,1.0374249999999998,1.03744,1.0374474999999999,1.0374374999999998,974,2021-12-29 16:30:00
25463,EURCHF_i,1.03749,1.03784,1.03732,1.038,1.03766,1.03772,1.03775,1.0376625000000002,894,2021-12-29 16:45:00
25464,EURCHF_i,1.03778,1.03765,1.03759,1.03816,1.037875,1.0378,1.0377625000000001,1.037795,786,2021-12-29 17:00:00
25465,EURCHF_i,1.03765,1.03754,1.03748,1.03779,1.0376349999999999,1.0376033333333332,1.0375874999999999,1.037615,822,2021-12-29 17:15:00
25466,EURCHF_i,1.03755,1.03702,1.03697,1.03775,1.03736,1.0372466666666667,1.03719,1.0373225000000001,871,2021-12-29 17:30:00
25467,EURCHF_i,1.03702,1.0366,1.03651,1.03793,1.03722,1.0370133333333333,1.03691,1.037015,1443,2021-12-29 17:45:00
25468,EURCHF_i,1.03661,1.03675,1.03609,1.03679,1.03644,1.0365433333333334,1.0365950000000002,1.0365600000000001,1072,2021-12-29 18:00:00
