,GER40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
16752,GER40_i,13951.0,13893.3,13888.3,13951.0,13919.65,13910.866666666667,13906.474999999999,13920.9,2719,2021-01-25 10:00:00
16753,GER40_i,13892.3,13884.0,13852.2,13912.3,13882.25,13882.833333333334,13883.125,13885.2,2504,2021-01-25 10:15:00
16754,GER40_i,13884.0,13896.0,13878.0,13912.2,13895.1,13895.4,13895.55,13892.55,1999,2021-01-25 10:30:00
16755,GER40_i,13895.0,13892.0,13873.0,13905.0,13889.0,13890.0,13890.5,13891.25,2111,2021-01-25 10:45:00
16756,GER40_i,13892.0,13890.0,13877.0,13897.0,13887.0,13888.0,13888.5,13889.0,1545,2021-01-25 11:00:00
16757,GER40_i,13889.0,13875.8,13856.9,13890.0,13873.45,13874.233333333332,13874.625,13877.925,1740,2021-01-25 11:15:00
16758,GER40_i,13874.8,13873.8,13869.8,13883.8,13876.8,13875.799999999997,13875.3,13875.55,1167,2021-01-25 11:30:00
16759,GER40_i,13872.8,13858.8,13847.8,13875.8,13861.8,13860.799999999997,13860.3,13863.8,1567,2021-01-25 11:45:00
16760,GER40_i,13857.8,13834.8,13829.8,13862.8,13846.3,13842.466666666665,13840.55,13846.3,1448,2021-01-25 12:00:00
16761,GER40_i,13834.8,13843.8,13829.8,13850.8,13840.3,13841.466666666665,13842.05,13839.8,1003,2021-01-25 12:15:00
16762,GER40_i,13843.8,13843.8,13835.8,13850.8,13843.3,13843.466666666665,13843.55,13843.55,1105,2021-01-25 12:30:00
16763,GER40_i,13842.8,13849.8,13828.8,13851.8,13840.3,13843.466666666665,13845.05,13843.3,1241,2021-01-25 12:45:00
16764,GER40_i,13849.8,13853.8,13837.8,13860.8,13849.3,13850.799999999997,13851.55,13850.55,1045,2021-01-25 13:00:00
16765,GER40_i,13853.8,13843.8,13841.8,13856.8,13849.3,13847.466666666665,13846.55,13849.05,719,2021-01-25 13:15:00
16766,GER40_i,13843.8,13846.8,13842.8,13853.8,13848.3,13847.799999999997,13847.55,13846.8,705,2021-01-25 13:30:00
16767,GER40_i,13846.8,13793.8,13774.8,13846.8,13810.8,13805.133333333331,13802.3,13815.55,2885,2021-01-25 13:45:00
16768,GER40_i,13793.8,13779.0,13748.0,13799.8,13773.9,13775.6,13776.45,13780.150000000001,2153,2021-01-25 14:00:00
16769,GER40_i,13778.0,13736.0,13727.0,13782.0,13754.5,13748.333333333334,13745.25,13755.75,1910,2021-01-25 14:15:00
16770,GER40_i,13736.0,13705.0,13694.0,13736.0,13715.0,13711.666666666666,13710.0,13717.75,2549,2021-01-25 14:30:00
16771,GER40_i,13704.0,13652.8,13628.8,13707.0,13667.9,13662.866666666667,13660.349999999999,13673.15,3367,2021-01-25 14:45:00
16772,GER40_i,13652.8,13652.0,13626.0,13673.0,13649.5,13650.333333333334,13650.75,13650.95,2851,2021-01-25 15:00:00
16773,GER40_i,13651.0,13631.0,13614.0,13665.0,13639.5,13636.666666666666,13635.25,13640.25,2291,2021-01-25 15:15:00
16774,GER40_i,13630.0,13645.1,13604.0,13645.1,13624.55,13631.4,13634.824999999999,13631.05,2566,2021-01-25 15:30:00
16775,GER40_i,13645.1,13668.1,13639.1,13691.1,13665.1,13666.1,13666.6,13660.85,2073,2021-01-25 15:45:00
16776,GER40_i,13667.1,13688.1,13663.1,13700.1,13681.6,13683.766666666668,13684.85,13679.6,1395,2021-01-25 16:00:00
16777,GER40_i,13688.1,13686.1,13673.1,13694.1,13683.6,13684.433333333334,13684.85,13685.35,1425,2021-01-25 16:15:00
16778,GER40_i,13686.1,13668.1,13664.1,13712.1,13688.1,13681.433333333334,13678.1,13682.6,2795,2021-01-25 16:30:00
16779,GER40_i,13669.1,13661.1,13641.1,13678.1,13659.6,13660.1,13660.35,13662.35,1945,2021-01-25 16:45:00
16780,GER40_i,13660.1,13717.1,13659.1,13725.1,13692.1,13700.433333333334,13704.6,13690.35,2405,2021-01-25 17:00:00
16781,GER40_i,13718.1,13737.1,13718.1,13746.1,13732.1,13733.766666666668,13734.6,13729.85,2025,2021-01-25 17:15:00
16782,GER40_i,13737.1,13715.1,13713.1,13746.1,13729.6,13724.766666666668,13722.35,13727.85,1835,2021-01-25 17:30:00
16783,GER40_i,13716.1,13641.1,13635.1,13720.1,13677.6,13665.433333333334,13659.35,13678.1,2385,2021-01-25 17:45:00
16784,GER40_i,13641.1,13647.1,13597.1,13650.1,13623.6,13631.433333333334,13635.35,13633.85,3377,2021-01-25 18:00:00
16785,GER40_i,13648.1,13637.1,13636.1,13666.1,13651.1,13646.433333333334,13644.1,13646.85,2275,2021-01-25 18:15:00
