,USDHKD,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
25035,USDHKD,7.7987400000000004,7.79847,7.79838,7.7987400000000004,7.79856,7.7985299999999995,7.798515,7.7985825,57,2021-12-23 05:45:00
25036,USDHKD,7.79846,7.79846,7.79842,7.79854,7.79848,7.798473333333334,7.79847,7.79847,51,2021-12-23 06:00:00
25037,USDHKD,7.7985299999999995,7.79852,7.79846,7.7986699999999995,7.798565,7.79855,7.7985425,7.798545,45,2021-12-23 06:15:00
25038,USDHKD,7.79865,7.79847,7.79847,7.7986699999999995,7.79857,7.798536666666666,7.79852,7.798565,43,2021-12-23 06:30:00
25039,USDHKD,7.79855,7.79848,7.79847,7.7986,7.798535,7.798516666666667,7.7985074999999995,7.798525,42,2021-12-23 06:45:00
25040,USDHKD,7.79851,7.79847,7.79847,7.79861,7.79854,7.798516666666667,7.7985050000000005,7.798515,41,2021-12-23 07:00:00
25041,USDHKD,7.79847,7.79848,7.79846,7.79864,7.7985500000000005,7.7985266666666675,7.798515,7.798512500000001,67,2021-12-23 07:15:00
25042,USDHKD,7.79861,7.79846,7.79846,7.7986699999999995,7.798565,7.7985299999999995,7.798512499999999,7.79855,61,2021-12-23 07:30:00
25043,USDHKD,7.79846,7.79846,7.79844,7.79858,7.79851,7.798493333333333,7.7984849999999994,7.7984849999999994,48,2021-12-23 07:45:00
25044,USDHKD,7.79846,7.79847,7.79842,7.79858,7.798500000000001,7.798490000000001,7.798485000000001,7.7984825,47,2021-12-23 08:00:00
25045,USDHKD,7.79847,7.79846,7.79845,7.7986,7.798525,7.798503333333334,7.7984925,7.798495000000001,52,2021-12-23 08:15:00
25046,USDHKD,7.79846,7.7984,7.7983,7.79861,7.798455000000001,7.798436666666667,7.798427500000001,7.7984425,63,2021-12-23 08:30:00
25047,USDHKD,7.7984,7.79799,7.79799,7.7985,7.798245,7.79816,7.7981175,7.798220000000001,72,2021-12-23 08:45:00
25048,USDHKD,7.79799,7.79823,7.79798,7.79838,7.79818,7.798196666666667,7.798205,7.798145,45,2021-12-23 09:00:00
25049,USDHKD,7.79823,7.79801,7.798,7.79823,7.798115,7.79808,7.7980625,7.7981175,45,2021-12-23 09:15:00
25050,USDHKD,7.79801,7.79802,7.79795,7.79816,7.798055,7.798043333333333,7.7980375,7.7980350000000005,47,2021-12-23 09:30:00
25051,USDHKD,7.79802,7.79794,7.79794,7.79809,7.7980149999999995,7.7979899999999995,7.7979775,7.7979975,70,2021-12-23 09:45:00
25052,USDHKD,7.79794,7.79809,7.7979199999999995,7.79819,7.798055,7.798066666666666,7.7980725,7.798035,69,2021-12-23 10:00:00
25053,USDHKD,7.79802,7.79783,7.79775,7.79854,7.798145,7.79804,7.7979875000000005,7.7980350000000005,107,2021-12-23 10:15:00
25054,USDHKD,7.79799,7.79786,7.79783,7.79809,7.79796,7.797926666666666,7.79791,7.7979424999999996,89,2021-12-23 10:30:00
25055,USDHKD,7.79798,7.7980599999999995,7.79784,7.7981300000000005,7.797985000000001,7.7980100000000006,7.7980225,7.7980025,75,2021-12-23 10:45:00
25056,USDHKD,7.7980599999999995,7.79852,7.79805,7.79862,7.798335,7.798396666666666,7.7984275,7.7983125,73,2021-12-23 11:00:00
25057,USDHKD,7.79843,7.79819,7.79798,7.7985,7.79824,7.798223333333333,7.798214999999999,7.798274999999999,54,2021-12-23 11:15:00
25058,USDHKD,7.79808,7.79821,7.79803,7.79841,7.79822,7.798216666666666,7.798215,7.798182499999999,70,2021-12-23 11:30:00
25059,USDHKD,7.79821,7.79849,7.79821,7.79948,7.798845,7.798726666666667,7.7986675000000005,7.7985975000000005,91,2021-12-23 11:45:00
25060,USDHKD,7.79849,7.79894,7.79845,7.79906,7.798755,7.798816666666667,7.798847500000001,7.798735000000001,69,2021-12-23 12:00:00
25061,USDHKD,7.79894,7.79816,7.79816,7.79899,7.798575,7.7984366666666665,7.7983674999999995,7.798562499999999,69,2021-12-23 12:15:00
25062,USDHKD,7.7982,7.79816,7.79809,7.79832,7.798205,7.798190000000001,7.7981825,7.798192500000001,47,2021-12-23 12:30:00
25063,USDHKD,7.79816,7.79811,7.79809,7.79832,7.798205,7.798173333333334,7.7981575,7.79817,34,2021-12-23 12:45:00
25064,USDHKD,7.79811,7.79885,7.79811,7.79905,7.79858,7.79867,7.798715,7.79853,78,2021-12-23 13:00:00
25065,USDHKD,7.7991,7.79886,7.79877,7.7992,7.798985,7.798943333333334,7.798922500000001,7.7989825,57,2021-12-23 13:15:00
25066,USDHKD,7.79886,7.79887,7.79886,7.79916,7.79901,7.798963333333333,7.79894,7.7989375,57,2021-12-23 13:30:00
25067,USDHKD,7.79916,7.7991399999999995,7.79887,7.79941,7.7991399999999995,7.799139999999999,7.7991399999999995,7.799144999999999,54,2021-12-23 13:45:00
25068,USDHKD,7.79927,7.79924,7.79906,7.7994,7.79923,7.7992333333333335,7.799235,7.7992425,45,2021-12-23 14:00:00
25069,USDHKD,7.79924,7.79924,7.79923,7.79954,7.799385,7.799336666666666,7.7993125,7.7993125,63,2021-12-23 14:15:00
25070,USDHKD,7.79924,7.79924,7.79924,7.79954,7.799390000000001,7.799340000000001,7.799315000000001,7.799315000000001,36,2021-12-23 14:30:00
25071,USDHKD,7.79924,7.79944,7.79924,7.79955,7.7993950000000005,7.799410000000001,7.799417500000001,7.799367500000001,83,2021-12-23 14:45:00
25072,USDHKD,7.79943,7.79948,7.79943,7.79977,7.7996,7.79956,7.7995399999999995,7.7995275,72,2021-12-23 15:00:00
25073,USDHKD,7.79948,7.7993500000000004,7.7993500000000004,7.7997499999999995,7.79955,7.799483333333334,7.79945,7.7994825,64,2021-12-23 15:15:00
25074,USDHKD,7.7993500000000004,7.79854,7.79805,7.79954,7.798795,7.79871,7.7986675,7.79887,58,2021-12-23 15:30:00
25075,USDHKD,7.79851,7.79965,7.79851,7.79978,7.799145,7.799313333333333,7.7993974999999995,7.7991125,79,2021-12-23 15:45:00
25076,USDHKD,7.79965,7.79925,7.79796,7.79986,7.798909999999999,7.799023333333333,7.79908,7.79918,102,2021-12-23 16:00:00
25077,USDHKD,7.79925,7.79926,7.79921,7.79959,7.7994,7.799353333333333,7.79933,7.7993275,64,2021-12-23 16:15:00
25078,USDHKD,7.79926,7.79933,7.79925,7.79952,7.799385,7.799366666666667,7.7993575,7.79934,48,2021-12-23 16:30:00
25079,USDHKD,7.79933,7.7991,7.79901,7.79956,7.799284999999999,7.799223333333333,7.799192499999999,7.79925,59,2021-12-23 16:45:00
25080,USDHKD,7.79913,7.7989,7.79815,7.79913,7.79864,7.798726666666667,7.79877,7.7988275,164,2021-12-23 17:00:00
