,AUDNZD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
29351,AUDNZD_i,1.06907,1.06907,1.06894,1.06928,1.06911,1.0690966666666666,1.06909,1.06909,1224,2022-02-24 07:45:00
29352,AUDNZD_i,1.06907,1.06915,1.06897,1.06939,1.06918,1.06917,1.069165,1.069145,1109,2022-02-24 08:00:00
29353,AUDNZD_i,1.06915,1.06924,1.06871,1.06942,1.0690650000000002,1.0691233333333334,1.0691525,1.06913,1201,2022-02-24 08:15:00
29354,AUDNZD_i,1.06924,1.06903,1.06886,1.06954,1.0692,1.0691433333333331,1.0691149999999998,1.0691674999999998,1173,2022-02-24 08:30:00
29355,AUDNZD_i,1.06903,1.0689,1.0689,1.06951,1.069205,1.0691033333333333,1.0690525,1.0690849999999998,1068,2022-02-24 08:45:00
29356,AUDNZD_i,1.06887,1.06875,1.0687,1.06921,1.0689549999999999,1.0688866666666665,1.0688525,1.0688825,1993,2022-02-24 09:00:00
29357,AUDNZD_i,1.06876,1.06894,1.06861,1.06926,1.0689350000000002,1.0689366666666669,1.0689375,1.0688925,1731,2022-02-24 09:15:00
29358,AUDNZD_i,1.06894,1.06911,1.06865,1.06951,1.06908,1.06909,1.0690950000000001,1.0690525000000002,1789,2022-02-24 09:30:00
29359,AUDNZD_i,1.0691,1.06861,1.06839,1.0693,1.068845,1.0687666666666666,1.0687275,1.06885,1488,2022-02-24 09:45:00
29360,AUDNZD_i,1.06859,1.06846,1.06832,1.06908,1.0687,1.06862,1.0685799999999999,1.0686125,1717,2022-02-24 10:00:00
29361,AUDNZD_i,1.06846,1.06851,1.06808,1.06857,1.068325,1.0683866666666668,1.0684175,1.068405,1744,2022-02-24 10:15:00
29362,AUDNZD_i,1.06849,1.06855,1.06831,1.06881,1.0685600000000002,1.0685566666666668,1.0685550000000001,1.06854,1568,2022-02-24 10:30:00
29363,AUDNZD_i,1.06853,1.06837,1.0679400000000001,1.06878,1.0683600000000002,1.0683633333333333,1.068365,1.068405,1491,2022-02-24 10:45:00
29364,AUDNZD_i,1.06837,1.06921,1.0679400000000001,1.06925,1.0685950000000002,1.0688000000000002,1.0689025,1.0686925,1495,2022-02-24 11:00:00
29365,AUDNZD_i,1.06922,1.06952,1.06909,1.06961,1.06935,1.0694066666666666,1.069435,1.06936,1256,2022-02-24 11:15:00
29366,AUDNZD_i,1.06952,1.06989,1.0691,1.06993,1.069515,1.06964,1.0697025,1.06961,1416,2022-02-24 11:30:00
29367,AUDNZD_i,1.06991,1.06985,1.06976,1.07034,1.0700500000000002,1.0699833333333333,1.06995,1.069965,1306,2022-02-24 11:45:00
29368,AUDNZD_i,1.06983,1.07024,1.06979,1.07042,1.0701049999999999,1.07015,1.0701725,1.0700699999999999,1409,2022-02-24 12:00:00
29369,AUDNZD_i,1.07026,1.07046,1.06991,1.07071,1.07031,1.07036,1.070385,1.070335,1174,2022-02-24 12:15:00
