,NQ100_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1123,NQ100_i,11943.7,11937.2,11932.9,11952.9,11942.9,11941.0,11940.05,11941.675,1237,2020-11-06 06:45:00
1124,NQ100_i,11937.2,11949.5,11934.1,11958.0,11946.05,11947.199999999999,11947.775,11944.7,1320,2020-11-06 07:00:00
1125,NQ100_i,11949.5,11954.0,11941.0,11956.5,11948.75,11950.5,11951.375,11950.25,1123,2020-11-06 07:15:00
1126,NQ100_i,11954.1,11953.6,11948.0,11959.9,11953.95,11953.833333333334,11953.775,11953.9,946,2020-11-06 07:30:00
1127,NQ100_i,11953.4,11976.6,11936.2,11983.5,11959.85,11965.433333333334,11968.225,11962.425000000001,1483,2020-11-06 07:45:00
1128,NQ100_i,11976.7,11977.2,11973.7,11985.7,11979.7,11978.866666666669,11978.45,11978.325,1252,2020-11-06 08:00:00
1129,NQ100_i,11977.9,11961.0,11941.0,11984.6,11962.8,11962.199999999999,11961.9,11966.125,1569,2020-11-06 08:15:00
1130,NQ100_i,11961.2,11973.7,11959.0,11977.5,11968.25,11970.066666666666,11970.974999999999,11967.849999999999,1329,2020-11-06 08:30:00
1131,NQ100_i,11973.4,11969.2,11963.6,11977.7,11970.650000000001,11970.166666666666,11969.925,11970.975,1065,2020-11-06 08:45:00
1132,NQ100_i,11969.2,11960.0,11955.2,11980.7,11967.95,11965.300000000001,11963.975,11966.275000000001,1439,2020-11-06 09:00:00
1133,NQ100_i,11960.0,12003.2,11958.1,12008.5,11983.3,11989.933333333334,11993.25,11982.45,2043,2020-11-06 09:15:00
1134,NQ100_i,12003.5,11988.6,11987.4,12008.2,11997.8,11994.733333333332,11993.199999999999,11996.925,1369,2020-11-06 09:30:00
1135,NQ100_i,11988.5,11984.6,11974.9,11997.5,11986.2,11985.666666666666,11985.4,11986.375,1518,2020-11-06 09:45:00
1136,NQ100_i,11985.1,12019.4,11982.6,12038.7,12010.650000000001,12013.566666666668,12015.025000000001,12006.45,2565,2020-11-06 10:00:00
1137,NQ100_i,12019.0,12013.1,12004.9,12026.5,12015.7,12014.833333333334,12014.4,12015.875,1650,2020-11-06 10:15:00
1138,NQ100_i,12012.6,11995.5,11987.1,12019.0,12003.05,12000.533333333333,11999.275,12003.55,1649,2020-11-06 10:30:00
