,NZDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
16939,NZDCHF_i,0.63847,0.63849,0.63801,0.6388,0.638405,0.6384333333333333,0.6384475000000001,0.6384425,982,2021-08-26 17:45:00
16940,NZDCHF_i,0.63849,0.63825,0.63779,0.6385,0.638145,0.63818,0.6381975,0.6382574999999999,977,2021-08-26 18:00:00
16941,NZDCHF_i,0.63828,0.63848,0.63821,0.63874,0.638475,0.6384766666666667,0.6384775,0.6384275,679,2021-08-26 18:15:00
16942,NZDCHF_i,0.63849,0.63799,0.63799,0.63852,0.638255,0.6381666666666667,0.6381224999999999,0.6382475,515,2021-08-26 18:30:00
16943,NZDCHF_i,0.63802,0.6379,0.63788,0.63835,0.638115,0.6380433333333334,0.6380075000000001,0.6380375,412,2021-08-26 18:45:00
16944,NZDCHF_i,0.6379,0.63819,0.63787,0.63823,0.63805,0.6380966666666666,0.63812,0.6380475,464,2021-08-26 19:00:00
16945,NZDCHF_i,0.6382,0.63815,0.63801,0.63833,0.6381699999999999,0.6381633333333333,0.63816,0.6381724999999999,418,2021-08-26 19:15:00
16946,NZDCHF_i,0.63812,0.63826,0.638,0.6383,0.63815,0.6381866666666667,0.638205,0.63817,304,2021-08-26 19:30:00
16947,NZDCHF_i,0.63827,0.6384,0.6381,0.6385,0.6383,0.6383333333333333,0.63835,0.6383175,360,2021-08-26 19:45:00
16948,NZDCHF_i,0.63835,0.6385,0.63817,0.6386,0.638385,0.6384233333333333,0.6384425,0.638405,389,2021-08-26 20:00:00
16949,NZDCHF_i,0.63851,0.63805,0.63792,0.63855,0.638235,0.6381733333333334,0.6381425000000001,0.6382575,238,2021-08-26 20:15:00
16950,NZDCHF_i,0.63805,0.63795,0.63773,0.6381,0.637915,0.6379266666666666,0.6379325,0.6379575,263,2021-08-26 20:30:00
16951,NZDCHF_i,0.63795,0.6377,0.63755,0.63795,0.63775,0.6377333333333334,0.6377250000000001,0.6377875000000001,200,2021-08-26 20:45:00
16952,NZDCHF_i,0.6377,0.63746,0.63745,0.63771,0.63758,0.63754,0.63752,0.63758,295,2021-08-26 21:00:00
16953,NZDCHF_i,0.63745,0.6376,0.6374,0.63765,0.637525,0.63755,0.6375625,0.637525,253,2021-08-26 21:15:00
16954,NZDCHF_i,0.6376,0.6374,0.6374,0.6377,0.6375500000000001,0.6375000000000001,0.637475,0.637525,247,2021-08-26 21:30:00
16955,NZDCHF_i,0.6374,0.6373,0.63725,0.6375,0.637375,0.63735,0.6373375,0.6373625,238,2021-08-26 21:45:00
16956,NZDCHF_i,0.6373,0.6373,0.63703,0.63745,0.63724,0.63726,0.63727,0.63727,256,2021-08-26 22:00:00
16957,NZDCHF_i,0.6373,0.6375,0.63725,0.6376,0.6374249999999999,0.63745,0.6374624999999999,0.6374124999999999,211,2021-08-26 22:15:00
16958,NZDCHF_i,0.6375,0.63756,0.63749,0.63765,0.63757,0.6375666666666667,0.637565,0.6375500000000001,209,2021-08-26 22:30:00
16959,NZDCHF_i,0.6376,0.6377,0.63747,0.6378,0.637635,0.6376566666666666,0.6376675,0.6376425,230,2021-08-26 22:45:00
16960,NZDCHF_i,0.63765,0.63775,0.63749,0.63785,0.63767,0.6376966666666667,0.63771,0.6376850000000001,88,2021-08-26 23:00:00
16961,NZDCHF_i,0.63775,0.63765,0.63761,0.63777,0.63769,0.6376766666666667,0.63767,0.637695,125,2021-08-26 23:15:00
16962,NZDCHF_i,0.63762,0.63735,0.63729,0.63765,0.63747,0.63743,0.63741,0.6374775,106,2021-08-26 23:30:00
16963,NZDCHF_i,0.63732,0.63706,0.63699,0.63746,0.6372249999999999,0.6371699999999999,0.6371425,0.6372074999999999,197,2021-08-26 23:45:00
16964,NZDCHF_i,0.63725,0.63715,0.63672,0.63748,0.6371,0.6371166666666667,0.637125,0.63715,57,2021-08-27 00:00:00
16965,NZDCHF_i,0.63715,0.63715,0.63687,0.6375,0.637185,0.6371733333333333,0.6371675,0.6371675,55,2021-08-27 00:15:00
16966,NZDCHF_i,0.63715,0.63744,0.63669,0.63744,0.637065,0.63719,0.6372525,0.63718,120,2021-08-27 00:30:00
