,XBNUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
21396,XBNUSD_i,570.94,569.36,569.02,572.34,570.6800000000001,570.2400000000001,570.0200000000001,570.4150000000001,1695,2021-10-28 16:30:00
21397,XBNUSD_i,569.3,568.64,567.87,569.98,568.925,568.8299999999999,568.7824999999999,568.9475,936,2021-10-28 16:45:00
21398,XBNUSD_i,568.65,565.41,564.35,568.98,566.665,566.2466666666666,566.0374999999999,566.8475,575,2021-10-28 17:00:00
21399,XBNUSD_i,565.42,565.3,563.24,566.02,564.63,564.8533333333334,564.9649999999999,564.995,929,2021-10-28 17:15:00
21400,XBNUSD_i,565.3,565.73,564.86,566.79,565.825,565.7933333333334,565.7775,565.6700000000001,592,2021-10-28 17:30:00
21401,XBNUSD_i,565.74,566.37,564.99,567.56,566.275,566.3066666666667,566.3225,566.165,542,2021-10-28 17:45:00
21402,XBNUSD_i,566.41,566.54,565.37,567.31,566.3399999999999,566.4066666666666,566.4399999999999,566.4074999999999,690,2021-10-28 18:00:00
21403,XBNUSD_i,566.55,566.71,565.22,566.75,565.985,566.2266666666667,566.3475000000001,566.3075,630,2021-10-28 18:15:00
21404,XBNUSD_i,566.71,567.74,565.98,568.63,567.3050000000001,567.45,567.5225,567.2650000000001,662,2021-10-28 18:30:00
21405,XBNUSD_i,567.74,567.7,566.89,568.69,567.79,567.76,567.745,567.755,807,2021-10-28 18:45:00
21406,XBNUSD_i,567.71,568.18,567.55,569.97,568.76,568.5666666666666,568.4699999999999,568.3525,758,2021-10-28 19:00:00
21407,XBNUSD_i,568.2,569.93,568.2,570.23,569.215,569.4533333333334,569.5725,569.1400000000001,585,2021-10-28 19:15:00
21408,XBNUSD_i,569.93,570.03,568.93,570.56,569.7449999999999,569.8399999999999,569.8874999999999,569.8625,408,2021-10-28 19:30:00
21409,XBNUSD_i,569.92,569.03,568.05,570.29,569.17,569.1233333333333,569.0999999999999,569.3225,676,2021-10-28 19:45:00
21410,XBNUSD_i,568.57,569.35,567.66,569.93,568.795,568.98,569.0725,568.8775,949,2021-10-28 20:00:00
21411,XBNUSD_i,569.35,575.46,568.41,577.81,573.1099999999999,573.8933333333333,574.285,572.7574999999999,1874,2021-10-28 20:15:00
21412,XBNUSD_i,575.46,573.51,571.23,575.76,573.495,573.5,573.5025,573.99,1543,2021-10-28 20:30:00
21413,XBNUSD_i,573.52,573.09,571.5,574.37,572.935,572.9866666666667,573.0125,573.12,891,2021-10-28 20:45:00
21414,XBNUSD_i,573.09,571.93,570.23,573.25,571.74,571.8033333333333,571.8349999999999,572.125,699,2021-10-28 21:00:00
21415,XBNUSD_i,571.93,571.58,570.66,572.85,571.755,571.6966666666667,571.6675,571.755,1062,2021-10-28 21:15:00
21416,XBNUSD_i,571.59,562.13,559.86,572.13,565.995,564.7066666666666,564.0625,566.4275,2534,2021-10-28 21:30:00
21417,XBNUSD_i,562.17,569.92,562.07,571.57,566.82,567.8533333333334,568.37,566.4325,3981,2021-10-28 21:45:00
21418,XBNUSD_i,569.92,569.88,566.92,571.82,569.37,569.54,569.625,569.635,2846,2021-10-28 22:00:00
21419,XBNUSD_i,569.88,576.71,569.51,577.0,573.255,574.4066666666666,574.9825000000001,573.275,2039,2021-10-28 22:15:00
21420,XBNUSD_i,576.72,582.01,576.44,582.69,579.565,580.38,580.7875,579.465,2053,2021-10-28 22:30:00
21421,XBNUSD_i,582.01,583.42,581.54,585.43,583.4849999999999,583.4633333333333,583.4525,583.0999999999999,2724,2021-10-28 22:45:00
