,GER40_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
30137,GER40_m_i,15087.8,15064.6,15062.0,15120.7,15091.35,15082.433333333334,15077.975,15083.775000000001,643,2022-01-25 15:15:00
30138,GER40_m_i,15063.2,15079.1,15054.1,15091.0,15072.55,15074.733333333332,15075.824999999999,15071.849999999999,725,2022-01-25 15:30:00
30139,GER40_m_i,15079.0,15082.1,15069.1,15086.2,15077.650000000001,15079.133333333333,15079.875,15079.1,630,2022-01-25 15:45:00
30140,GER40_m_i,15080.1,15089.5,15076.0,15111.9,15093.95,15092.466666666667,15091.725,15089.375,603,2022-01-25 16:00:00
30141,GER40_m_i,15091.1,15109.1,15084.0,15115.7,15099.85,15102.933333333334,15104.475,15099.975,664,2022-01-25 16:15:00
30142,GER40_m_i,15108.0,15108.4,15099.1,15153.1,15126.1,15120.199999999999,15117.25,15117.15,1329,2022-01-25 16:30:00
30143,GER40_m_i,15108.1,15018.5,15008.0,15109.7,15058.85,15045.4,15038.675,15061.074999999999,1128,2022-01-25 16:45:00
30144,GER40_m_i,15017.0,15037.1,14978.0,15037.1,15007.55,15017.4,15022.324999999999,15017.3,1171,2022-01-25 17:00:00
30145,GER40_m_i,15036.4,15132.1,15024.0,15132.1,15078.05,15096.066666666666,15105.074999999999,15081.15,1133,2022-01-25 17:15:00
30146,GER40_m_i,15130.9,15140.1,15094.0,15140.7,15117.35,15124.933333333334,15128.725,15126.425000000001,1129,2022-01-25 17:30:00
30147,GER40_m_i,15140.2,15105.7,15102.2,15159.7,15130.95,15122.533333333335,15118.325,15126.95,1075,2022-01-25 17:45:00
30148,GER40_m_i,15106.8,15094.1,15088.0,15131.4,15109.7,15104.5,15101.9,15105.075,979,2022-01-25 18:00:00
30149,GER40_m_i,15096.0,15138.0,15087.0,15162.5,15124.75,15129.166666666666,15131.375,15120.875,977,2022-01-25 18:15:00
30150,GER40_m_i,15135.3,15086.1,15059.9,15137.0,15098.45,15094.333333333334,15092.275,15104.575,1021,2022-01-25 18:30:00
30151,GER40_m_i,15087.1,15087.0,15080.0,15132.5,15106.25,15099.833333333334,15096.625,15096.65,931,2022-01-25 18:45:00
30152,GER40_m_i,15086.1,15107.1,15075.5,15127.3,15101.4,15103.300000000001,15104.25,15099.0,924,2022-01-25 19:00:00
30153,GER40_m_i,15107.1,15109.2,15079.4,15120.5,15099.95,15103.033333333335,15104.575,15104.050000000001,918,2022-01-25 19:15:00
30154,GER40_m_i,15108.0,15087.2,15069.0,15108.0,15088.5,15088.066666666666,15087.849999999999,15093.05,797,2022-01-25 19:30:00
30155,GER40_m_i,15085.2,15089.9,15057.1,15091.5,15074.3,15079.5,15082.1,15080.925,818,2022-01-25 19:45:00
30156,GER40_m_i,15090.4,15091.3,15063.1,15095.8,15079.45,15083.4,15085.375,15085.15,923,2022-01-25 20:00:00
30157,GER40_m_i,15090.4,15133.9,15083.1,15136.3,15109.7,15117.766666666668,15121.800000000001,15110.925000000001,817,2022-01-25 20:15:00
30158,GER40_m_i,15133.2,15141.3,15127.1,15150.3,15138.7,15139.566666666666,15140.0,15137.974999999999,744,2022-01-25 20:30:00
30159,GER40_m_i,15141.1,15178.1,15133.4,15179.1,15156.25,15163.533333333333,15167.175,15157.925,789,2022-01-25 20:45:00
30160,GER40_m_i,15178.1,15190.1,15141.1,15193.1,15167.1,15174.766666666668,15178.6,15175.6,787,2022-01-25 21:00:00
30161,GER40_m_i,15189.3,15195.3,15185.1,15201.5,15193.3,15193.966666666665,15194.3,15192.8,702,2022-01-25 21:15:00
30162,GER40_m_i,15195.1,15221.1,15175.0,15224.1,15199.55,15206.733333333332,15210.324999999999,15203.824999999999,655,2022-01-25 21:30:00
30163,GER40_m_i,15221.2,15250.1,15214.1,15258.3,15236.2,15240.833333333334,15243.15,15235.925,712,2022-01-25 21:45:00
30164,GER40_m_i,15251.0,15213.9,15198.0,15254.0,15226.0,15221.966666666667,15219.95,15229.225,839,2022-01-25 22:00:00
30165,GER40_m_i,15214.1,15184.6,15180.1,15234.8,15207.45,15199.833333333334,15196.025,15203.4,816,2022-01-25 22:15:00
30166,GER40_m_i,15216.9,15244.9,15214.8,15245.9,15230.349999999999,15235.199999999999,15237.625,15230.625,386,2022-01-26 09:30:00
30167,GER40_m_i,15246.8,15230.9,15217.9,15251.9,15234.9,15233.566666666666,15232.9,15236.875,415,2022-01-26 09:45:00
30168,GER40_m_i,15229.8,15349.2,15228.8,15349.2,15289.0,15309.066666666666,15319.099999999999,15289.25,813,2022-01-26 10:00:00
30169,GER40_m_i,15348.2,15377.2,15341.1,15383.2,15362.150000000001,15367.166666666666,15369.675,15362.425,785,2022-01-26 10:15:00
30170,GER40_m_i,15377.2,15412.4,15377.2,15418.4,15397.8,15402.666666666666,15405.1,15396.3,555,2022-01-26 10:30:00
30171,GER40_m_i,15411.4,15376.4,15368.4,15414.4,15391.4,15386.4,15383.9,15392.65,615,2022-01-26 10:45:00
30172,GER40_m_i,15375.4,15406.3,15371.4,15416.4,15393.9,15398.033333333333,15400.099999999999,15392.375,541,2022-01-26 11:00:00
30173,GER40_m_i,15406.4,15434.3,15402.4,15444.3,15423.349999999999,15427.0,15428.825,15421.85,542,2022-01-26 11:15:00
30174,GER40_m_i,15434.3,15447.3,15429.3,15448.6,15438.95,15441.733333333332,15443.125,15439.875,477,2022-01-26 11:30:00
30175,GER40_m_i,15445.4,15441.4,15432.4,15455.3,15443.849999999999,15443.033333333333,15442.625,15443.625,464,2022-01-26 11:45:00
30176,GER40_m_i,15440.4,15447.4,15409.4,15453.4,15431.4,15436.733333333332,15439.4,15437.65,516,2022-01-26 12:00:00
30177,GER40_m_i,15448.3,15443.4,15437.4,15465.4,15451.4,15448.733333333332,15447.4,15448.625,396,2022-01-26 12:15:00
30178,GER40_m_i,15443.4,15436.3,15435.3,15460.3,15447.8,15443.966666666665,15442.05,15443.824999999999,392,2022-01-26 12:30:00
30179,GER40_m_i,15438.3,15448.3,15424.3,15451.3,15437.8,15441.299999999997,15443.05,15440.55,338,2022-01-26 12:45:00
30180,GER40_m_i,15448.3,15445.3,15445.3,15463.3,15454.3,15451.299999999997,15449.8,15450.55,317,2022-01-26 13:00:00
30181,GER40_m_i,15445.4,15418.4,15411.3,15452.9,15432.099999999999,15427.533333333333,15425.25,15432.0,365,2022-01-26 13:15:00
30182,GER40_m_i,15418.4,15448.4,15418.4,15459.4,15438.9,15442.066666666666,15443.65,15436.15,347,2022-01-26 13:30:00
30183,GER40_m_i,15449.4,15492.4,15440.3,15493.4,15466.849999999999,15475.366666666667,15479.625,15468.875,393,2022-01-26 13:45:00
30184,GER40_m_i,15492.3,15457.5,15456.2,15497.3,15476.75,15470.333333333334,15467.125,15475.825,443,2022-01-26 14:00:00
30185,GER40_m_i,15458.2,15476.8,15449.2,15476.9,15463.05,15467.633333333331,15469.925,15465.274999999998,349,2022-01-26 14:15:00
30186,GER40_m_i,15475.9,15462.6,15459.6,15481.8,15470.7,15468.0,15466.65,15469.975,324,2022-01-26 14:30:00
30187,GER40_m_i,15464.6,15476.6,15453.6,15481.6,15467.6,15470.6,15472.1,15469.1,330,2022-01-26 14:45:00
