,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
70,HLC/3,46,274,27,macd,67,63,1,7,0.37,2991,681,65,43,282,58,98,559,77,28,164,16,9,904,630,776,419,402,553,479,290,244,928,320,491,707,53,281,406,549,39,256,276,5,824,26,89,197,18,401,8,18,0.07,0.33,0.73,0.94,0.9,0.84,True,True,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,-1.0,True,False
71,open,30,44,29,macdh,65,22,6,17,0.37,239,393,55,86,888,33,53,822,19,62,692,42,4,62,994,811,372,297,733,292,356,41,428,834,623,855,541,392,583,899,77,92,324,6,454,29,51,169,6,404,6,13,0.34,0.04,1.2,1.06,1.0,1.1,False,False,False,False,True,True,True,False,False,True,True,False,False,True,True,False,True,-1.0,True,False
72,high,121,278,9,macd,76,75,6,10,0.01,2227,746,31,65,967,75,72,424,59,33,905,9,59,451,740,432,353,88,946,782,299,96,790,372,101,735,417,993,4,724,23,129,196,7,109,29,81,148,16,326,1,15,0.1,0.15,1.12,1.19,0.92,1.01,True,False,True,True,True,True,False,False,False,False,True,True,False,True,False,True,True,-1.0,True,False
73,OHLC/4,10,279,25,macd,18,73,6,9,0.15,2073,973,78,7,222,5,92,48,94,47,801,50,34,894,782,964,333,12,669,656,204,136,552,782,206,625,621,451,94,415,45,90,153,8,149,5,16,63,2,592,8,5,0.12,0.07,0.29,0.41,0.47,0.76,True,False,True,False,True,True,True,False,False,False,True,False,True,True,False,True,False,-1.0,True,False
74,HL/2,47,303,34,macdh,47,55,1,15,0.26,2366,487,52,33,314,73,30,461,7,21,929,16,95,587,478,942,186,40,920,774,349,195,314,15,946,85,358,640,643,956,63,140,66,14,191,5,16,74,17,71,22,9,0.18,0.01,0.14,0.36,0.5,0.99,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,-1.0,True,False
75,HLC/3,52,305,8,macd,91,13,6,20,0.19,1165,563,10,5,869,17,14,273,2,98,226,11,85,855,479,697,71,14,761,600,440,89,641,746,773,315,684,600,940,524,100,171,527,16,787,49,100,31,5,513,24,22,0.04,0.2,1.15,1.19,1.11,0.93,False,False,True,True,True,False,True,False,False,True,True,True,True,True,True,False,False,-1.0,True,False
76,open,4,199,50,macd,85,31,6,13,0.34,1937,294,5,43,719,55,86,165,78,9,265,88,37,286,783,619,137,95,545,384,42,29,781,977,968,680,293,79,353,577,46,189,234,3,333,29,60,12,18,273,21,8,0.28,0.1,0.97,1.03,1.03,1.05,False,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,False,-1.0,True,False
77,open,5,128,6,macds,24,85,6,15,0.19,978,723,52,97,925,74,21,212,80,98,387,71,100,672,692,835,283,153,126,972,204,160,451,133,572,525,617,728,385,159,47,146,384,18,33,35,100,22,17,236,19,5,0.23,0.1,1.12,0.95,1.18,1.07,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,-1.0,True,False
78,HL/2,84,152,23,macdh,38,68,6,8,0.21,1753,322,49,87,229,97,81,602,44,37,907,88,76,169,354,255,151,126,376,311,81,38,138,777,92,949,990,118,560,986,15,146,413,18,57,41,59,85,17,79,24,14,0.29,0.2,1.08,0.95,0.92,0.98,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,-1.0,True,False
79,low,73,235,4,macdh,90,12,6,15,0.24,306,756,19,3,969,14,25,712,85,59,700,67,33,980,834,913,417,68,967,606,280,23,722,67,309,700,964,774,561,352,14,57,446,14,367,22,42,24,10,512,18,7,0.07,0.01,1.04,0.95,1.17,1.19,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,-1.0,True,False
80,OHLC/4,54,185,16,macdh,73,53,6,15,0.31,1303,589,96,98,982,34,99,678,58,40,110,21,77,402,896,868,442,80,540,484,289,170,771,730,636,982,739,258,289,191,41,295,511,16,363,43,100,90,19,755,21,22,0.39,0.2,0.96,1.2,1.11,1.1,False,False,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,-1.0,True,False
81,OHLC/4,66,227,29,macd,58,63,6,6,0.19,2845,867,52,33,8,32,56,846,96,54,43,74,39,118,985,559,384,281,956,388,73,25,80,226,272,498,793,143,188,657,83,108,463,6,924,7,76,180,17,328,4,13,0.4,0.03,1.19,1.03,1.1,0.92,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,-1.0,True,False
82,HLC/3,97,115,33,macd,100,81,6,17,0.07,2767,771,60,38,283,62,47,969,30,91,187,61,53,396,746,510,130,21,393,669,444,16,819,1000,695,695,32,371,171,433,48,134,118,11,304,35,43,29,19,860,19,14,0.04,0.23,1.17,1.15,0.9,0.95,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True,True,-1.0,True,False
83,OHLC/4,136,179,5,macdh,64,83,6,5,0.21,2737,626,16,70,395,33,63,671,91,64,800,44,38,143,511,436,129,30,889,522,380,74,209,880,545,980,986,847,87,154,24,310,347,2,130,50,98,29,3,528,25,2,0.08,0.19,1.04,1.02,1.13,1.12,False,False,True,False,True,False,True,True,True,True,False,True,False,True,False,False,False,-1.0,True,False
84,high,61,118,18,macdh,15,42,6,10,0.12,598,567,79,29,932,81,28,64,98,56,252,30,21,932,695,622,426,136,821,378,165,64,268,556,848,909,65,23,120,327,4,222,100,6,65,46,61,208,4,509,7,20,0.16,0.4,0.95,1.12,1.18,1.05,False,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,-1.0,True,False
85,high,38,312,4,macds,26,97,5,5,0.15,1880,310,21,5,88,13,44,938,34,59,70,27,43,654,712,692,150,92,932,764,436,328,10,5,860,261,769,160,22,273,11,309,162,15,694,46,61,143,9,138,21,6,0.36,0.14,0.69,0.91,0.85,0.87,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,16.04977629425405,True,False
