,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
226,HL/2,239,445,36,macds,46,221,6,19,0.79,107,561,97,211,122,190,7,455,5,227,43,139,118,115,485,830,274,14,660,494,485,119,780,751,966,253,450,881,690,763,262,1361,2103,9,483,16,106,108,36,66,36,39,0.34,0.69,30,3,0.92,0.87,0.98,0.85,False,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,False,-1,True,False
227,low,580,720,13,macd,26,122,6,11,0.06,1385,313,197,72,566,228,62,21,11,179,402,110,235,990,526,432,380,370,228,888,221,88,101,722,13,384,138,610,385,885,101,979,1063,30,72,363,945,68,48,241,45,7,0.83,0.37,19,48,0.94,0.93,0.95,0.82,True,True,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,-1,True,False
228,HL/2,693,1451,43,macdh,180,75,6,17,0.83,1983,696,203,229,123,142,231,944,119,22,523,198,42,837,925,825,253,171,198,82,207,16,814,206,158,627,475,763,343,434,411,568,1839,14,360,38,71,184,32,362,20,9,0.93,0.42,20,40,0.98,0.94,0.98,0.98,False,True,False,True,True,False,True,False,False,True,False,True,True,True,True,False,False,-1,True,False
229,low,401,1169,40,macds,105,131,6,48,0.69,259,349,103,4,389,131,79,439,16,51,472,188,156,863,868,699,401,251,725,662,247,61,275,956,995,84,543,73,785,640,130,360,1786,23,246,173,635,130,14,89,40,13,0.61,0.86,8,48,0.99,0.9,0.8,0.86,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False,False,True,-1,True,False
230,HLC/3,511,886,41,macds,47,178,6,3,0.78,2702,399,49,228,302,178,157,407,82,177,21,39,236,495,739,403,310,168,89,49,495,308,922,317,539,361,50,182,683,661,449,1353,757,3,303,41,97,102,44,604,4,41,0.35,0.98,20,42,0.95,0.88,0.94,0.9,True,True,False,True,True,True,True,False,True,False,True,True,False,False,True,False,False,-1,True,False
231,low,194,1336,17,macds,163,92,6,28,0.03,429,887,56,206,780,242,96,148,107,203,915,138,58,85,834,358,412,207,94,89,252,171,906,782,820,529,863,162,518,693,107,779,302,50,207,41,89,15,43,360,7,31,0.96,0.79,15,2,0.95,0.84,0.98,0.95,False,True,False,True,False,True,True,True,True,False,False,True,True,True,False,False,False,-1,True,False
232,close,407,644,39,macdh,113,67,1,47,0.64,2809,948,174,67,124,16,230,512,147,140,428,110,59,396,929,423,344,220,887,272,183,120,541,727,665,287,215,87,157,348,189,753,1891,4,929,25,89,139,4,560,9,5,0.86,0.27,31,21,0.19,0.69,0.54,0.91,True,True,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True,-1,True,False
233,OHLC/4,643,1107,35,macd,202,238,6,27,0.31,1694,409,17,43,914,55,168,990,214,127,776,108,46,739,722,407,466,331,466,321,219,90,614,970,924,332,606,668,206,958,322,1370,1875,30,476,8,36,106,23,43,17,47,0.13,0.25,4,18,0.9,0.87,0.89,0.99,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,-1,True,False
234,close,786,1270,20,macd,240,21,6,50,0.47,2380,825,133,151,411,158,156,966,236,10,240,13,158,640,376,429,194,25,164,754,342,148,254,399,544,561,422,711,62,889,494,1241,2375,42,48,9,76,149,24,576,34,39,0.25,0.74,20,19,0.99,0.92,0.91,0.85,True,True,False,False,True,False,True,False,True,True,True,False,False,True,False,False,False,-1,True,False
235,OHLC/4,221,862,22,macdh,26,234,6,42,0.95,1188,841,116,67,744,9,133,434,83,66,678,173,171,228,783,516,444,206,726,404,35,14,364,408,667,9,139,822,762,513,45,294,1336,1,991,47,588,84,44,900,31,32,0.17,0.39,18,25,0.81,0.86,0.97,0.81,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,-1,True,False
