,HSI50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
727,HSI50_i,23732.0,23759.0,23608.0,23786.0,23697.0,23717.666666666668,23728.0,23721.25,39990,2020-09-21 16:00:00
728,HSI50_i,23825.0,23617.5,23592.5,23830.0,23711.25,23680.0,23664.375,23716.25,45705,2020-09-22 08:00:00
729,HSI50_i,23618.5,23724.0,23606.5,23760.0,23683.25,23696.833333333332,23703.625,23677.25,20695,2020-09-22 12:00:00
730,HSI50_i,23724.0,23610.0,23529.0,23761.0,23645.0,23633.333333333332,23627.5,23656.0,29570,2020-09-22 16:00:00
731,HSI50_i,23674.5,23718.0,23602.5,23752.5,23677.5,23691.0,23697.75,23686.875,41390,2020-09-23 08:00:00
732,HSI50_i,23717.0,23640.5,23624.5,23764.0,23694.25,23676.333333333332,23667.375,23686.5,19700,2020-09-23 12:00:00
733,HSI50_i,23640.5,23563.5,23518.5,23679.5,23599.0,23587.166666666668,23581.25,23600.5,28950,2020-09-23 16:00:00
734,HSI50_i,23190.5,23241.0,23158.5,23331.0,23244.75,23243.5,23242.875,23230.25,52085,2020-09-24 08:00:00
735,HSI50_i,23240.0,23194.0,23164.5,23314.5,23239.5,23224.333333333332,23216.75,23228.25,27455,2020-09-24 12:00:00
736,HSI50_i,23194.0,23302.5,23157.5,23330.5,23244.0,23263.5,23273.25,23246.125,37865,2020-09-24 16:00:00
737,HSI50_i,23261.5,23171.0,23108.5,23379.5,23244.0,23219.666666666668,23207.5,23230.125,51080,2020-09-25 08:00:00
738,HSI50_i,23171.0,23101.5,22971.5,23197.0,23084.25,23090.0,23092.875,23110.25,31630,2020-09-25 12:00:00
739,HSI50_i,23102.5,23072.5,22958.5,23107.5,23033.0,23046.166666666668,23052.75,23060.25,35350,2020-09-25 16:00:00
740,HSI50_i,23377.5,23366.0,23360.0,23488.5,23424.25,23404.833333333332,23395.125,23398.0,33470,2020-09-28 08:00:00
741,HSI50_i,23367.0,23514.5,23365.0,23538.5,23451.75,23472.666666666668,23483.125,23446.25,21760,2020-09-28 12:00:00
742,HSI50_i,23516.5,23487.5,23474.5,23536.5,23505.5,23499.5,23496.5,23503.75,22290,2020-09-28 16:00:00
743,HSI50_i,23378.0,23247.0,23186.5,23406.5,23296.5,23280.0,23271.75,23304.5,46340,2020-09-29 08:00:00
744,HSI50_i,23248.0,23330.5,23239.0,23334.5,23286.75,23301.333333333332,23308.625,23288.0,18720,2020-09-29 12:00:00
745,HSI50_i,23329.5,23332.5,23312.5,23373.5,23343.0,23339.5,23337.75,23337.0,22310,2020-09-29 16:00:00
746,HSI50_i,23499.0,23438.0,23314.5,23555.5,23435.0,23436.0,23436.5,23451.75,50465,2020-09-30 08:00:00
747,HSI50_i,23437.0,23509.5,23374.5,23523.5,23449.0,23469.166666666668,23479.25,23461.125,23245,2020-09-30 12:00:00
748,HSI50_i,23510.5,23728.5,23499.5,23729.5,23614.5,23652.5,23671.5,23617.0,29495,2020-09-30 16:00:00
749,HSI50_i,23730.5,23743.0,23654.5,23816.5,23735.5,23738.0,23739.25,23736.125,37510,2020-10-05 08:00:00
750,HSI50_i,23742.0,23779.5,23730.0,23797.5,23763.75,23769.0,23771.625,23762.25,16215,2020-10-05 12:00:00
751,HSI50_i,23779.5,23838.5,23759.0,23866.5,23812.75,23821.333333333332,23825.625,23810.875,18319,2020-10-05 16:00:00
752,HSI50_i,23920.0,23929.5,23862.5,23967.0,23914.75,23919.666666666668,23922.125,23919.75,28895,2020-10-06 08:00:00
753,HSI50_i,23928.5,24020.0,23918.5,24033.0,23975.75,23990.5,23997.875,23975.0,15944,2020-10-06 12:00:00
