,USDJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
197,USDJPY_i,105.598,105.474,105.438,105.659,105.5485,105.52366666666667,105.51125,105.54225000000001,4863,2021-02-08 12:00:00
198,USDJPY_i,105.474,105.179,105.144,105.475,105.3095,105.266,105.24425,105.318,7834,2021-02-08 16:00:00
199,USDJPY_i,105.179,105.203,105.171,105.239,105.20500000000001,105.20433333333335,105.20400000000001,105.19800000000001,2569,2021-02-08 20:00:00
200,USDJPY_i,105.202,105.12,105.099,105.256,105.17750000000001,105.15833333333335,105.14875,105.16925,5053,2021-02-09 00:00:00
201,USDJPY_i,105.119,104.89,104.832,105.12,104.976,104.94733333333333,104.93299999999999,104.99025,4965,2021-02-09 04:00:00
202,USDJPY_i,104.889,104.559,104.529,104.915,104.72200000000001,104.66766666666668,104.6405,104.72300000000001,6930,2021-02-09 08:00:00
203,USDJPY_i,104.56,104.612,104.551,104.717,104.634,104.62666666666667,104.62299999999999,104.61,6099,2021-02-09 12:00:00
204,USDJPY_i,104.613,104.556,104.49,104.681,104.5855,104.57566666666666,104.57074999999999,104.585,7560,2021-02-09 16:00:00
205,USDJPY_i,104.556,104.557,104.533,104.633,104.583,104.57433333333334,104.57000000000001,104.56975,3014,2021-02-09 20:00:00
206,USDJPY_i,104.558,104.641,104.508,104.706,104.607,104.61833333333334,104.62400000000001,104.60325,4787,2021-02-10 00:00:00
207,USDJPY_i,104.641,104.556,104.504,104.659,104.5815,104.573,104.56875,104.59,2903,2021-02-10 04:00:00
208,USDJPY_i,104.556,104.784,104.403,104.836,104.6195,104.67433333333334,104.70175,104.64475,6048,2021-02-10 08:00:00
209,USDJPY_i,104.784,104.632,104.529,104.822,104.6755,104.661,104.65375,104.69175,7080,2021-02-10 12:00:00
210,USDJPY_i,104.633,104.624,104.543,104.706,104.62450000000001,104.62433333333335,104.62425000000002,104.62650000000001,8313,2021-02-10 16:00:00
211,USDJPY_i,104.624,104.587,104.587,104.668,104.6275,104.61399999999999,104.60725,104.6165,2911,2021-02-10 20:00:00
212,USDJPY_i,104.572,104.56,104.556,104.638,104.59700000000001,104.58466666666668,104.5785,104.5815,1902,2021-02-11 00:00:00
213,USDJPY_i,104.561,104.586,104.558,104.618,104.588,104.58733333333333,104.587,104.58075,2118,2021-02-11 04:00:00
214,USDJPY_i,104.586,104.656,104.544,104.757,104.6505,104.65233333333333,104.65325,104.63575,4000,2021-02-11 08:00:00
215,USDJPY_i,104.654,104.681,104.632,104.743,104.6875,104.68533333333333,104.68424999999999,104.6775,3452,2021-02-11 12:00:00
216,USDJPY_i,104.681,104.739,104.648,104.799,104.7235,104.72866666666668,104.73125000000002,104.71675,6825,2021-02-11 16:00:00
217,USDJPY_i,104.739,104.738,104.7,104.787,104.74350000000001,104.74166666666667,104.74075,104.74100000000001,2738,2021-02-11 20:00:00
218,USDJPY_i,104.704,104.801,104.702,104.817,104.7595,104.77333333333333,104.78025,104.756,3451,2021-02-12 00:00:00
219,USDJPY_i,104.802,104.864,104.758,104.879,104.8185,104.83366666666666,104.84125,104.82575,2944,2021-02-12 04:00:00
220,USDJPY_i,104.863,105.032,104.782,105.175,104.9785,104.99633333333333,105.00524999999999,104.963,5489,2021-02-12 08:00:00
221,USDJPY_i,105.033,105.064,104.918,105.117,105.01750000000001,105.03300000000002,105.04075,105.03300000000002,4965,2021-02-12 12:00:00
222,USDJPY_i,105.065,104.919,104.903,105.114,105.0085,104.97866666666665,104.96374999999999,105.00025,6596,2021-02-12 16:00:00
223,USDJPY_i,104.919,104.924,104.909,104.982,104.94550000000001,104.93833333333335,104.93475000000001,104.93350000000001,2397,2021-02-12 20:00:00
224,USDJPY_i,104.917,105.017,104.912,105.136,105.024,105.02166666666666,105.0205,104.99549999999999,5161,2021-02-15 00:00:00
225,USDJPY_i,105.017,105.041,104.972,105.092,105.032,105.03500000000001,105.0365,105.0305,3438,2021-02-15 04:00:00
226,USDJPY_i,105.041,105.372,105.039,105.388,105.21350000000001,105.26633333333335,105.29275000000001,105.21000000000001,5655,2021-02-15 08:00:00
227,USDJPY_i,105.372,105.383,105.257,105.41,105.3335,105.35000000000001,105.35825,105.3555,3826,2021-02-15 12:00:00
228,USDJPY_i,105.382,105.291,105.289,105.395,105.342,105.325,105.3165,105.33925,3441,2021-02-15 16:00:00
229,USDJPY_i,105.291,105.363,105.291,105.364,105.3275,105.33933333333334,105.34525000000001,105.32725,5240,2021-02-15 20:00:00
230,USDJPY_i,105.362,105.498,105.256,105.558,105.40700000000001,105.43733333333334,105.4525,105.4185,8479,2021-02-16 00:00:00
231,USDJPY_i,105.498,105.45,105.41,105.626,105.518,105.49533333333333,105.484,105.496,6312,2021-02-16 04:00:00
232,USDJPY_i,105.449,105.309,105.264,105.559,105.41149999999999,105.37733333333331,105.36024999999998,105.39524999999999,8457,2021-02-16 08:00:00
233,USDJPY_i,105.309,105.72,105.173,105.731,105.452,105.54133333333334,105.58600000000001,105.48325,11084,2021-02-16 12:00:00
234,USDJPY_i,105.72,105.88,105.644,105.96,105.80199999999999,105.82799999999999,105.841,105.80099999999999,14408,2021-02-16 16:00:00
235,USDJPY_i,105.88,106.033,105.84,106.068,105.95400000000001,105.98033333333335,105.99350000000001,105.95525,4836,2021-02-16 20:00:00
236,USDJPY_i,106.029,106.025,105.982,106.217,106.0995,106.07466666666669,106.06225,106.06325000000001,12196,2021-02-17 00:00:00
237,USDJPY_i,106.027,105.865,105.83,106.031,105.9305,105.90866666666666,105.89775,105.93825,8066,2021-02-17 04:00:00
238,USDJPY_i,105.864,105.953,105.856,106.083,105.9695,105.964,105.96125,105.939,10205,2021-02-17 08:00:00
239,USDJPY_i,105.952,106.134,105.936,106.206,106.071,106.092,106.1025,106.057,11013,2021-02-17 12:00:00
240,USDJPY_i,106.133,105.784,105.772,106.166,105.969,105.90733333333333,105.8765,105.96374999999999,14172,2021-02-17 16:00:00
241,USDJPY_i,105.784,105.856,105.777,105.921,105.849,105.85133333333333,105.85249999999999,105.83449999999999,5505,2021-02-17 20:00:00
242,USDJPY_i,105.858,105.758,105.69,105.905,105.7975,105.78433333333334,105.77775,105.80275,9580,2021-02-18 00:00:00
243,USDJPY_i,105.758,105.863,105.758,105.902,105.83,105.84100000000001,105.8465,105.82025,5160,2021-02-18 04:00:00
244,USDJPY_i,105.86,105.692,105.682,105.917,105.7995,105.76366666666667,105.74575,105.78775,8983,2021-02-18 08:00:00
245,USDJPY_i,105.695,105.618,105.593,105.77,105.6815,105.66033333333333,105.64975,105.669,8816,2021-02-18 12:00:00
246,USDJPY_i,105.62,105.644,105.605,105.871,105.738,105.70666666666666,105.691,105.685,11285,2021-02-18 16:00:00
247,USDJPY_i,105.644,105.697,105.623,105.697,105.66,105.67233333333333,105.6785,105.66525,4196,2021-02-18 20:00:00
248,USDJPY_i,105.697,105.692,105.641,105.736,105.6885,105.68966666666667,105.69025,105.6915,6114,2021-02-19 00:00:00
249,USDJPY_i,105.692,105.576,105.55,105.725,105.63749999999999,105.617,105.60675,105.63575,5808,2021-02-19 04:00:00
