,USDDKK_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1685,USDDKK_i,6.55605,6.55562,6.55201,6.56702,6.559515,6.558216666666667,6.5575675,6.557675,5744,2022-01-20 12:00:00
1686,USDDKK_i,6.5557,6.5702300000000005,6.55215,6.57055,6.56135,6.56431,6.56579,6.5621575,7296,2022-01-20 16:00:00
1687,USDDKK_i,6.57004,6.58187,6.56887,6.58472,6.576795000000001,6.5784866666666675,6.579332500000001,6.5763750000000005,2750,2022-01-20 20:00:00
1688,USDDKK_i,6.58187,6.57516,6.57466,6.58462,6.5796399999999995,6.578146666666666,6.5774,6.5790775,2081,2022-01-21 00:00:00
1689,USDDKK_i,6.5751,6.57133,6.56477,6.57625,6.5705100000000005,6.570783333333334,6.57092,6.5718625,2032,2022-01-21 04:00:00
1690,USDDKK_i,6.57136,6.56198,6.5594,6.57238,6.56589,6.564586666666666,6.563934999999999,6.566279999999999,5107,2022-01-21 08:00:00
1691,USDDKK_i,6.5619499999999995,6.55629,6.55606,6.57089,6.563475,6.5610800000000005,6.5598825000000005,6.5612975,5751,2022-01-21 12:00:00
1692,USDDKK_i,6.55629,6.55959,6.55144,6.56498,6.558210000000001,6.55867,6.5589,6.5580750000000005,7618,2022-01-21 16:00:00
1693,USDDKK_i,6.55948,6.56137,6.55746,6.56387,6.560665,6.5609,6.5610175,6.560545,2423,2022-01-21 20:00:00
1694,USDDKK_i,6.5579,6.56478,6.55676,6.56746,6.56211,6.563,6.563445,6.561725,1704,2022-01-24 00:00:00
1695,USDDKK_i,6.56469,6.57603,6.56429,6.57641,6.5703499999999995,6.572243333333333,6.573189999999999,6.570354999999999,1995,2022-01-24 04:00:00
1696,USDDKK_i,6.57548,6.57095,6.56504,6.57844,6.57174,6.571476666666666,6.571345,6.5724775,5711,2022-01-24 08:00:00
1697,USDDKK_i,6.57095,6.58845,6.56935,6.58897,6.57916,6.582256666666666,6.583805,6.5794299999999994,7151,2022-01-24 12:00:00
1698,USDDKK_i,6.58851,6.57038,6.5697600000000005,6.59226,6.58101,6.577466666666666,6.575695,6.5802274999999995,8421,2022-01-24 16:00:00
1699,USDDKK_i,6.57025,6.57252,6.56606,6.5761,6.57108,6.571560000000001,6.5718000000000005,6.571232500000001,3692,2022-01-24 20:00:00
1700,USDDKK_i,6.57252,6.57686,6.5671800000000005,6.57704,6.57211,6.573693333333334,6.574485,6.5734,1543,2022-01-25 00:00:00
1701,USDDKK_i,6.57681,6.58049,6.57469,6.58177,6.57823,6.578983333333333,6.57936,6.5784400000000005,1785,2022-01-25 04:00:00
