,GBPCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
744,GBPCHF_i,1.26572,1.2649599999999999,1.2641499999999999,1.26671,1.2654299999999998,1.2652733333333332,1.2651949999999998,1.2653849999999998,13537,2021-06-15 16:00:00
745,GBPCHF_i,1.2649599999999999,1.26485,1.26413,1.26518,1.2646549999999999,1.2647199999999998,1.2647525,1.26478,4927,2021-06-15 20:00:00
746,GBPCHF_i,1.26417,1.26483,1.2631999999999999,1.26532,1.26426,1.2644499999999999,1.264545,1.26438,1782,2021-06-16 00:00:00
747,GBPCHF_i,1.26482,1.26571,1.26472,1.2658,1.26526,1.26541,1.265485,1.2652625,2480,2021-06-16 04:00:00
748,GBPCHF_i,1.26562,1.26641,1.2652999999999999,1.26847,1.2668849999999998,1.2667266666666666,1.2666475,1.2664499999999999,8205,2021-06-16 08:00:00
749,GBPCHF_i,1.2664,1.26902,1.26603,1.2697,1.267865,1.26825,1.2684425000000001,1.2677875,8022,2021-06-16 12:00:00
750,GBPCHF_i,1.2690299999999999,1.26721,1.26702,1.2699500000000001,1.268485,1.26806,1.2678475,1.2683024999999999,9974,2021-06-16 16:00:00
751,GBPCHF_i,1.26721,1.27035,1.26696,1.27106,1.2690100000000002,1.269456666666667,1.2696800000000001,1.268895,26766,2021-06-16 20:00:00
752,GBPCHF_i,1.27116,1.27009,1.26955,1.27128,1.2704149999999998,1.2703066666666665,1.2702524999999998,1.2705199999999999,5291,2021-06-17 00:00:00
753,GBPCHF_i,1.27007,1.27122,1.2692,1.2713700000000001,1.270285,1.2705966666666668,1.2707525,1.2704650000000002,5565,2021-06-17 04:00:00
754,GBPCHF_i,1.27123,1.2766199999999999,1.27099,1.2776100000000001,1.2743000000000002,1.2750733333333335,1.27546,1.2741125000000002,15634,2021-06-17 08:00:00
755,GBPCHF_i,1.2766199999999999,1.27411,1.2735699999999999,1.27835,1.27596,1.2753433333333335,1.2750350000000001,1.2756625000000001,15524,2021-06-17 12:00:00
756,GBPCHF_i,1.27411,1.27622,1.27351,1.27821,1.27586,1.27598,1.27604,1.2755125,19265,2021-06-17 16:00:00
757,GBPCHF_i,1.27621,1.27772,1.27545,1.2782499999999999,1.27685,1.27714,1.277285,1.2769075,9528,2021-06-17 20:00:00
758,GBPCHF_i,1.27657,1.27918,1.27563,1.27957,1.2776,1.2781266666666669,1.2783900000000001,1.2777375000000002,3526,2021-06-18 00:00:00
759,GBPCHF_i,1.27918,1.27618,1.27615,1.27922,1.277685,1.2771833333333333,1.2769325,1.2776825,4624,2021-06-18 04:00:00
760,GBPCHF_i,1.27617,1.27463,1.27129,1.27679,1.27404,1.2742366666666667,1.274335,1.2747199999999999,14396,2021-06-18 08:00:00
761,GBPCHF_i,1.27458,1.27407,1.27371,1.27769,1.2757,1.2751566666666667,1.274885,1.2750125,15827,2021-06-18 12:00:00
762,GBPCHF_i,1.27407,1.27317,1.27206,1.27743,1.274745,1.27422,1.2739574999999999,1.2741825,22497,2021-06-18 16:00:00
763,GBPCHF_i,1.27315,1.27356,1.2726899999999999,1.2742499999999999,1.2734699999999999,1.2735,1.273515,1.2734125,7467,2021-06-18 20:00:00
764,GBPCHF_i,1.27288,1.27459,1.27077,1.2763900000000001,1.27358,1.2739166666666666,1.274085,1.2736574999999999,4226,2021-06-21 00:00:00
765,GBPCHF_i,1.27459,1.27313,1.27177,1.27472,1.2732450000000002,1.2732066666666668,1.2731875000000001,1.2735525,9324,2021-06-21 04:00:00
766,GBPCHF_i,1.27313,1.27436,1.2720500000000001,1.2752,1.273625,1.2738699999999998,1.2739924999999999,1.273685,14836,2021-06-21 08:00:00
767,GBPCHF_i,1.27438,1.27744,1.27398,1.27919,1.2765849999999999,1.27687,1.2770124999999999,1.2762475,13195,2021-06-21 12:00:00
768,GBPCHF_i,1.27744,1.2783,1.27602,1.27959,1.2778049999999999,1.2779699999999998,1.2780524999999998,1.2778375,16763,2021-06-21 16:00:00
769,GBPCHF_i,1.27829,1.27864,1.27786,1.27925,1.2785549999999999,1.2785833333333334,1.2785975,1.27851,7648,2021-06-21 20:00:00
