,SPX500_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
98,SPX500_i,3800.9,3791.5,3790.2,3809.3,3799.75,3797.0,3795.625,3797.975,3599,2021-01-11 12:00:00
99,SPX500_i,3791.5,3815.4,3785.0,3818.7,3801.85,3806.366666666667,3808.625,3802.65,6504,2021-01-11 16:00:00
100,SPX500_i,3815.5,3800.8,3794.2,3817.8,3806.0,3804.2666666666664,3803.3999999999996,3807.075,4762,2021-01-11 20:00:00
101,SPX500_i,3804.5,3805.9,3797.4,3813.2,3805.3,3805.5,3805.6,3805.25,2592,2021-01-12 00:00:00
102,SPX500_i,3806.2,3804.7,3796.2,3808.3,3802.25,3803.066666666667,3803.4750000000004,3803.8500000000004,3011,2021-01-12 04:00:00
103,SPX500_i,3804.5,3811.3,3802.2,3815.2,3808.7,3809.566666666667,3810.0,3808.3,3432,2021-01-12 08:00:00
104,SPX500_i,3811.4,3799.2,3794.9,3812.9,3803.9,3802.3333333333335,3801.55,3804.6,2787,2021-01-12 12:00:00
105,SPX500_i,3799.0,3793.0,3776.4,3811.4,3793.9,3793.6,3793.45,3794.95,6561,2021-01-12 16:00:00
106,SPX500_i,3793.2,3801.7,3790.8,3807.8,3799.3,3800.1,3800.5,3798.375,4286,2021-01-12 20:00:00
107,SPX500_i,3804.5,3807.8,3801.8,3808.0,3804.9,3805.866666666667,3806.3500000000004,3805.525,1656,2021-01-13 00:00:00
108,SPX500_i,3808.0,3807.5,3805.8,3813.5,3809.65,3808.933333333333,3808.575,3808.7,1826,2021-01-13 04:00:00
109,SPX500_i,3807.2,3808.3,3805.2,3810.7,3807.95,3808.066666666667,3808.125,3807.8500000000004,2441,2021-01-13 08:00:00
110,SPX500_i,3808.3,3796.0,3785.3,3808.9,3797.1000000000004,3796.7333333333336,3796.55,3799.625,3886,2021-01-13 12:00:00
111,SPX500_i,3796.2,3814.5,3791.4,3816.8,3804.1000000000004,3807.566666666667,3809.3,3804.7250000000004,4790,2021-01-13 16:00:00
112,SPX500_i,3814.5,3811.2,3809.4,3822.0,3815.7,3814.1999999999994,3813.45,3814.2749999999996,3217,2021-01-13 20:00:00
113,SPX500_i,3816.4,3823.8,3813.6,3824.1,3818.85,3820.5,3821.325,3819.475,1481,2021-01-14 00:00:00
