,CADJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
233,CADJPY_i,83.279,83.35,83.238,83.506,83.372,83.36466666666666,83.36099999999999,83.34325,10295,2021-02-16 12:00:00
234,CADJPY_i,83.349,83.391,83.26,83.469,83.36449999999999,83.37333333333333,83.37775,83.36725,17036,2021-02-16 16:00:00
235,CADJPY_i,83.391,83.535,83.382,83.558,83.47,83.49166666666666,83.5025,83.4665,6123,2021-02-16 20:00:00
236,CADJPY_i,83.551,83.43,83.412,83.604,83.50800000000001,83.48200000000001,83.46900000000001,83.49925,9281,2021-02-17 00:00:00
237,CADJPY_i,83.43,83.402,83.36,83.474,83.417,83.41199999999999,83.4095,83.4165,6181,2021-02-17 04:00:00
238,CADJPY_i,83.402,83.39,83.329,83.468,83.3985,83.39566666666667,83.39425,83.39725,9927,2021-02-17 08:00:00
239,CADJPY_i,83.389,83.436,83.374,83.597,83.4855,83.46900000000001,83.46075,83.449,11092,2021-02-17 12:00:00
240,CADJPY_i,83.436,83.235,83.015,83.456,83.2355,83.23533333333334,83.23525000000001,83.28550000000001,19465,2021-02-17 16:00:00
241,CADJPY_i,83.235,83.301,83.228,83.4,83.314,83.30966666666666,83.30749999999999,83.291,7071,2021-02-17 20:00:00
242,CADJPY_i,83.305,83.253,83.216,83.4,83.30799999999999,83.28966666666666,83.28049999999999,83.2935,7889,2021-02-18 00:00:00
243,CADJPY_i,83.253,83.338,83.238,83.381,83.3095,83.319,83.32374999999999,83.3025,4230,2021-02-18 04:00:00
244,CADJPY_i,83.337,83.311,83.188,83.375,83.2815,83.29133333333333,83.29625,83.30275,8471,2021-02-18 08:00:00
245,CADJPY_i,83.31,83.26,83.213,83.404,83.3085,83.29233333333333,83.28425,83.29675,9412,2021-02-18 12:00:00
246,CADJPY_i,83.259,83.176,83.093,83.363,83.22800000000001,83.21066666666667,83.202,83.22275,15188,2021-02-18 16:00:00
247,CADJPY_i,83.176,83.361,83.144,83.375,83.2595,83.29333333333334,83.31025,83.264,5986,2021-02-18 20:00:00
248,CADJPY_i,83.338,83.218,83.178,83.382,83.28,83.25933333333334,83.24900000000001,83.279,5928,2021-02-19 00:00:00
249,CADJPY_i,83.217,83.148,83.089,83.222,83.15549999999999,83.15299999999999,83.15174999999999,83.169,4878,2021-02-19 04:00:00
250,CADJPY_i,83.147,83.259,83.084,83.313,83.1985,83.21866666666666,83.22875,83.20075,10283,2021-02-19 08:00:00
251,CADJPY_i,83.259,83.602,83.251,83.638,83.4445,83.497,83.52325,83.4375,10484,2021-02-19 12:00:00
252,CADJPY_i,83.602,83.605,83.505,83.845,83.675,83.65166666666666,83.64,83.63925,14789,2021-02-19 16:00:00
253,CADJPY_i,83.605,83.535,83.508,83.671,83.5895,83.57133333333333,83.56225,83.57975,6185,2021-02-19 20:00:00
254,CADJPY_i,83.498,83.832,83.48,83.85,83.66499999999999,83.72066666666666,83.74849999999999,83.66499999999999,6981,2021-02-22 00:00:00
255,CADJPY_i,83.828,83.821,83.694,83.926,83.81,83.81366666666666,83.8155,83.81725,6658,2021-02-22 04:00:00
256,CADJPY_i,83.821,83.595,83.555,83.825,83.69,83.65833333333333,83.6425,83.699,10683,2021-02-22 08:00:00
257,CADJPY_i,83.595,83.433,83.4,83.658,83.529,83.497,83.481,83.5215,9103,2021-02-22 12:00:00
258,CADJPY_i,83.433,83.382,83.137,83.439,83.288,83.31933333333333,83.33500000000001,83.34775,15518,2021-02-22 16:00:00
259,CADJPY_i,83.382,83.268,83.241,83.394,83.3175,83.301,83.29275,83.32124999999999,6159,2021-02-22 20:00:00
260,CADJPY_i,83.283,83.363,83.183,83.383,83.283,83.30966666666667,83.32300000000001,83.303,6300,2021-02-23 00:00:00
261,CADJPY_i,83.365,83.433,83.329,83.442,83.3855,83.40133333333334,83.40925,83.39225,4659,2021-02-23 04:00:00
262,CADJPY_i,83.433,83.426,83.367,83.51,83.4385,83.43433333333333,83.43225,83.434,10302,2021-02-23 08:00:00
263,CADJPY_i,83.426,83.555,83.348,83.555,83.45150000000001,83.486,83.50325000000001,83.471,9657,2021-02-23 12:00:00
264,CADJPY_i,83.554,83.431,83.18,83.571,83.3755,83.394,83.40325,83.434,18775,2021-02-23 16:00:00
265,CADJPY_i,83.43,83.595,83.409,83.686,83.54750000000001,83.56333333333335,83.57125,83.53,7033,2021-02-23 20:00:00
