,EURNZD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
644,EURNZD_i,1.69448,1.6998,1.69448,1.70021,1.6973449999999999,1.6981633333333332,1.6985724999999998,1.6972424999999998,6491,2021-05-24 00:00:00
645,EURNZD_i,1.6998,1.69902,1.69858,1.70042,1.6995,1.69934,1.69926,1.699455,11596,2021-05-24 04:00:00
646,EURNZD_i,1.69903,1.70073,1.69673,1.70204,1.699385,1.6998333333333333,1.7000575,1.6996324999999999,15380,2021-05-24 08:00:00
647,EURNZD_i,1.70077,1.6960899999999999,1.69566,1.70262,1.6991399999999999,1.6981233333333332,1.6976149999999999,1.698785,16343,2021-05-24 12:00:00
648,EURNZD_i,1.6960199999999999,1.69394,1.69352,1.69638,1.69495,1.6946133333333335,1.694445,1.694965,18891,2021-05-24 16:00:00
649,EURNZD_i,1.69394,1.6922700000000002,1.6916600000000002,1.69406,1.69286,1.6926633333333332,1.692565,1.6929824999999998,8377,2021-05-24 20:00:00
650,EURNZD_i,1.6935099999999998,1.69223,1.6892399999999999,1.6938499999999999,1.6915449999999999,1.6917733333333331,1.6918875,1.6922074999999999,7121,2021-05-25 00:00:00
651,EURNZD_i,1.69223,1.69154,1.69123,1.69442,1.692825,1.6923966666666665,1.6921825,1.692355,14372,2021-05-25 04:00:00
652,EURNZD_i,1.69157,1.69474,1.6902,1.69668,1.6934399999999998,1.6938733333333331,1.6940899999999997,1.6932975,19174,2021-05-25 08:00:00
653,EURNZD_i,1.6947100000000002,1.69305,1.69129,1.69587,1.6935799999999999,1.6934033333333331,1.6933149999999997,1.69373,16858,2021-05-25 12:00:00
654,EURNZD_i,1.69305,1.69454,1.6904400000000002,1.6963300000000001,1.6933850000000001,1.69377,1.6939625,1.69359,22018,2021-05-25 16:00:00
655,EURNZD_i,1.69455,1.69459,1.6923599999999999,1.6954799999999999,1.6939199999999999,1.6941433333333331,1.6942549999999998,1.694245,9715,2021-05-25 20:00:00
656,EURNZD_i,1.69329,1.6944599999999999,1.69191,1.69605,1.69398,1.69414,1.69422,1.6939275,6545,2021-05-26 00:00:00
657,EURNZD_i,1.69442,1.6777,1.6758899999999999,1.69467,1.68528,1.6827533333333333,1.68149,1.68567,16218,2021-05-26 04:00:00
658,EURNZD_i,1.6776499999999999,1.67733,1.6737199999999999,1.67801,1.675865,1.6763533333333331,1.6765974999999997,1.6766774999999998,16916,2021-05-26 08:00:00
