,NIKK225_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
652,NIKK225_i,28140.0,27930.0,27898.0,28170.0,28034.0,27999.333333333332,27982.0,28034.5,3509,2021-05-20 08:00:00
653,NIKK225_i,27928.0,28065.0,27860.0,28070.0,27965.0,27998.333333333332,28015.0,27980.75,3033,2021-05-20 12:00:00
654,NIKK225_i,28066.0,28205.0,28035.0,28315.0,28175.0,28185.0,28190.0,28155.25,3871,2021-05-20 16:00:00
655,NIKK225_i,28205.0,28225.0,28151.0,28265.0,28208.0,28213.666666666668,28216.5,28211.5,2431,2021-05-20 20:00:00
656,NIKK225_i,28230.0,28373.0,28215.0,28410.0,28312.5,28332.666666666668,28342.75,28307.0,3046,2021-05-21 00:00:00
657,NIKK225_i,28370.0,28301.0,28175.0,28395.0,28285.0,28290.333333333332,28293.0,28310.25,3996,2021-05-21 04:00:00
658,NIKK225_i,28301.0,28300.0,28245.0,28375.0,28310.0,28306.666666666668,28305.0,28305.25,2968,2021-05-21 08:00:00
659,NIKK225_i,28300.0,28390.0,28300.0,28430.0,28365.0,28373.333333333332,28377.5,28355.0,2268,2021-05-21 12:00:00
660,NIKK225_i,28390.0,28305.0,28270.0,28470.0,28370.0,28348.333333333332,28337.5,28358.75,3439,2021-05-21 16:00:00
661,NIKK225_i,28305.0,28375.0,28292.0,28430.0,28361.0,28365.666666666668,28368.0,28350.5,1962,2021-05-21 20:00:00
662,NIKK225_i,28310.0,28478.0,28199.0,28585.0,28392.0,28420.666666666668,28435.0,28393.0,3580,2021-05-24 00:00:00
663,NIKK225_i,28485.0,28380.0,28319.0,28519.0,28419.0,28406.0,28399.5,28425.75,3750,2021-05-24 04:00:00
664,NIKK225_i,28377.0,28351.0,28325.0,28409.0,28367.0,28361.666666666668,28359.0,28365.5,2249,2021-05-24 08:00:00
665,NIKK225_i,28355.0,28410.0,28349.0,28419.0,28384.0,28392.666666666668,28397.0,28383.25,1266,2021-05-24 12:00:00
666,NIKK225_i,28410.0,28475.0,28395.0,28505.0,28450.0,28458.333333333332,28462.5,28446.25,2053,2021-05-24 16:00:00
667,NIKK225_i,28475.0,28490.0,28455.0,28530.0,28492.5,28491.666666666668,28491.25,28487.5,1086,2021-05-24 20:00:00
668,NIKK225_i,28500.0,28505.0,28436.0,28617.0,28526.5,28519.333333333332,28515.75,28514.5,2631,2021-05-25 00:00:00
669,NIKK225_i,28505.0,28490.0,28481.0,28572.0,28526.5,28514.333333333332,28508.25,28512.0,2095,2021-05-25 04:00:00
670,NIKK225_i,28490.0,28565.0,28488.0,28605.0,28546.5,28552.666666666668,28555.75,28537.0,1965,2021-05-25 08:00:00
671,NIKK225_i,28565.0,28585.0,28555.0,28600.0,28577.5,28580.0,28581.25,28576.25,1274,2021-05-25 12:00:00
