,NZDJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1621,NZDJPY_i,79.206,78.86,78.827,79.229,79.02799999999999,78.972,78.944,79.0305,10916,2022-01-05 20:00:00
1622,NZDJPY_i,78.86,78.73,78.626,78.909,78.76750000000001,78.75500000000001,78.74875000000002,78.78125000000001,5389,2022-01-06 00:00:00
1623,NZDJPY_i,78.73,78.243,78.194,78.731,78.4625,78.38933333333334,78.35275,78.4745,6486,2022-01-06 04:00:00
1624,NZDJPY_i,78.239,78.077,77.908,78.246,78.077,78.077,78.077,78.1175,9193,2022-01-06 08:00:00
1625,NZDJPY_i,78.077,78.078,78.063,78.417,78.24000000000001,78.186,78.159,78.15875,9650,2022-01-06 12:00:00
1626,NZDJPY_i,78.078,78.158,77.903,78.349,78.126,78.13666666666667,78.14200000000001,78.12200000000001,14385,2022-01-06 16:00:00
1627,NZDJPY_i,78.158,78.128,77.963,78.209,78.086,78.10000000000001,78.107,78.1145,5642,2022-01-06 20:00:00
1628,NZDJPY_i,78.097,78.26,78.036,78.278,78.15700000000001,78.19133333333333,78.2085,78.16775,4622,2022-01-07 00:00:00
1629,NZDJPY_i,78.259,78.278,78.147,78.285,78.21600000000001,78.23666666666668,78.24700000000001,78.24225000000001,3880,2022-01-07 04:00:00
1630,NZDJPY_i,78.276,78.199,78.082,78.295,78.1885,78.19200000000001,78.19375000000001,78.21300000000001,6851,2022-01-07 08:00:00
1631,NZDJPY_i,78.199,78.093,78.043,78.324,78.18350000000001,78.15333333333335,78.13825000000001,78.16475000000001,8921,2022-01-07 12:00:00
1632,NZDJPY_i,78.093,78.292,78.039,78.352,78.19550000000001,78.22766666666668,78.24375,78.194,13890,2022-01-07 16:00:00
1633,NZDJPY_i,78.292,78.275,78.246,78.351,78.29849999999999,78.29066666666667,78.28675,78.291,4515,2022-01-07 20:00:00
1634,NZDJPY_i,78.261,78.359,78.093,78.394,78.24350000000001,78.282,78.30125,78.27674999999999,5330,2022-01-10 00:00:00
1635,NZDJPY_i,78.359,78.395,78.359,78.452,78.40549999999999,78.40199999999999,78.40024999999999,78.39124999999999,4817,2022-01-10 04:00:00
1636,NZDJPY_i,78.395,78.299,78.18,78.514,78.34700000000001,78.331,78.32300000000001,78.34700000000001,7907,2022-01-10 08:00:00
1637,NZDJPY_i,78.298,77.839,77.818,78.36,78.089,78.00566666666667,77.964,78.07875,10701,2022-01-10 12:00:00
1638,NZDJPY_i,77.84,77.661,77.569,77.865,77.717,77.69833333333334,77.689,77.73375,15230,2022-01-10 16:00:00
1639,NZDJPY_i,77.67,77.873,77.653,77.951,77.80199999999999,77.82566666666666,77.83749999999999,77.78675,7618,2022-01-10 20:00:00
1640,NZDJPY_i,77.809,77.952,77.758,78.093,77.9255,77.93433333333333,77.93875,77.90299999999999,6396,2022-01-11 00:00:00
1641,NZDJPY_i,77.952,78.037,77.944,78.151,78.0475,78.044,78.04225,78.021,5597,2022-01-11 04:00:00
1642,NZDJPY_i,78.037,78.156,77.824,78.205,78.0145,78.06166666666667,78.08525,78.0555,9190,2022-01-11 08:00:00
1643,NZDJPY_i,78.156,78.036,77.988,78.188,78.088,78.07066666666667,78.062,78.092,7194,2022-01-11 12:00:00
1644,NZDJPY_i,78.036,78.184,77.894,78.231,78.0625,78.103,78.12325,78.08625,14248,2022-01-11 16:00:00
1645,NZDJPY_i,78.184,78.196,78.059,78.337,78.19800000000001,78.19733333333333,78.197,78.194,5362,2022-01-11 20:00:00
1646,NZDJPY_i,78.184,78.194,78.13,78.316,78.223,78.21333333333332,78.2085,78.20599999999999,5441,2022-01-12 00:00:00
1647,NZDJPY_i,78.194,78.358,78.18,78.364,78.272,78.30066666666667,78.315,78.274,4051,2022-01-12 04:00:00
