,STOXX50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1889,STOXX50_i,3454.4,3551.4,3439.1,3562.1,3500.6,3517.5333333333333,3526.0,3501.75,13756,2022-03-07 12:00:00
1890,STOXX50_i,3552.2,3472.6,3455.3,3597.3,3526.3,3508.4,3499.4500000000003,3519.3500000000004,14740,2022-03-07 16:00:00
1891,STOXX50_i,3472.7,3458.0,3431.2,3488.3,3459.75,3459.1666666666665,3458.875,3462.55,9128,2022-03-07 20:00:00
1892,STOXX50_i,3443.5,3484.2,3442.1,3492.3,3467.2,3472.8666666666663,3475.7,3465.5249999999996,2682,2022-03-08 00:00:00
1893,STOXX50_i,3484.2,3433.6,3433.2,3487.6,3460.3999999999996,3451.4666666666667,3447.0,3459.6499999999996,5182,2022-03-08 04:00:00
1894,STOXX50_i,3434.0,3563.4,3407.0,3611.3,3509.15,3527.2333333333336,3536.275,3503.925,13918,2022-03-08 08:00:00
1895,STOXX50_i,3563.3,3541.9,3505.7,3580.0,3542.85,3542.5333333333333,3542.375,3547.7250000000004,11907,2022-03-08 12:00:00
1896,STOXX50_i,3541.7,3627.7,3480.2,3654.9,3567.55,3587.6,3597.625,3576.125,16705,2022-03-08 16:00:00
1897,STOXX50_i,3627.7,3558.5,3555.9,3645.9,3600.9,3586.7666666666664,3579.7,3597.0,11678,2022-03-08 20:00:00
1898,STOXX50_i,3552.5,3567.1,3552.5,3594.8,3573.65,3571.4666666666667,3570.375,3566.725,2886,2022-03-09 00:00:00
1899,STOXX50_i,3567.6,3570.6,3547.4,3613.8,3580.6000000000004,3577.266666666667,3575.6000000000004,3574.8500000000004,4817,2022-03-09 04:00:00
1900,STOXX50_i,3570.6,3674.3,3561.7,3686.0,3623.85,3640.6666666666665,3649.075,3623.15,12281,2022-03-09 08:00:00
1901,STOXX50_i,3674.4,3669.3,3650.2,3697.3,3673.75,3672.2666666666664,3671.5249999999996,3672.7999999999997,9442,2022-03-09 12:00:00
1902,STOXX50_i,3668.8,3804.9,3663.0,3807.4,3735.2,3758.433333333333,3770.0499999999997,3736.0249999999996,14377,2022-03-09 16:00:00
1903,STOXX50_i,3804.5,3761.5,3748.8,3804.6,3776.7,3771.633333333333,3769.1,3779.85,7184,2022-03-09 20:00:00
1904,STOXX50_i,3756.3,3745.8,3740.6,3763.8,3752.2,3750.066666666667,3749.0,3751.625,2531,2022-03-10 00:00:00
