,USDRUR_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
627,USDRUR_i,73.887,74.046,73.724,74.1,73.912,73.95666666666666,73.979,73.93925,6160,2021-05-11 12:00:00
628,USDRUR_i,74.052,73.957,73.903,74.22,74.0615,74.02666666666666,74.00925,74.033,9384,2021-05-11 16:00:00
629,USDRUR_i,73.958,74.092,73.871,74.092,73.9815,74.01833333333333,74.03675,74.00325000000001,9220,2021-05-11 20:00:00
630,USDRUR_i,74.102,74.136,74.022,74.149,74.0855,74.10233333333333,74.11075,74.10225,321,2021-05-12 00:00:00
631,USDRUR_i,74.137,74.139,74.09,74.335,74.2125,74.188,74.17575000000001,74.17525,1933,2021-05-12 04:00:00
632,USDRUR_i,74.137,74.002,73.828,74.161,73.9945,73.997,73.99825,74.032,6852,2021-05-12 08:00:00
633,USDRUR_i,74.001,74.154,73.964,74.455,74.20949999999999,74.19099999999999,74.18175,74.14349999999999,5679,2021-05-12 12:00:00
634,USDRUR_i,74.153,74.526,74.063,74.549,74.30600000000001,74.37933333333335,74.41600000000001,74.32275000000001,9173,2021-05-12 16:00:00
635,USDRUR_i,74.526,74.622,74.413,74.622,74.5175,74.55233333333332,74.56975,74.54575,9084,2021-05-12 20:00:00
636,USDRUR_i,74.551,74.449,74.449,74.638,74.5435,74.512,74.49625,74.52175,490,2021-05-13 00:00:00
637,USDRUR_i,74.449,74.395,74.289,74.55,74.4195,74.41133333333333,74.40724999999999,74.42075,2867,2021-05-13 04:00:00
638,USDRUR_i,74.396,74.335,74.165,74.595,74.38,74.365,74.35749999999999,74.37275,6302,2021-05-13 08:00:00
639,USDRUR_i,74.335,74.058,74.04,74.455,74.2475,74.18433333333333,74.15275,74.222,5753,2021-05-13 12:00:00
640,USDRUR_i,74.053,73.879,73.712,74.109,73.9105,73.89999999999999,73.89475,73.93825,9008,2021-05-13 16:00:00
641,USDRUR_i,73.88,73.987,73.858,74.075,73.9665,73.97333333333333,73.97675,73.94999999999999,8739,2021-05-13 20:00:00
642,USDRUR_i,73.986,73.929,73.915,74.02,73.9675,73.95466666666667,73.94825,73.9625,340,2021-05-14 00:00:00
643,USDRUR_i,73.928,73.948,73.916,74.039,73.97749999999999,73.96766666666666,73.96274999999999,73.95774999999999,1841,2021-05-14 04:00:00
644,USDRUR_i,73.947,73.84,73.735,73.975,73.85499999999999,73.85,73.8475,73.87424999999999,6139,2021-05-14 08:00:00
645,USDRUR_i,73.844,73.752,73.745,73.974,73.8595,73.82366666666667,73.80575,73.82875,5007,2021-05-14 12:00:00
646,USDRUR_i,73.751,73.894,73.625,73.995,73.81,73.83800000000001,73.852,73.81625,7866,2021-05-14 16:00:00
647,USDRUR_i,73.895,73.9,73.836,73.939,73.88749999999999,73.89166666666667,73.89375,73.8925,5692,2021-05-14 20:00:00
648,USDRUR_i,73.881,73.893,73.881,73.908,73.8945,73.89399999999999,73.89375,73.89075,9,2021-05-17 00:00:00
649,USDRUR_i,73.949,73.945,73.888,73.984,73.936,73.93900000000001,73.9405,73.9415,1637,2021-05-17 04:00:00
650,USDRUR_i,73.946,73.735,73.617,73.977,73.797,73.77633333333334,73.766,73.81875,5366,2021-05-17 08:00:00
651,USDRUR_i,73.736,73.985,73.735,74.029,73.882,73.91633333333334,73.93350000000001,73.87125,4102,2021-05-17 12:00:00
652,USDRUR_i,73.995,73.793,73.771,73.996,73.8835,73.85333333333334,73.83825,73.88875,6522,2021-05-17 16:00:00
653,USDRUR_i,73.795,73.794,73.698,73.86,73.779,73.78399999999999,73.78649999999999,73.78675,5773,2021-05-17 20:00:00
654,USDRUR_i,73.797,73.701,73.693,73.945,73.81899999999999,73.77966666666666,73.75999999999999,73.78399999999999,231,2021-05-18 00:00:00
655,USDRUR_i,73.701,73.653,73.621,73.804,73.7125,73.69266666666668,73.68275000000001,73.69475,2130,2021-05-18 04:00:00
656,USDRUR_i,73.643,73.609,73.5,73.735,73.6175,73.61466666666666,73.61325,73.62174999999999,4875,2021-05-18 08:00:00
657,USDRUR_i,73.608,73.634,73.545,73.726,73.63550000000001,73.635,73.63475000000001,73.62825000000001,3681,2021-05-18 12:00:00
658,USDRUR_i,73.63,73.796,73.597,73.884,73.7405,73.759,73.76825,73.72675,6189,2021-05-18 16:00:00
659,USDRUR_i,73.793,73.551,73.444,73.8,73.622,73.59833333333334,73.5865,73.647,7728,2021-05-18 20:00:00
660,USDRUR_i,73.551,73.611,73.551,73.642,73.59649999999999,73.60133333333333,73.60374999999999,73.58874999999999,1202,2021-05-19 00:00:00
661,USDRUR_i,73.61,73.682,73.548,73.713,73.6305,73.64766666666667,73.65625,73.63825,2770,2021-05-19 04:00:00
662,USDRUR_i,73.684,73.666,73.44,73.836,73.638,73.64733333333334,73.652,73.6565,4780,2021-05-19 08:00:00
663,USDRUR_i,73.667,73.641,73.565,73.719,73.642,73.64166666666667,73.64150000000001,73.648,3819,2021-05-19 12:00:00
