,ASX200_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1169,ASX200_i,7442.6,7418.8,7405.7,7444.6,7425.15,7423.033333333333,7421.974999999999,7427.924999999999,5036,2021-09-13 16:00:00
1170,ASX200_i,7417.7,7410.8,7394.7,7418.8,7406.75,7408.099999999999,7408.775,7410.5,2024,2021-09-13 20:00:00
1171,ASX200_i,7412.5,7401.3,7380.3,7431.2,7405.75,7404.266666666666,7403.525,7406.325,1604,2021-09-14 00:00:00
1172,ASX200_i,7402.3,7421.3,7382.3,7435.2,7408.75,7412.933333333333,7415.025,7410.275,2763,2021-09-14 04:00:00
1173,ASX200_i,7422.2,7413.3,7395.3,7440.3,7417.8,7416.3,7415.55,7417.775000000001,2508,2021-09-14 08:00:00
1174,ASX200_i,7413.3,7419.3,7400.2,7425.3,7412.75,7414.933333333333,7416.025,7414.525,1282,2021-09-14 12:00:00
1175,ASX200_i,7419.3,7399.4,7394.4,7425.5,7409.95,7406.433333333333,7404.674999999999,7409.65,2039,2021-09-14 16:00:00
1176,ASX200_i,7399.4,7388.4,7384.4,7403.4,7393.9,7392.066666666666,7391.15,7393.9,901,2021-09-14 20:00:00
1177,ASX200_i,7388.3,7373.0,7369.0,7414.0,7391.5,7385.333333333333,7382.25,7386.075,1489,2021-09-15 00:00:00
1178,ASX200_i,7372.0,7422.0,7370.0,7422.1,7396.05,7404.7,7409.025,7396.525,2679,2021-09-15 04:00:00
1179,ASX200_i,7421.1,7416.0,7399.0,7422.1,7410.55,7412.366666666666,7413.275,7414.549999999999,2774,2021-09-15 08:00:00
1180,ASX200_i,7415.1,7412.1,7399.0,7421.1,7410.05,7410.733333333334,7411.075000000001,7411.825000000001,1420,2021-09-15 12:00:00
1181,ASX200_i,7412.1,7426.3,7395.2,7427.3,7411.25,7416.266666666666,7418.775,7415.225,4030,2021-09-15 16:00:00
1182,ASX200_i,7426.3,7440.3,7425.2,7447.2,7436.2,7437.566666666667,7438.25,7434.75,1414,2021-09-15 20:00:00
1183,ASX200_i,7435.0,7446.7,7418.7,7452.8,7435.75,7439.400000000001,7441.225,7438.3,1408,2021-09-16 00:00:00
1184,ASX200_i,7446.8,7463.8,7443.7,7481.8,7462.75,7463.099999999999,7463.275,7459.025,2332,2021-09-16 04:00:00
1185,ASX200_i,7463.8,7463.8,7443.7,7473.7,7458.7,7460.400000000001,7461.25,7461.25,2266,2021-09-16 08:00:00
1186,ASX200_i,7463.8,7443.7,7437.7,7465.8,7451.75,7449.066666666667,7447.725,7452.75,971,2021-09-16 12:00:00
