,CHNA50_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1249,CHNA50_m_i,15344.4,15365.8,15340.3,15377.8,15359.05,15361.299999999997,15362.425,15357.074999999999,1590,2021-09-28 20:00:00
1250,CHNA50_m_i,15373.0,15430.5,15204.5,15465.5,15335.0,15366.833333333334,15382.75,15368.375,8804,2021-09-29 04:00:00
1251,CHNA50_m_i,15430.1,15448.5,15397.1,15570.5,15483.8,15472.033333333333,15466.15,15461.55,5699,2021-09-29 08:00:00
1252,CHNA50_m_i,15436.0,15415.0,15410.7,15475.5,15443.1,15433.733333333332,15429.05,15434.3,1704,2021-09-29 12:00:00
1253,CHNA50_m_i,15414.9,15395.5,15390.5,15478.0,15434.25,15421.333333333334,15414.875,15419.725,2308,2021-09-29 16:00:00
1254,CHNA50_m_i,15395.5,15399.5,15389.5,15424.5,15407.0,15404.5,15403.25,15402.25,1332,2021-09-29 20:00:00
1255,CHNA50_m_i,15422.3,15454.4,15392.4,15518.6,15455.5,15455.133333333333,15454.95,15446.925,5250,2021-09-30 04:00:00
1256,CHNA50_m_i,15453.2,15500.4,15431.1,15535.2,15483.150000000001,15488.900000000001,15491.775000000001,15479.975000000002,3453,2021-09-30 08:00:00
1257,CHNA50_m_i,15488.4,15493.1,15455.7,15507.6,15481.650000000001,15485.466666666667,15487.375,15486.2,2099,2021-09-30 12:00:00
1258,CHNA50_m_i,15492.8,15446.6,15419.9,15538.6,15479.25,15468.366666666667,15462.925,15474.474999999999,4213,2021-09-30 16:00:00
1259,CHNA50_m_i,15445.8,15438.3,15421.9,15482.7,15452.3,15447.633333333331,15445.3,15447.175,1681,2021-09-30 20:00:00
1260,CHNA50_m_i,15425.1,15143.6,15132.1,15425.7,15278.900000000001,15233.800000000001,15211.25,15281.625,4880,2021-10-01 04:00:00
1261,CHNA50_m_i,15141.3,15141.1,15065.1,15237.1,15151.1,15147.766666666668,15146.1,15146.150000000001,6364,2021-10-01 08:00:00
1262,CHNA50_m_i,15149.6,15238.1,15149.6,15252.1,15200.85,15213.266666666668,15219.475,15197.35,2174,2021-10-01 12:00:00
1263,CHNA50_m_i,15239.7,15226.7,15152.9,15284.7,15218.8,15221.433333333334,15222.75,15226.0,4294,2021-10-01 16:00:00
1264,CHNA50_m_i,15226.6,15262.8,15224.4,15278.6,15251.5,15255.266666666668,15257.150000000001,15248.1,1581,2021-10-01 20:00:00
1265,CHNA50_m_i,15205.7,15129.9,15026.4,15217.5,15121.95,15124.6,15125.925000000001,15144.875,6437,2021-10-04 04:00:00
1266,CHNA50_m_i,15127.8,15109.3,15059.8,15169.8,15114.8,15112.966666666665,15112.05,15116.675,3366,2021-10-04 08:00:00
1267,CHNA50_m_i,15113.8,15145.1,15113.8,15163.1,15138.45,15140.666666666666,15141.775,15133.95,1908,2021-10-04 12:00:00
1268,CHNA50_m_i,15145.2,15046.3,14989.5,15148.3,15068.9,15061.366666666667,15057.599999999999,15082.325,3527,2021-10-04 16:00:00
1269,CHNA50_m_i,15045.4,15062.8,15035.1,15092.8,15063.95,15063.566666666666,15063.375,15059.025,2299,2021-10-04 20:00:00
1270,CHNA50_m_i,15002.2,15027.8,14863.4,15055.7,14959.55,14982.299999999997,14993.675,14987.274999999998,4682,2021-10-05 04:00:00
1271,CHNA50_m_i,15026.9,15014.4,14938.3,15048.9,14993.599999999999,15000.533333333333,15004.0,15007.125,3509,2021-10-05 08:00:00
1272,CHNA50_m_i,15013.7,15063.5,15013.7,15067.7,15040.7,15048.300000000001,15052.1,15039.650000000001,1868,2021-10-05 12:00:00
1273,CHNA50_m_i,15064.0,15121.2,15032.0,15138.4,15085.2,15097.200000000003,15103.2,15088.900000000001,1894,2021-10-05 16:00:00
1274,CHNA50_m_i,15121.1,15084.0,15076.9,15137.4,15107.15,15099.433333333334,15095.575,15104.85,1554,2021-10-05 20:00:00
1275,CHNA50_m_i,15097.5,14942.9,14835.9,15099.5,14967.7,14959.433333333334,14955.300000000001,14993.95,5990,2021-10-06 04:00:00
1276,CHNA50_m_i,14943.5,15001.6,14929.5,15038.5,14984.0,14989.866666666667,14992.8,14978.275,3757,2021-10-06 08:00:00
1277,CHNA50_m_i,14994.8,15008.6,14949.4,15037.9,14993.65,14998.633333333333,15001.125,14997.675,2375,2021-10-06 12:00:00
1278,CHNA50_m_i,15007.9,15056.8,14969.2,15087.1,15028.150000000001,15037.700000000003,15042.475000000002,15030.250000000002,3601,2021-10-06 16:00:00
1279,CHNA50_m_i,15056.9,15170.9,15040.3,15171.8,15106.05,15127.666666666666,15138.475,15109.975,2608,2021-10-06 20:00:00
1280,CHNA50_m_i,15174.1,15320.4,15174.1,15378.2,15276.150000000001,15290.900000000001,15298.275000000001,15261.7,4556,2021-10-07 04:00:00
1281,CHNA50_m_i,15318.4,15306.2,15269.4,15362.7,15316.05,15312.766666666668,15311.125,15314.175000000001,3902,2021-10-07 08:00:00
1282,CHNA50_m_i,15298.4,15350.4,15298.4,15409.0,15353.7,15352.6,15352.050000000001,15339.050000000001,1868,2021-10-07 12:00:00
1283,CHNA50_m_i,15350.2,15441.9,15305.8,15456.1,15380.95,15401.266666666668,15411.425000000001,15388.5,2730,2021-10-07 16:00:00
1284,CHNA50_m_i,15441.9,15449.2,15431.4,15457.4,15444.4,15446.0,15446.8,15444.975,1166,2021-10-07 20:00:00
1285,CHNA50_m_i,15435.3,15801.3,15413.8,15855.7,15634.75,15690.266666666668,15718.025000000001,15626.525000000001,7260,2021-10-08 04:00:00
1286,CHNA50_m_i,15801.3,15828.3,15705.3,15863.0,15784.15,15798.866666666667,15806.224999999999,15799.474999999999,4896,2021-10-08 08:00:00
1287,CHNA50_m_i,15817.6,15871.5,15784.3,15892.3,15838.3,15849.366666666667,15854.9,15841.425,2963,2021-10-08 12:00:00
1288,CHNA50_m_i,15871.6,15849.8,15829.3,15882.7,15856.0,15853.933333333334,15852.900000000001,15858.35,1791,2021-10-08 16:00:00
1289,CHNA50_m_i,15849.9,15838.3,15834.2,15868.6,15851.400000000001,15847.033333333335,15844.850000000002,15847.750000000002,1203,2021-10-08 20:00:00
1290,CHNA50_m_i,15840.2,15997.5,15829.4,16170.3,15999.849999999999,15999.066666666666,15998.675,15959.349999999999,8704,2021-10-11 04:00:00
1291,CHNA50_m_i,15997.5,15926.1,15897.1,16026.7,15961.900000000001,15949.966666666667,15944.0,15961.85,3088,2021-10-11 08:00:00
1292,CHNA50_m_i,15933.7,15952.6,15885.7,15954.6,15920.150000000001,15930.966666666667,15936.375,15931.650000000001,2088,2021-10-11 12:00:00
1293,CHNA50_m_i,15953.0,15929.7,15919.7,15975.7,15947.7,15941.700000000003,15938.7,15944.525000000001,1801,2021-10-11 16:00:00
1294,CHNA50_m_i,15929.8,15861.7,15835.5,15929.8,15882.65,15875.666666666666,15872.175,15889.2,2237,2021-10-11 20:00:00
1295,CHNA50_m_i,15825.9,15952.9,15773.5,16005.6,15889.55,15910.666666666666,15921.225,15889.475,5931,2021-10-12 04:00:00
1296,CHNA50_m_i,15951.5,15849.5,15748.5,15999.5,15874.0,15865.833333333334,15861.75,15887.25,6018,2021-10-12 08:00:00
1297,CHNA50_m_i,15872.5,15885.5,15871.8,15906.1,15888.95,15887.800000000001,15887.225,15883.975,1467,2021-10-12 12:00:00
1298,CHNA50_m_i,15884.7,15875.6,15869.5,15914.1,15891.8,15886.4,15883.699999999999,15885.974999999999,1696,2021-10-12 16:00:00
1299,CHNA50_m_i,15875.5,15834.9,15828.2,15892.6,15860.400000000001,15851.900000000001,15847.650000000001,15857.800000000001,1268,2021-10-12 20:00:00
1300,CHNA50_m_i,15839.3,15977.4,15805.6,15989.9,15897.75,15924.300000000001,15937.575,15903.05,5558,2021-10-13 04:00:00
1301,CHNA50_m_i,15977.4,16183.4,15966.2,16196.0,16081.1,16115.199999999999,16132.25,16080.75,6211,2021-10-13 08:00:00
1302,CHNA50_m_i,16186.5,16179.1,16164.1,16237.4,16200.75,16193.533333333333,16189.925,16191.775,2450,2021-10-13 12:00:00
1303,CHNA50_m_i,16178.6,16205.9,16160.4,16210.4,16185.4,16192.233333333332,16195.65,16188.824999999999,2122,2021-10-13 16:00:00
1304,CHNA50_m_i,16205.9,16166.4,16161.7,16210.8,16186.25,16179.633333333333,16176.325,16186.2,1253,2021-10-13 20:00:00
1305,CHNA50_m_i,16170.3,15968.7,15892.1,16186.2,16039.150000000001,16015.666666666666,16003.925,16054.325,5282,2021-10-14 04:00:00
1306,CHNA50_m_i,15966.4,15995.7,15922.9,16019.5,15971.2,15979.366666666669,15983.45,15976.125000000002,3259,2021-10-14 08:00:00
1307,CHNA50_m_i,16001.4,15991.2,15980.4,16014.2,15997.3,15995.266666666668,15994.25,15996.800000000001,1008,2021-10-14 12:00:00
1308,CHNA50_m_i,15991.2,15955.2,15915.2,15993.0,15954.1,15954.466666666667,15954.650000000001,15963.650000000001,2517,2021-10-14 16:00:00
1309,CHNA50_m_i,15956.2,15990.2,15948.2,16002.2,15975.2,15980.200000000003,15982.7,15974.2,989,2021-10-14 20:00:00
1310,CHNA50_m_i,15976.2,15996.2,15845.5,16078.1,15961.8,15973.266666666668,15979.0,15974.0,7071,2021-10-15 04:00:00
1311,CHNA50_m_i,15996.2,16045.8,15979.9,16069.2,16024.55,16031.633333333331,16035.175,16022.774999999998,3205,2021-10-15 08:00:00
1312,CHNA50_m_i,16050.2,15976.3,15938.7,16051.0,15994.85,15988.666666666666,15985.575,16004.05,2999,2021-10-15 12:00:00
1313,CHNA50_m_i,15976.4,15982.2,15971.0,16041.4,16006.2,15998.200000000003,15994.2,15992.750000000002,2645,2021-10-15 16:00:00
1314,CHNA50_m_i,15981.0,15985.4,15969.9,16001.2,15985.55,15985.5,15985.475,15984.375,1048,2021-10-15 20:00:00
1315,CHNA50_m_i,15982.7,15632.4,15590.4,16020.3,15805.349999999999,15747.699999999999,15718.875,15806.45,9825,2021-10-18 04:00:00
1316,CHNA50_m_i,15632.6,15706.2,15557.9,15731.5,15644.7,15665.200000000003,15675.45,15657.050000000001,4246,2021-10-18 08:00:00
1317,CHNA50_m_i,15702.0,15682.1,15679.9,15732.5,15706.2,15698.166666666666,15694.15,15699.125,1556,2021-10-18 12:00:00
1318,CHNA50_m_i,15681.9,15699.3,15663.3,15718.9,15691.099999999999,15693.833333333334,15695.2,15690.85,2297,2021-10-18 16:00:00
1319,CHNA50_m_i,15699.3,15691.3,15684.4,15704.9,15694.65,15693.533333333333,15692.974999999999,15694.974999999999,591,2021-10-18 20:00:00
1320,CHNA50_m_i,15683.5,15868.0,15638.0,15908.0,15773.0,15804.666666666666,15820.5,15774.375,5943,2021-10-19 04:00:00
1321,CHNA50_m_i,15866.0,15826.2,15817.3,15893.0,15855.15,15845.5,15840.675,15850.625,3022,2021-10-19 08:00:00
1322,CHNA50_m_i,15832.7,15839.7,15832.7,15868.4,15850.55,15846.933333333334,15845.125,15843.375,1276,2021-10-19 12:00:00
1323,CHNA50_m_i,15839.8,15913.0,15821.0,15916.0,15868.5,15883.333333333334,15890.75,15872.45,1719,2021-10-19 16:00:00
1324,CHNA50_m_i,15913.7,15903.5,15890.8,15914.0,15902.4,15902.766666666668,15902.95,15905.5,987,2021-10-19 20:00:00
1325,CHNA50_m_i,15886.3,15868.8,15770.8,16016.8,15893.8,15885.466666666665,15881.3,15885.675,6393,2021-10-20 04:00:00
1326,CHNA50_m_i,15868.8,15863.8,15804.9,15883.8,15844.349999999999,15850.833333333334,15854.075,15855.325,2763,2021-10-20 08:00:00
1327,CHNA50_m_i,15863.5,15880.0,15858.8,15884.1,15871.45,15874.300000000001,15875.725,15871.6,952,2021-10-20 12:00:00
1328,CHNA50_m_i,15879.5,15881.0,15845.2,15898.8,15872.0,15875.0,15876.5,15876.125,1842,2021-10-20 16:00:00
1329,CHNA50_m_i,15880.9,15866.5,15853.8,15881.2,15867.5,15867.166666666666,15867.0,15870.6,947,2021-10-20 20:00:00
1330,CHNA50_m_i,15868.3,15974.2,15833.9,16092.4,15963.15,15966.833333333334,15968.675,15942.2,7202,2021-10-21 04:00:00
1331,CHNA50_m_i,15975.1,15999.0,15875.7,16038.3,15957.0,15971.0,15978.0,15972.025,4268,2021-10-21 08:00:00
1332,CHNA50_m_i,15990.8,15998.7,15987.8,16013.1,16000.45,15999.866666666669,15999.575,15997.600000000002,1059,2021-10-21 12:00:00
1333,CHNA50_m_i,15998.8,15990.0,15954.4,16010.7,15982.55,15985.033333333333,15986.275,15988.474999999999,2035,2021-10-21 16:00:00
1334,CHNA50_m_i,15989.8,15981.0,15972.7,16005.2,15988.95,15986.300000000001,15984.975,15987.175,962,2021-10-21 20:00:00
1335,CHNA50_m_i,15998.5,16245.2,15983.1,16258.6,16120.85,16162.300000000001,16183.025000000001,16121.35,7025,2021-10-22 04:00:00
1336,CHNA50_m_i,16244.9,16203.6,16178.1,16317.6,16247.85,16233.1,16225.725,16236.050000000001,4192,2021-10-22 08:00:00
1337,CHNA50_m_i,16220.6,16215.6,16206.9,16244.6,16225.75,16222.366666666667,16220.675,16221.925,1323,2021-10-22 12:00:00
1338,CHNA50_m_i,16215.0,16196.0,16156.3,16260.6,16208.45,16204.300000000001,16202.225,16206.975,2852,2021-10-22 16:00:00
1339,CHNA50_m_i,16196.1,16172.5,16164.5,16205.8,16185.15,16180.933333333334,16178.825,16184.725,1683,2021-10-22 20:00:00
1340,CHNA50_m_i,16173.2,16111.9,16037.0,16178.3,16107.65,16109.066666666666,16109.775,16125.099999999999,5556,2021-10-25 04:00:00
1341,CHNA50_m_i,16111.5,16158.0,16079.0,16183.7,16131.35,16140.233333333332,16144.675,16133.05,2582,2021-10-25 08:00:00
1342,CHNA50_m_i,16164.0,16150.7,16140.8,16164.0,16152.4,16151.833333333334,16151.55,16154.875,905,2021-10-25 12:00:00
1343,CHNA50_m_i,16150.8,16146.0,16113.7,16164.8,16139.25,16141.5,16142.625,16143.825,1685,2021-10-25 16:00:00
1344,CHNA50_m_i,16146.0,16149.0,16133.0,16152.9,16142.95,16144.966666666667,16145.975,16145.225,818,2021-10-25 20:00:00
1345,CHNA50_m_i,16155.0,16147.0,16022.1,16288.3,16155.2,16152.466666666667,16151.1,16153.1,7232,2021-10-26 04:00:00
1346,CHNA50_m_i,16152.0,16106.6,16039.0,16201.0,16120.0,16115.533333333333,16113.3,16124.65,3774,2021-10-26 08:00:00
1347,CHNA50_m_i,16093.0,16108.1,16091.3,16113.0,16102.15,16104.133333333333,16105.125,16101.35,737,2021-10-26 12:00:00
1348,CHNA50_m_i,16107.8,16024.0,16007.0,16110.0,16058.5,16047.0,16041.25,16062.2,1901,2021-10-26 16:00:00
1349,CHNA50_m_i,16023.0,16040.0,16020.5,16051.0,16035.75,16037.166666666666,16037.875,16033.625,1253,2021-10-26 20:00:00
1350,CHNA50_m_i,16028.9,15846.7,15814.1,16038.1,15926.1,15899.633333333333,15886.400000000001,15931.95,6038,2021-10-27 04:00:00
1351,CHNA50_m_i,15847.7,15874.6,15778.1,15894.3,15836.2,15849.0,15855.4,15848.675,4421,2021-10-27 08:00:00
1352,CHNA50_m_i,15869.4,15858.1,15841.0,15869.4,15855.2,15856.166666666666,15856.65,15859.475,1258,2021-10-27 12:00:00
1353,CHNA50_m_i,15858.3,15843.1,15838.1,15900.9,15869.5,15860.699999999999,15856.3,15860.099999999999,1927,2021-10-27 16:00:00
1354,CHNA50_m_i,15843.3,15803.9,15797.1,15848.1,15822.6,15816.366666666667,15813.25,15823.099999999999,1151,2021-10-27 20:00:00
1355,CHNA50_m_i,15819.3,15838.6,15740.9,15897.6,15819.25,15825.699999999999,15828.925,15824.099999999999,6723,2021-10-28 04:00:00
1356,CHNA50_m_i,15842.2,15832.6,15740.6,15873.6,15807.1,15815.6,15819.85,15822.25,4148,2021-10-28 08:00:00
1357,CHNA50_m_i,15836.6,15840.4,15816.4,15845.6,15831.0,15834.133333333333,15835.7,15834.75,1208,2021-10-28 12:00:00
1358,CHNA50_m_i,15839.5,15848.8,15813.6,15879.9,15846.75,15847.433333333334,15847.775000000001,15845.45,1779,2021-10-28 16:00:00
1359,CHNA50_m_i,15848.6,15856.9,15843.1,15874.7,15858.900000000001,15858.233333333335,15857.900000000001,15855.825,979,2021-10-28 20:00:00
1360,CHNA50_m_i,15851.7,15840.7,15777.4,15890.7,15834.05,15836.266666666668,15837.375,15840.125,4648,2021-10-29 04:00:00
1361,CHNA50_m_i,15839.7,15852.0,15813.7,15886.8,15850.25,15850.833333333334,15851.125,15848.05,2732,2021-10-29 08:00:00
1362,CHNA50_m_i,15856.0,15856.7,15829.1,15869.0,15849.05,15851.6,15852.875,15852.7,1358,2021-10-29 12:00:00
1363,CHNA50_m_i,15856.7,15841.5,15823.7,15867.7,15845.7,15844.300000000001,15843.6,15847.400000000001,1369,2021-10-29 16:00:00
1364,CHNA50_m_i,15841.4,15857.9,15816.7,15860.9,15838.8,15845.166666666666,15848.35,15844.225,1385,2021-10-29 20:00:00
1365,CHNA50_m_i,15863.9,15772.5,15561.4,15896.1,15728.75,15743.333333333334,15750.625,15773.475,8597,2021-11-01 04:00:00
1366,CHNA50_m_i,15768.6,15770.0,15725.9,15814.0,15769.95,15769.966666666667,15769.975,15769.625,2790,2021-11-01 08:00:00
1367,CHNA50_m_i,15779.4,15782.0,15772.3,15802.2,15787.25,15785.5,15784.625,15783.975,997,2021-11-01 12:00:00
1368,CHNA50_m_i,15781.4,15818.0,15776.4,15831.9,15804.15,15808.766666666668,15811.075,15801.925000000001,1790,2021-11-01 16:00:00
1369,CHNA50_m_i,15818.4,15818.2,15792.0,15823.4,15807.7,15811.200000000003,15812.95,15813.000000000002,857,2021-11-01 20:00:00
1370,CHNA50_m_i,15807.6,15456.6,15449.6,15834.6,15642.1,15580.266666666668,15549.35,15637.1,6634,2021-11-02 04:00:00
1371,CHNA50_m_i,15457.6,15526.7,15385.6,15555.5,15470.55,15489.266666666668,15498.625,15481.35,5052,2021-11-02 08:00:00
1372,CHNA50_m_i,15512.8,15532.8,15512.1,15544.8,15528.45,15529.9,15530.625,15525.625,1082,2021-11-02 12:00:00
1373,CHNA50_m_i,15533.4,15527.3,15497.6,15544.1,15520.85,15523.0,15524.075,15525.6,1541,2021-11-02 16:00:00
1374,CHNA50_m_i,15527.8,15505.6,15499.6,15540.9,15520.25,15515.366666666667,15512.925,15518.474999999999,1139,2021-11-02 20:00:00
1375,CHNA50_m_i,15505.6,15422.0,15388.0,15586.0,15487.0,15465.333333333334,15454.5,15475.4,4659,2021-11-03 04:00:00
1376,CHNA50_m_i,15420.8,15403.4,15343.7,15447.3,15395.5,15398.133333333333,15399.45,15403.8,3773,2021-11-03 08:00:00
1377,CHNA50_m_i,15382.0,15372.9,15370.0,15382.0,15376.0,15374.966666666667,15374.45,15376.725,150,2021-11-03 16:00:00
1378,CHNA50_m_i,15372.0,15444.6,15362.9,15448.0,15405.45,15418.5,15425.025,15406.875,1546,2021-11-03 20:00:00
1379,CHNA50_m_i,15441.0,15556.9,15419.0,15635.4,15527.2,15537.1,15542.050000000001,15513.075,5039,2021-11-04 04:00:00
1380,CHNA50_m_i,15560.9,15580.1,15553.1,15631.1,15592.1,15588.1,15586.1,15581.300000000001,2287,2021-11-04 08:00:00
1381,CHNA50_m_i,15553.3,15547.2,15540.1,15566.3,15553.2,15551.200000000003,15550.2,15551.725000000002,834,2021-11-04 12:00:00
1382,CHNA50_m_i,15547.2,15501.1,15490.1,15548.2,15519.150000000001,15513.133333333333,15510.125,15521.650000000001,1341,2021-11-04 16:00:00
1383,CHNA50_m_i,15501.2,15525.6,15498.1,15528.2,15513.150000000001,15517.300000000001,15519.375,15513.275000000001,737,2021-11-04 20:00:00
1384,CHNA50_m_i,15521.6,15670.7,15490.7,15721.8,15606.25,15627.733333333332,15638.474999999999,15601.199999999999,5232,2021-11-05 04:00:00
1385,CHNA50_m_i,15670.7,15523.0,15505.7,15681.1,15593.400000000001,15569.933333333334,15558.2,15595.125,3278,2021-11-05 08:00:00
1386,CHNA50_m_i,15528.7,15566.0,15525.7,15570.9,15548.3,15554.199999999999,15557.15,15547.825,1081,2021-11-05 12:00:00
1387,CHNA50_m_i,15566.8,15545.8,15525.7,15582.8,15554.25,15551.433333333334,15550.025000000001,15555.275000000001,1666,2021-11-05 16:00:00
1388,CHNA50_m_i,15545.1,15542.8,15517.7,15561.8,15539.75,15540.766666666668,15541.275000000001,15541.85,1321,2021-11-05 20:00:00
1389,CHNA50_m_i,15510.2,15516.2,15459.1,15590.7,15524.900000000001,15522.0,15520.55,15519.05,2573,2021-11-08 00:00:00
1390,CHNA50_m_i,15516.2,15573.6,15494.7,15642.2,15568.45,15570.166666666666,15571.025,15556.675,4246,2021-11-08 04:00:00
1391,CHNA50_m_i,15577.7,15529.1,15490.3,15584.7,15537.5,15534.699999999999,15533.3,15545.45,2080,2021-11-08 08:00:00
1392,CHNA50_m_i,15528.7,15560.7,15525.7,15569.7,15547.7,15552.033333333335,15554.2,15546.2,1050,2021-11-08 12:00:00
1393,CHNA50_m_i,15560.7,15620.8,15552.7,15625.7,15589.2,15599.733333333332,15605.0,15589.974999999999,1397,2021-11-08 16:00:00
1394,CHNA50_m_i,15620.7,15621.4,15614.5,15632.7,15623.6,15622.866666666667,15622.5,15622.325,688,2021-11-08 20:00:00
1395,CHNA50_m_i,15606.2,15575.7,15544.7,15646.4,15595.55,15588.933333333334,15585.625,15593.25,1730,2021-11-09 00:00:00
1396,CHNA50_m_i,15575.7,15500.0,15418.7,15600.8,15509.75,15506.5,15504.875,15523.8,4893,2021-11-09 04:00:00
1397,CHNA50_m_i,15501.5,15469.7,15452.5,15531.9,15492.2,15484.700000000003,15480.95,15488.900000000001,1910,2021-11-09 08:00:00
1398,CHNA50_m_i,15469.8,15485.4,15468.7,15490.7,15479.7,15481.6,15482.550000000001,15478.650000000001,971,2021-11-09 12:00:00
