,XAUUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
133,XAUUSD_i,1838.19,1840.52,1835.81,1843.44,1839.625,1839.9233333333334,1840.0725000000002,1839.4900000000002,8981,2021-01-19 00:00:00
134,XAUUSD_i,1840.54,1837.5,1835.99,1841.74,1838.865,1838.4099999999999,1838.1825,1838.9424999999999,11871,2021-01-19 04:00:00
135,XAUUSD_i,1837.47,1843.13,1836.4,1844.87,1840.635,1841.4666666666665,1841.8825,1840.4675,15837,2021-01-19 08:00:00
136,XAUUSD_i,1843.15,1839.88,1832.92,1845.28,1839.1,1839.36,1839.49,1840.3075,19210,2021-01-19 12:00:00
137,XAUUSD_i,1839.83,1842.46,1833.21,1843.26,1838.2350000000001,1839.6433333333334,1840.3475,1839.69,27337,2021-01-19 16:00:00
138,XAUUSD_i,1842.46,1839.42,1836.93,1842.68,1839.805,1839.676666666667,1839.6125000000002,1840.3725000000002,9540,2021-01-19 20:00:00
139,XAUUSD_i,1840.33,1846.11,1839.27,1847.23,1843.25,1844.2033333333331,1844.6799999999998,1843.235,8677,2021-01-20 00:00:00
140,XAUUSD_i,1846.13,1851.13,1846.13,1851.68,1848.9050000000002,1849.6466666666668,1850.0175000000002,1848.7675000000002,10273,2021-01-20 04:00:00
141,XAUUSD_i,1851.13,1854.54,1850.27,1857.18,1853.725,1853.9966666666667,1854.1325,1853.28,15545,2021-01-20 08:00:00
142,XAUUSD_i,1854.54,1848.81,1832.27,1855.04,1843.655,1845.3733333333332,1846.2325,1847.665,23946,2021-01-20 12:00:00
143,XAUUSD_i,1848.8,1862.96,1848.44,1870.18,1859.31,1860.5266666666666,1861.135,1857.595,35362,2021-01-20 16:00:00
144,XAUUSD_i,1862.96,1871.24,1862.93,1871.46,1867.1950000000002,1868.5433333333333,1869.2175,1867.1475,13749,2021-01-20 20:00:00
145,XAUUSD_i,1871.33,1868.81,1866.79,1871.78,1869.2849999999999,1869.1266666666663,1869.0474999999997,1869.6774999999998,9222,2021-01-21 00:00:00
146,XAUUSD_i,1868.69,1873.95,1867.76,1874.61,1871.185,1872.1066666666666,1872.5674999999999,1871.2525,12097,2021-01-21 04:00:00
147,XAUUSD_i,1874.14,1871.58,1865.97,1874.88,1870.4250000000002,1870.8100000000002,1871.0025,1871.6425000000002,18311,2021-01-21 08:00:00
148,XAUUSD_i,1871.55,1860.8,1859.63,1872.38,1866.005,1864.2700000000002,1863.4025000000001,1866.0900000000001,23128,2021-01-21 12:00:00
149,XAUUSD_i,1860.82,1864.69,1858.17,1867.92,1863.045,1863.5933333333335,1863.8675000000003,1862.9,27687,2021-01-21 16:00:00
150,XAUUSD_i,1864.67,1869.62,1864.46,1871.34,1867.9,1868.4733333333334,1868.76,1867.5225,10590,2021-01-21 20:00:00
151,XAUUSD_i,1869.58,1864.25,1862.73,1870.62,1866.675,1865.8666666666668,1865.4625,1866.795,8487,2021-01-22 00:00:00
152,XAUUSD_i,1864.25,1862.3,1859.72,1865.13,1862.4250000000002,1862.3833333333334,1862.3625000000002,1862.8500000000001,11999,2021-01-22 04:00:00
153,XAUUSD_i,1862.37,1858.74,1857.0,1863.77,1860.385,1859.8366666666668,1859.5625,1860.47,18452,2021-01-22 08:00:00
154,XAUUSD_i,1858.68,1843.09,1837.19,1858.99,1848.0900000000001,1846.4233333333334,1845.5900000000001,1849.4875000000002,29443,2021-01-22 12:00:00
155,XAUUSD_i,1843.01,1855.47,1838.04,1858.22,1848.13,1850.5766666666668,1851.8000000000002,1848.6850000000002,29709,2021-01-22 16:00:00
156,XAUUSD_i,1855.47,1854.49,1852.37,1857.84,1855.105,1854.8999999999999,1854.7975,1855.0425,10436,2021-01-22 20:00:00
157,XAUUSD_i,1857.81,1854.78,1852.67,1859.83,1856.25,1855.76,1855.5149999999999,1856.2725,11062,2021-01-25 00:00:00
158,XAUUSD_i,1854.74,1853.09,1850.97,1856.39,1853.68,1853.4833333333333,1853.385,1853.7975,12747,2021-01-25 04:00:00
159,XAUUSD_i,1853.09,1855.75,1848.92,1856.4,1852.66,1853.6899999999998,1854.205,1853.54,17872,2021-01-25 08:00:00
160,XAUUSD_i,1855.75,1864.74,1854.35,1867.73,1861.04,1862.2733333333333,1862.8899999999999,1860.6425,23051,2021-01-25 12:00:00
161,XAUUSD_i,1864.76,1858.07,1846.91,1866.13,1856.52,1857.0366666666666,1857.2949999999998,1858.9675,37157,2021-01-25 16:00:00
162,XAUUSD_i,1858.07,1855.76,1853.4,1858.71,1856.055,1855.9566666666667,1855.9075,1856.485,12206,2021-01-25 20:00:00
163,XAUUSD_i,1855.04,1858.14,1853.03,1858.58,1855.8049999999998,1856.5833333333333,1856.9725,1856.1975,7736,2021-01-26 00:00:00
164,XAUUSD_i,1858.14,1857.03,1854.19,1861.55,1857.87,1857.59,1857.4499999999998,1857.7275,12159,2021-01-26 04:00:00
165,XAUUSD_i,1856.94,1852.4,1849.83,1857.14,1853.4850000000001,1853.1233333333337,1852.9425,1854.0775000000003,17834,2021-01-26 08:00:00
166,XAUUSD_i,1852.4,1856.89,1848.17,1859.96,1854.065,1855.006666666667,1855.4775000000002,1854.355,19045,2021-01-26 12:00:00
167,XAUUSD_i,1856.94,1852.45,1849.82,1858.05,1853.935,1853.4399999999998,1853.1924999999999,1854.315,26280,2021-01-26 16:00:00
168,XAUUSD_i,1852.45,1851.25,1849.36,1853.47,1851.415,1851.36,1851.3325,1851.6325,9205,2021-01-26 20:00:00
169,XAUUSD_i,1851.34,1845.97,1843.18,1851.46,1847.3200000000002,1846.8700000000001,1846.6450000000002,1847.9875000000002,8596,2021-01-27 00:00:00
170,XAUUSD_i,1845.97,1850.9,1844.14,1850.95,1847.545,1848.6633333333332,1849.2224999999999,1847.99,10829,2021-01-27 04:00:00
171,XAUUSD_i,1850.9,1845.62,1844.17,1852.9,1848.535,1847.5633333333335,1847.0775,1848.3975,16520,2021-01-27 08:00:00
172,XAUUSD_i,1845.62,1842.93,1837.26,1847.54,1842.4,1842.5766666666668,1842.6650000000002,1843.3375,24322,2021-01-27 12:00:00
173,XAUUSD_i,1842.93,1845.29,1831.16,1850.45,1840.805,1842.3,1843.0475,1842.4575,36743,2021-01-27 16:00:00
174,XAUUSD_i,1845.29,1843.65,1838.98,1848.92,1843.95,1843.8500000000001,1843.8000000000002,1844.21,21393,2021-01-27 20:00:00
175,XAUUSD_i,1842.4,1835.91,1833.8,1843.2,1838.5,1837.6366666666665,1837.205,1838.8274999999999,12949,2021-01-28 00:00:00
176,XAUUSD_i,1835.85,1836.72,1835.16,1839.12,1837.1399999999999,1837.0,1836.93,1836.7125,14140,2021-01-28 04:00:00
177,XAUUSD_i,1836.7,1840.75,1833.91,1841.44,1837.6750000000002,1838.7,1839.2125,1838.2,20729,2021-01-28 08:00:00
178,XAUUSD_i,1840.73,1856.88,1837.39,1858.0,1847.6950000000002,1850.756666666667,1852.2875000000001,1848.25,25219,2021-01-28 12:00:00
179,XAUUSD_i,1856.92,1839.17,1837.45,1863.89,1850.67,1846.8366666666668,1844.92,1849.3575,46114,2021-01-28 16:00:00
180,XAUUSD_i,1839.14,1842.41,1834.78,1844.73,1839.755,1840.64,1841.0825,1840.265,20677,2021-01-28 20:00:00
181,XAUUSD_i,1842.78,1842.9,1839.37,1845.15,1842.26,1842.4733333333334,1842.58,1842.55,12267,2021-01-29 00:00:00
182,XAUUSD_i,1842.87,1845.73,1840.84,1846.12,1843.48,1844.2300000000002,1844.605,1843.89,13294,2021-01-29 04:00:00
183,XAUUSD_i,1845.74,1851.45,1842.15,1853.89,1848.02,1849.1633333333332,1849.735,1848.3075,26975,2021-01-29 08:00:00
184,XAUUSD_i,1851.45,1871.71,1849.42,1873.71,1861.565,1864.9466666666667,1866.6375,1861.5725,35211,2021-01-29 12:00:00
