,GBPJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1010,GBPJPY_i,151.21,151.106,151.072,151.313,151.1925,151.16366666666667,151.14925,151.17525,4250,2021-08-17 00:00:00
1011,GBPJPY_i,151.11,151.076,150.964,151.139,151.0515,151.05966666666666,151.06375,151.07225,5306,2021-08-17 04:00:00
1012,GBPJPY_i,151.076,150.919,150.427,151.154,150.7905,150.83333333333334,150.85475,150.894,16628,2021-08-17 08:00:00
1013,GBPJPY_i,150.919,150.839,150.529,150.969,150.749,150.779,150.79399999999998,150.814,16115,2021-08-17 12:00:00
1014,GBPJPY_i,150.841,150.346,150.328,150.857,150.5925,150.51033333333334,150.46925,150.59300000000002,19556,2021-08-17 16:00:00
1015,GBPJPY_i,150.346,150.581,150.34,150.602,150.471,150.50766666666667,150.526,150.46725,8837,2021-08-17 20:00:00
1016,GBPJPY_i,150.421,150.46,150.282,150.647,150.4645,150.463,150.46225,150.4525,4562,2021-08-18 00:00:00
1017,GBPJPY_i,150.46,150.618,150.415,150.831,150.623,150.62133333333333,150.6205,150.581,6394,2021-08-18 04:00:00
1018,GBPJPY_i,150.618,150.787,150.496,150.864,150.68,150.7156666666667,150.73350000000002,150.69125000000003,9526,2021-08-18 08:00:00
1019,GBPJPY_i,150.79,151.225,150.69,151.235,150.9625,151.04999999999998,151.09375,150.98499999999999,12588,2021-08-18 12:00:00
1020,GBPJPY_i,151.226,151.194,151.02,151.257,151.13850000000002,151.157,151.16625,151.17425,16451,2021-08-18 16:00:00
1021,GBPJPY_i,151.194,150.945,150.9,151.386,151.143,151.077,151.04399999999998,151.10625,17757,2021-08-18 20:00:00
1022,GBPJPY_i,150.961,151.022,150.835,151.071,150.953,150.976,150.9875,150.97225,5054,2021-08-19 00:00:00
1023,GBPJPY_i,151.023,151.145,150.984,151.191,151.0875,151.10666666666668,151.11625,151.08575000000002,6883,2021-08-19 04:00:00
1024,GBPJPY_i,151.146,149.876,149.842,151.164,150.503,150.29399999999998,150.18949999999998,150.50699999999998,21186,2021-08-19 08:00:00
1025,GBPJPY_i,149.876,150.032,149.607,150.308,149.95749999999998,149.98233333333334,149.99475,149.95575,18817,2021-08-19 12:00:00
1026,GBPJPY_i,150.029,149.857,149.767,150.264,150.0155,149.96266666666668,149.93625,149.97925,22558,2021-08-19 16:00:00
1027,GBPJPY_i,149.857,149.631,149.62,149.895,149.7575,149.71533333333332,149.69424999999998,149.75074999999998,10469,2021-08-19 20:00:00
1028,GBPJPY_i,149.627,149.806,149.499,149.862,149.6805,149.72233333333335,149.74325000000002,149.69850000000002,4703,2021-08-20 00:00:00
1029,GBPJPY_i,149.807,149.601,149.28,149.809,149.5445,149.56333333333333,149.57274999999998,149.62425,8820,2021-08-20 04:00:00
1030,GBPJPY_i,149.601,149.381,149.163,149.601,149.382,149.38166666666666,149.3815,149.4365,15971,2021-08-20 08:00:00
1031,GBPJPY_i,149.381,149.333,149.174,149.405,149.2895,149.304,149.31125,149.32325,13097,2021-08-20 12:00:00
1032,GBPJPY_i,149.33,149.626,149.308,149.787,149.5475,149.57366666666667,149.58675,149.51275,19009,2021-08-20 16:00:00
1033,GBPJPY_i,149.626,149.555,149.52,149.665,149.5925,149.58,149.57375000000002,149.5915,6977,2021-08-20 20:00:00
1034,GBPJPY_i,149.405,149.852,149.297,149.925,149.611,149.69133333333332,149.73149999999998,149.61974999999998,6919,2021-08-23 00:00:00
1035,GBPJPY_i,149.852,149.923,149.765,149.962,149.8635,149.88333333333333,149.89325,149.8755,6574,2021-08-23 04:00:00
1036,GBPJPY_i,149.922,150.077,149.871,150.215,150.043,150.05433333333335,150.06,150.02125,14423,2021-08-23 08:00:00
1037,GBPJPY_i,150.077,150.695,150.066,150.735,150.40050000000002,150.49866666666668,150.54775,150.39325000000002,12408,2021-08-23 12:00:00
1038,GBPJPY_i,150.694,150.604,150.198,150.695,150.44650000000001,150.49900000000002,150.52525000000003,150.54775,19077,2021-08-23 16:00:00
1039,GBPJPY_i,150.605,150.525,150.494,150.644,150.56900000000002,150.55433333333335,150.547,150.567,6242,2021-08-23 20:00:00
1040,GBPJPY_i,150.372,150.524,150.343,150.575,150.459,150.48066666666668,150.4915,150.45350000000002,4887,2021-08-24 00:00:00
1041,GBPJPY_i,150.524,150.647,150.424,150.663,150.5435,150.578,150.59525,150.5645,3906,2021-08-24 04:00:00
1042,GBPJPY_i,150.647,150.489,150.263,150.99,150.62650000000002,150.5806666666667,150.55775000000003,150.59725000000003,12880,2021-08-24 08:00:00
1043,GBPJPY_i,150.488,150.168,150.091,150.673,150.382,150.31066666666666,150.275,150.35500000000002,14309,2021-08-24 12:00:00
1044,GBPJPY_i,150.169,150.51,150.034,150.673,150.3535,150.40566666666666,150.43175,150.3465,18840,2021-08-24 16:00:00
1045,GBPJPY_i,150.51,150.561,150.453,150.595,150.524,150.53633333333335,150.54250000000002,150.52975,6906,2021-08-24 20:00:00
1046,GBPJPY_i,150.468,150.643,150.432,150.714,150.57299999999998,150.59633333333332,150.608,150.56425,4763,2021-08-25 00:00:00
1047,GBPJPY_i,150.644,150.528,150.495,150.746,150.6205,150.58966666666666,150.57425,150.60325,5435,2021-08-25 04:00:00
1048,GBPJPY_i,150.529,150.65,150.423,150.915,150.66899999999998,150.66266666666664,150.65949999999998,150.62924999999998,13695,2021-08-25 08:00:00
1049,GBPJPY_i,150.65,150.692,150.589,150.767,150.678,150.68266666666668,150.685,150.6745,13241,2021-08-25 12:00:00
1050,GBPJPY_i,150.692,151.169,150.607,151.209,150.90800000000002,150.995,151.0385,150.91925,20685,2021-08-25 16:00:00
1051,GBPJPY_i,151.168,151.371,151.156,151.436,151.296,151.321,151.3335,151.28275,8809,2021-08-25 20:00:00
1052,GBPJPY_i,151.296,151.403,151.184,151.458,151.321,151.34833333333333,151.362,151.33524999999997,5468,2021-08-26 00:00:00
1053,GBPJPY_i,151.403,151.28,151.117,151.43,151.2735,151.27566666666667,151.27675,151.3075,6942,2021-08-26 04:00:00
1054,GBPJPY_i,151.28,151.313,151.148,151.57,151.35899999999998,151.34366666666665,151.33599999999998,151.32774999999998,15220,2021-08-26 08:00:00
1055,GBPJPY_i,151.313,151.064,150.972,151.436,151.204,151.15733333333333,151.134,151.19625,16647,2021-08-26 12:00:00
1056,GBPJPY_i,151.06,150.895,150.776,151.276,151.026,150.98233333333334,150.9605,151.00175000000002,24829,2021-08-26 16:00:00
1057,GBPJPY_i,150.895,150.782,150.592,150.896,150.744,150.75666666666666,150.763,150.79125,9766,2021-08-26 20:00:00
1058,GBPJPY_i,150.651,150.553,150.435,150.813,150.624,150.60033333333334,150.5885,150.613,5424,2021-08-27 00:00:00
1059,GBPJPY_i,150.555,150.582,150.478,150.663,150.5705,150.57433333333333,150.57625000000002,150.5695,5160,2021-08-27 04:00:00
1060,GBPJPY_i,150.582,150.856,150.539,151.053,150.796,150.816,150.826,150.7575,12414,2021-08-27 08:00:00
1061,GBPJPY_i,150.857,151.058,150.765,151.26,151.0125,151.02766666666665,151.03525,150.98499999999999,12399,2021-08-27 12:00:00
1062,GBPJPY_i,151.059,151.261,151.001,151.494,151.2475,151.25199999999998,151.25424999999998,151.20374999999999,31675,2021-08-27 16:00:00
1063,GBPJPY_i,151.261,151.1,151.053,151.269,151.161,151.14066666666668,151.1305,151.17075,8186,2021-08-27 20:00:00
1064,GBPJPY_i,151.046,150.992,150.97,151.215,151.0925,151.059,151.04225,151.05575,5607,2021-08-30 00:00:00
1065,GBPJPY_i,150.993,151.106,150.926,151.19,151.058,151.07399999999998,151.082,151.05374999999998,6378,2021-08-30 04:00:00
1066,GBPJPY_i,151.105,151.155,151.004,151.245,151.1245,151.13466666666667,151.13975,151.12725,10462,2021-08-30 08:00:00
1067,GBPJPY_i,151.155,151.042,150.977,151.244,151.1105,151.08766666666668,151.07625000000002,151.1045,10452,2021-08-30 12:00:00
1068,GBPJPY_i,151.042,151.151,150.972,151.212,151.09199999999998,151.11166666666665,151.1215,151.09425,15362,2021-08-30 16:00:00
1069,GBPJPY_i,151.152,151.191,151.139,151.264,151.2015,151.198,151.19625000000002,151.18650000000002,5688,2021-08-30 20:00:00
1070,GBPJPY_i,151.17,151.202,151.072,151.298,151.185,151.19066666666666,151.1935,151.1855,5165,2021-08-31 00:00:00
1071,GBPJPY_i,151.204,151.422,151.15,151.427,151.2885,151.333,151.35525,151.30075,7429,2021-08-31 04:00:00
1072,GBPJPY_i,151.422,151.307,151.272,151.569,151.4205,151.38266666666667,151.36375,151.3925,14765,2021-08-31 08:00:00
1073,GBPJPY_i,151.305,151.205,151.04,151.51,151.27499999999998,151.25166666666667,151.24,151.265,20031,2021-08-31 12:00:00
1074,GBPJPY_i,151.205,151.203,151.068,151.348,151.20800000000003,151.20633333333333,151.2055,151.20600000000002,31664,2021-08-31 16:00:00
1075,GBPJPY_i,151.207,151.28,151.162,151.311,151.2365,151.251,151.25825,151.24,8521,2021-08-31 20:00:00
1076,GBPJPY_i,151.237,151.334,151.185,151.439,151.312,151.31933333333333,151.323,151.29875,5343,2021-09-01 00:00:00
1077,GBPJPY_i,151.334,151.385,151.31,151.421,151.3655,151.37199999999999,151.37525,151.3625,6171,2021-09-01 04:00:00
1078,GBPJPY_i,151.385,151.805,151.342,151.927,151.6345,151.69133333333335,151.71975,151.61475000000002,16596,2021-09-01 08:00:00
1079,GBPJPY_i,151.805,151.67,151.551,151.909,151.73,151.71,151.7,151.73375,18401,2021-09-01 12:00:00
1080,GBPJPY_i,151.669,151.655,151.527,151.792,151.65949999999998,151.658,151.65724999999998,151.66074999999998,24076,2021-09-01 16:00:00
1081,GBPJPY_i,151.655,151.48,151.426,151.658,151.54199999999997,151.52133333333333,151.511,151.55474999999998,9826,2021-09-01 20:00:00
1082,GBPJPY_i,151.462,151.466,151.326,151.643,151.4845,151.47833333333332,151.47525000000002,151.47424999999998,5919,2021-09-02 00:00:00
1083,GBPJPY_i,151.466,151.494,151.396,151.521,151.4585,151.47033333333331,151.47625,151.46925,4749,2021-09-02 04:00:00
1084,GBPJPY_i,151.495,151.628,151.457,151.722,151.5895,151.60233333333332,151.60875,151.57549999999998,12412,2021-09-02 08:00:00
1085,GBPJPY_i,151.628,151.658,151.539,151.734,151.6365,151.6436666666667,151.64725,151.63975,12700,2021-09-02 12:00:00
1086,GBPJPY_i,151.654,152.14,151.611,152.151,151.881,151.96733333333333,152.01049999999998,151.889,19752,2021-09-02 16:00:00
1087,GBPJPY_i,152.14,152.038,152.018,152.176,152.09699999999998,152.0773333333333,152.0675,152.093,8784,2021-09-02 20:00:00
1088,GBPJPY_i,152.049,152.102,151.958,152.199,152.07850000000002,152.08633333333333,152.09025,152.077,4709,2021-09-03 00:00:00
1089,GBPJPY_i,152.103,152.173,151.963,152.271,152.117,152.13566666666665,152.14499999999998,152.1275,8900,2021-09-03 04:00:00
1090,GBPJPY_i,152.172,152.121,152.0,152.235,152.1175,152.11866666666666,152.11925,152.132,12389,2021-09-03 08:00:00
1091,GBPJPY_i,152.126,152.127,151.746,152.188,151.96699999999998,152.02033333333333,152.047,152.04675,20318,2021-09-03 12:00:00
1092,GBPJPY_i,152.128,152.088,151.766,152.2,151.983,152.018,152.03549999999998,152.0455,26518,2021-09-03 16:00:00
1093,GBPJPY_i,152.089,152.025,151.983,152.272,152.1275,152.09333333333333,152.07625,152.09224999999998,7640,2021-09-03 20:00:00
1094,GBPJPY_i,152.042,152.12,151.939,152.176,152.0575,152.07833333333335,152.08875,152.06925,5940,2021-09-06 00:00:00
1095,GBPJPY_i,152.12,151.994,151.964,152.176,152.07,152.04466666666667,152.032,152.0635,5864,2021-09-06 04:00:00
1096,GBPJPY_i,151.994,152.089,151.945,152.236,152.0905,152.09,152.08974999999998,152.066,9817,2021-09-06 08:00:00
1097,GBPJPY_i,152.089,151.978,151.951,152.13,152.0405,152.01966666666667,152.00925,152.037,8987,2021-09-06 12:00:00
1098,GBPJPY_i,151.979,151.932,151.775,151.998,151.8865,151.90166666666667,151.90925000000001,151.92100000000002,8964,2021-09-06 16:00:00
1099,GBPJPY_i,151.931,151.881,151.845,151.973,151.909,151.89966666666666,151.89499999999998,151.9075,6272,2021-09-06 20:00:00
1100,GBPJPY_i,151.894,152.002,151.743,152.034,151.8885,151.92633333333333,151.94525,151.91825,7380,2021-09-07 00:00:00
1101,GBPJPY_i,152.002,151.94,151.906,152.116,152.01100000000002,151.98733333333334,151.9755,151.991,8212,2021-09-07 04:00:00
1102,GBPJPY_i,151.943,151.869,151.811,152.197,152.00400000000002,151.95900000000003,151.93650000000002,151.955,17592,2021-09-07 08:00:00
1103,GBPJPY_i,151.868,151.68,151.474,151.975,151.72449999999998,151.70966666666666,151.70225,151.74925,17775,2021-09-07 12:00:00
1104,GBPJPY_i,151.68,151.957,151.616,151.96,151.788,151.84433333333334,151.8725,151.80325,20620,2021-09-07 16:00:00
1105,GBPJPY_i,151.956,151.939,151.912,152.057,151.9845,151.96933333333334,151.96175,151.966,10295,2021-09-07 20:00:00
1106,GBPJPY_i,151.944,151.986,151.876,152.029,151.9525,151.96366666666665,151.96925,151.95874999999998,6919,2021-09-08 00:00:00
1107,GBPJPY_i,151.987,151.969,151.92,152.069,151.9945,151.986,151.98174999999998,151.98624999999998,9186,2021-09-08 04:00:00
1108,GBPJPY_i,151.969,151.593,151.444,152.011,151.7275,151.68266666666668,151.66025,151.75425,25676,2021-09-08 08:00:00
1109,GBPJPY_i,151.593,151.732,151.564,151.878,151.721,151.72466666666665,151.7265,151.69174999999998,20993,2021-09-08 12:00:00
1110,GBPJPY_i,151.731,151.846,151.464,151.94,151.702,151.75,151.774,151.74525,31584,2021-09-08 16:00:00
1111,GBPJPY_i,151.846,151.786,151.779,151.887,151.833,151.81733333333332,151.8095,151.8245,13823,2021-09-08 20:00:00
1112,GBPJPY_i,151.782,151.639,151.601,151.885,151.743,151.70833333333334,151.691,151.72675,6618,2021-09-09 00:00:00
1113,GBPJPY_i,151.638,151.521,151.479,151.682,151.5805,151.56066666666666,151.55075,151.58,12641,2021-09-09 04:00:00
1114,GBPJPY_i,151.522,151.746,151.398,151.778,151.588,151.64066666666668,151.667,151.611,23391,2021-09-09 08:00:00
1115,GBPJPY_i,151.746,152.046,151.665,152.105,151.885,151.93866666666665,151.9655,151.8905,25679,2021-09-09 12:00:00
1116,GBPJPY_i,152.04,151.986,151.886,152.146,152.016,152.006,152.00099999999998,152.0145,29184,2021-09-09 16:00:00
1117,GBPJPY_i,151.985,151.73,151.695,152.0,151.8475,151.8083333333333,151.78875,151.8525,15415,2021-09-09 20:00:00
1118,GBPJPY_i,151.73,151.825,151.696,151.937,151.81650000000002,151.81933333333333,151.82075,151.797,5573,2021-09-10 00:00:00
1119,GBPJPY_i,151.825,152.15,151.76,152.18,151.97,152.03,152.06,151.97875,9990,2021-09-10 04:00:00
1120,GBPJPY_i,152.15,152.493,152.079,152.615,152.347,152.39566666666667,152.42000000000002,152.33425,17545,2021-09-10 08:00:00
1121,GBPJPY_i,152.493,152.498,152.38,152.586,152.483,152.488,152.4905,152.48925,17419,2021-09-10 12:00:00
1122,GBPJPY_i,152.498,152.268,152.07,152.51,152.29,152.28266666666664,152.279,152.3365,25339,2021-09-10 16:00:00
1123,GBPJPY_i,152.268,151.978,151.918,152.268,152.09300000000002,152.0546666666667,152.0355,152.108,13194,2021-09-10 20:00:00
1124,GBPJPY_i,152.027,152.115,151.835,152.149,151.99200000000002,152.03300000000002,152.0535,152.0315,7974,2021-09-13 00:00:00
1125,GBPJPY_i,152.116,152.024,151.958,152.185,152.07150000000001,152.05566666666667,152.04775,152.07075,15099,2021-09-13 04:00:00
1126,GBPJPY_i,152.023,152.118,151.916,152.192,152.054,152.07533333333333,152.086,152.06225,25214,2021-09-13 08:00:00
1127,GBPJPY_i,152.118,152.258,152.078,152.3,152.18900000000002,152.21200000000002,152.22350000000003,152.18850000000003,18351,2021-09-13 12:00:00
1128,GBPJPY_i,152.258,152.167,151.886,152.303,152.09449999999998,152.11866666666666,152.13075,152.1535,24283,2021-09-13 16:00:00
1129,GBPJPY_i,152.168,152.148,152.069,152.249,152.159,152.15533333333335,152.1535,152.1585,10860,2021-09-13 20:00:00
1130,GBPJPY_i,152.063,152.269,152.057,152.28,152.1685,152.202,152.21875,152.16725,4321,2021-09-14 00:00:00
1131,GBPJPY_i,152.267,152.293,152.26,152.425,152.3425,152.326,152.31775,152.31125,8338,2021-09-14 04:00:00
1132,GBPJPY_i,152.293,152.56,152.215,152.686,152.4505,152.487,152.50525,152.4385,18035,2021-09-14 08:00:00
1133,GBPJPY_i,152.561,152.736,152.462,152.825,152.6435,152.67433333333332,152.68975,152.646,20857,2021-09-14 12:00:00
1134,GBPJPY_i,152.736,151.802,151.724,152.816,152.26999999999998,152.114,152.036,152.2695,29546,2021-09-14 16:00:00
1135,GBPJPY_i,151.805,151.409,151.3,151.813,151.5565,151.50733333333332,151.48275,151.58175,13849,2021-09-14 20:00:00
1136,GBPJPY_i,151.41,151.222,151.208,151.522,151.365,151.31733333333332,151.2935,151.3405,6691,2021-09-15 00:00:00
1137,GBPJPY_i,151.222,151.338,151.105,151.359,151.232,151.26733333333334,151.285,151.256,7930,2021-09-15 04:00:00
1138,GBPJPY_i,151.338,151.229,151.198,151.537,151.3675,151.32133333333334,151.29825000000002,151.3255,19296,2021-09-15 08:00:00
1139,GBPJPY_i,151.228,151.17,150.806,151.259,151.0325,151.07833333333335,151.10125,151.11575,21710,2021-09-15 12:00:00
1140,GBPJPY_i,151.17,151.233,151.004,151.448,151.226,151.22833333333332,151.2295,151.21375,28734,2021-09-15 16:00:00
1141,GBPJPY_i,151.234,151.3,151.216,151.424,151.32,151.31333333333333,151.31,151.2935,9273,2021-09-15 20:00:00
1142,GBPJPY_i,151.315,151.457,151.193,151.543,151.368,151.39766666666665,151.4125,151.377,5283,2021-09-16 00:00:00
1143,GBPJPY_i,151.457,151.163,151.147,151.457,151.302,151.25566666666666,151.23250000000002,151.30599999999998,6333,2021-09-16 04:00:00
1144,GBPJPY_i,151.162,151.172,150.978,151.266,151.122,151.1386666666667,151.14700000000002,151.14450000000002,17314,2021-09-16 08:00:00
1145,GBPJPY_i,151.171,151.427,151.046,151.534,151.29,151.33566666666664,151.3585,151.29449999999997,22162,2021-09-16 12:00:00
1146,GBPJPY_i,151.426,151.221,150.85,151.427,151.1385,151.166,151.17975,151.231,25198,2021-09-16 16:00:00
1147,GBPJPY_i,151.219,151.279,151.101,151.382,151.2415,151.254,151.26024999999998,151.24525,12301,2021-09-16 20:00:00
1148,GBPJPY_i,151.278,151.327,151.118,151.397,151.2575,151.28066666666666,151.29225,151.28,5684,2021-09-17 00:00:00
1149,GBPJPY_i,151.327,151.614,151.317,151.616,151.4665,151.51566666666668,151.54025000000001,151.4685,7321,2021-09-17 04:00:00
1150,GBPJPY_i,151.614,151.693,151.45,151.85,151.64999999999998,151.6643333333333,151.67149999999998,151.65175,17371,2021-09-17 08:00:00
1151,GBPJPY_i,151.693,151.78,151.472,151.823,151.6475,151.6916666666667,151.71375,151.692,20323,2021-09-17 12:00:00
1152,GBPJPY_i,151.779,151.165,151.049,151.908,151.4785,151.374,151.32174999999998,151.47525,28057,2021-09-17 16:00:00
1153,GBPJPY_i,151.164,150.938,150.935,151.207,151.071,151.02666666666667,151.0045,151.06099999999998,10962,2021-09-17 20:00:00
1154,GBPJPY_i,150.991,150.972,150.821,151.108,150.9645,150.96699999999998,150.96824999999998,150.97299999999998,4547,2021-09-20 00:00:00
1155,GBPJPY_i,150.972,150.619,150.569,150.978,150.7735,150.722,150.69625000000002,150.7845,6634,2021-09-20 04:00:00
1156,GBPJPY_i,150.619,149.955,149.791,150.704,150.2475,150.15,150.10125000000002,150.26725000000002,20500,2021-09-20 08:00:00
1157,GBPJPY_i,149.955,149.665,149.383,150.175,149.779,149.74099999999999,149.72199999999998,149.7945,23656,2021-09-20 12:00:00
1158,GBPJPY_i,149.666,149.243,149.242,150.024,149.63299999999998,149.503,149.438,149.54375,29434,2021-09-20 16:00:00
1159,GBPJPY_i,149.243,149.336,149.156,149.52,149.33800000000002,149.33733333333336,149.33700000000002,149.31375000000003,15279,2021-09-20 20:00:00
1160,GBPJPY_i,149.336,149.553,149.233,149.647,149.44,149.47766666666666,149.4965,149.44225,6833,2021-09-21 00:00:00
1161,GBPJPY_i,149.551,149.811,149.499,149.882,149.6905,149.73066666666668,149.75075,149.68574999999998,9517,2021-09-21 04:00:00
1162,GBPJPY_i,149.81,149.898,149.626,150.114,149.87,149.87933333333334,149.88400000000001,149.86200000000002,19367,2021-09-21 08:00:00
1163,GBPJPY_i,149.9,149.358,149.323,150.005,149.664,149.56199999999998,149.511,149.6465,19338,2021-09-21 12:00:00
1164,GBPJPY_i,149.358,149.235,148.93,149.507,149.2185,149.22400000000002,149.22675,149.2575,32157,2021-09-21 16:00:00
1165,GBPJPY_i,149.235,149.126,149.109,149.323,149.216,149.186,149.171,149.19825,16816,2021-09-21 20:00:00
1166,GBPJPY_i,149.118,149.166,148.988,149.246,149.11700000000002,149.13333333333335,149.1415,149.1295,9535,2021-09-22 00:00:00
1167,GBPJPY_i,149.166,149.49,149.086,149.712,149.399,149.42933333333335,149.4445,149.3635,13446,2021-09-22 04:00:00
