,GBPSGD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
586,GBPSGD_i,1.85906,1.86417,1.85893,1.86623,1.86258,1.86311,1.863375,1.8620975,12543,2021-05-10 08:00:00
587,GBPSGD_i,1.8641,1.8707099999999999,1.8636599999999999,1.8720400000000001,1.86785,1.8688033333333334,1.86928,1.8676275000000002,10620,2021-05-10 12:00:00
588,GBPSGD_i,1.8707,1.87158,1.86744,1.87198,1.86971,1.8703333333333332,1.870645,1.870425,13356,2021-05-10 16:00:00
589,GBPSGD_i,1.87157,1.87148,1.8708200000000001,1.8738899999999998,1.872355,1.8720633333333332,1.8719175,1.87194,7321,2021-05-10 20:00:00
590,GBPSGD_i,1.86783,1.87191,1.86783,1.87355,1.8706900000000002,1.8710966666666666,1.8713,1.8702800000000002,3700,2021-05-11 00:00:00
591,GBPSGD_i,1.87191,1.8726099999999999,1.8706800000000001,1.87398,1.87233,1.872423333333333,1.8724699999999999,1.8722949999999998,6438,2021-05-11 04:00:00
592,GBPSGD_i,1.8726500000000001,1.87366,1.87059,1.87503,1.8728099999999999,1.8730933333333333,1.873235,1.8729825,11057,2021-05-11 08:00:00
593,GBPSGD_i,1.87366,1.87469,1.87031,1.87477,1.8725399999999999,1.8732566666666666,1.873615,1.8733575,10473,2021-05-11 12:00:00
594,GBPSGD_i,1.87469,1.87602,1.87141,1.8762699999999999,1.87384,1.8745666666666665,1.87493,1.8745975,17306,2021-05-11 16:00:00
595,GBPSGD_i,1.87598,1.87242,1.87174,1.8760400000000002,1.87389,1.8734000000000002,1.8731550000000001,1.8740450000000002,6707,2021-05-11 20:00:00
596,GBPSGD_i,1.8730799999999999,1.8732600000000001,1.86971,1.87499,1.87235,1.8726533333333333,1.872805,1.87276,3459,2021-05-12 00:00:00
597,GBPSGD_i,1.8732600000000001,1.8742299999999998,1.8713899999999999,1.87442,1.8729049999999998,1.8733466666666665,1.8735674999999998,1.873325,6322,2021-05-12 04:00:00
598,GBPSGD_i,1.8742299999999998,1.8763100000000001,1.87347,1.8767,1.875085,1.8754933333333332,1.8756975,1.8751775,9480,2021-05-12 08:00:00
599,GBPSGD_i,1.8763100000000001,1.87684,1.87045,1.8777300000000001,1.87409,1.8750066666666667,1.8754650000000002,1.8753325,13204,2021-05-12 12:00:00
600,GBPSGD_i,1.87682,1.87282,1.8726500000000001,1.87883,1.87574,1.8747666666666667,1.87428,1.87528,21773,2021-05-12 16:00:00
601,GBPSGD_i,1.87279,1.8732199999999999,1.87183,1.87467,1.87325,1.87324,1.873235,1.8731275,7868,2021-05-12 20:00:00
602,GBPSGD_i,1.87242,1.87351,1.86781,1.8755600000000001,1.871685,1.8722933333333334,1.8725975,1.872325,4951,2021-05-13 00:00:00
603,GBPSGD_i,1.87351,1.87399,1.87264,1.8744399999999999,1.87354,1.8736899999999999,1.873765,1.8736449999999998,7271,2021-05-13 04:00:00
604,GBPSGD_i,1.87402,1.8718,1.8703699999999999,1.8751799999999998,1.8727749999999999,1.87245,1.8722875,1.8728425,13946,2021-05-13 08:00:00
605,GBPSGD_i,1.8718,1.87049,1.8690099999999998,1.87271,1.87086,1.8707366666666667,1.870675,1.8710025,13390,2021-05-13 12:00:00
606,GBPSGD_i,1.87054,1.8701400000000001,1.86907,1.87243,1.8707500000000001,1.8705466666666668,1.8704450000000001,1.8705450000000001,15874,2021-05-13 16:00:00
607,GBPSGD_i,1.8701400000000001,1.87192,1.86875,1.8738899999999998,1.8713199999999999,1.87152,1.87162,1.871175,9815,2021-05-13 20:00:00
608,GBPSGD_i,1.87062,1.8721100000000002,1.8672,1.87359,1.870395,1.8709666666666667,1.8712525,1.8708799999999999,4242,2021-05-14 00:00:00
609,GBPSGD_i,1.8721100000000002,1.87453,1.8713,1.8757700000000002,1.873535,1.8738666666666666,1.8740325,1.8734275,5538,2021-05-14 04:00:00
610,GBPSGD_i,1.87453,1.87533,1.8738899999999998,1.8774199999999999,1.8756549999999999,1.8755466666666667,1.8754925,1.8752925,11281,2021-05-14 08:00:00
611,GBPSGD_i,1.87533,1.87574,1.87357,1.8765399999999999,1.875055,1.8752833333333332,1.8753975,1.875295,11762,2021-05-14 12:00:00
612,GBPSGD_i,1.87578,1.87702,1.87432,1.87755,1.8759350000000001,1.8762966666666667,1.8764775,1.8761675,12765,2021-05-14 16:00:00
613,GBPSGD_i,1.8770099999999998,1.87612,1.87436,1.87754,1.87595,1.8760066666666668,1.8760350000000001,1.8762575,4775,2021-05-14 20:00:00
614,GBPSGD_i,1.8771200000000001,1.8780700000000001,1.8745500000000002,1.87908,1.8768150000000001,1.8772333333333335,1.8774425000000001,1.877205,2710,2021-05-17 00:00:00
615,GBPSGD_i,1.8780700000000001,1.87939,1.8776199999999998,1.88039,1.8790049999999998,1.879133333333333,1.8791974999999999,1.8788675,5333,2021-05-17 04:00:00
616,GBPSGD_i,1.87939,1.88279,1.8788200000000002,1.88308,1.8809500000000001,1.8815633333333335,1.8818700000000002,1.8810200000000001,10612,2021-05-17 08:00:00
617,GBPSGD_i,1.88279,1.8817599999999999,1.88005,1.88375,1.8819,1.8818533333333332,1.88183,1.8820875,10907,2021-05-17 12:00:00
618,GBPSGD_i,1.8817599999999999,1.88557,1.88069,1.8857300000000001,1.88321,1.8839966666666665,1.8843899999999998,1.8834374999999999,14047,2021-05-17 16:00:00
619,GBPSGD_i,1.88556,1.88632,1.88518,1.8875199999999999,1.88635,1.88634,1.8863349999999999,1.886145,4559,2021-05-17 20:00:00
620,GBPSGD_i,1.8851200000000001,1.8867699999999998,1.88117,1.88848,1.884825,1.8854733333333333,1.8857974999999998,1.8853849999999999,2507,2021-05-18 00:00:00
621,GBPSGD_i,1.8867699999999998,1.8856600000000001,1.88563,1.88855,1.88709,1.8866133333333333,1.8863750000000001,1.8866524999999998,5132,2021-05-18 04:00:00
622,GBPSGD_i,1.8856600000000001,1.88744,1.88369,1.88764,1.885665,1.8862566666666665,1.8865524999999999,1.8861075,10868,2021-05-18 08:00:00
623,GBPSGD_i,1.88744,1.88683,1.8846699999999998,1.88898,1.886825,1.8868266666666667,1.8868274999999999,1.8869799999999999,10840,2021-05-18 12:00:00
624,GBPSGD_i,1.88683,1.88532,1.88513,1.8881299999999999,1.8866299999999998,1.8861933333333332,1.885975,1.8863524999999999,14700,2021-05-18 16:00:00
625,GBPSGD_i,1.88531,1.8856199999999999,1.88394,1.88669,1.8853149999999999,1.8854166666666667,1.8854674999999999,1.8853900000000001,4662,2021-05-18 20:00:00
626,GBPSGD_i,1.88452,1.88689,1.88293,1.8872200000000001,1.885075,1.88568,1.8859825000000001,1.8853900000000001,2545,2021-05-19 00:00:00
627,GBPSGD_i,1.88689,1.88449,1.88399,1.88762,1.885805,1.8853666666666669,1.8851475,1.8857475000000001,5849,2021-05-19 04:00:00
628,GBPSGD_i,1.88449,1.8862100000000002,1.88315,1.8872499999999999,1.8852,1.8855366666666669,1.8857050000000002,1.885275,12846,2021-05-19 08:00:00
629,GBPSGD_i,1.88626,1.8852600000000002,1.8834499999999998,1.88707,1.88526,1.88526,1.8852600000000002,1.88551,13731,2021-05-19 12:00:00
630,GBPSGD_i,1.88527,1.884,1.8816000000000002,1.8865699999999999,1.884085,1.8840566666666667,1.8840425,1.88436,21181,2021-05-19 16:00:00
631,GBPSGD_i,1.88396,1.88272,1.8811900000000001,1.88464,1.8829150000000001,1.8828500000000001,1.8828175,1.8831275,15813,2021-05-19 20:00:00
632,GBPSGD_i,1.88182,1.8816899999999999,1.87917,1.88382,1.8814950000000001,1.8815600000000001,1.8815925,1.881625,3754,2021-05-20 00:00:00
633,GBPSGD_i,1.8816899999999999,1.8808,1.87962,1.88171,1.880665,1.8807099999999999,1.8807325,1.880955,6836,2021-05-20 04:00:00
634,GBPSGD_i,1.8808099999999999,1.8795,1.8789099999999999,1.88249,1.8807,1.8803,1.8801,1.8804275000000001,10965,2021-05-20 08:00:00
635,GBPSGD_i,1.87947,1.8809,1.8791600000000002,1.8823400000000001,1.8807500000000001,1.8808,1.8808250000000002,1.8804675,11410,2021-05-20 12:00:00
636,GBPSGD_i,1.8808500000000001,1.88625,1.88022,1.88662,1.88342,1.8843633333333336,1.8848350000000003,1.8834850000000003,14584,2021-05-20 16:00:00
637,GBPSGD_i,1.88624,1.88592,1.8835899999999999,1.8878,1.885695,1.88577,1.8858074999999999,1.8858875,6155,2021-05-20 20:00:00
638,GBPSGD_i,1.88692,1.88554,1.88432,1.88781,1.8860649999999999,1.8858899999999998,1.8858024999999998,1.8861474999999999,2794,2021-05-21 00:00:00
639,GBPSGD_i,1.8855499999999998,1.88638,1.8843800000000002,1.88673,1.885555,1.8858300000000001,1.8859675,1.8857599999999999,5676,2021-05-21 04:00:00
640,GBPSGD_i,1.88638,1.8896199999999999,1.88534,1.8896199999999999,1.88748,1.8881933333333334,1.88855,1.88774,11231,2021-05-21 08:00:00
641,GBPSGD_i,1.8896199999999999,1.8864800000000002,1.88567,1.8913600000000002,1.888515,1.8878366666666668,1.8874975000000003,1.8882825,12718,2021-05-21 12:00:00
642,GBPSGD_i,1.8864800000000002,1.88354,1.88283,1.88769,1.8852600000000002,1.8846866666666668,1.8844,1.885135,15485,2021-05-21 16:00:00
643,GBPSGD_i,1.8835,1.8833199999999999,1.8819,1.88503,1.883465,1.8834166666666665,1.8833924999999998,1.8834374999999999,5197,2021-05-21 20:00:00
644,GBPSGD_i,1.88132,1.8822999999999999,1.87964,1.8834300000000002,1.881535,1.8817899999999999,1.8819175,1.8816725,3742,2021-05-24 00:00:00
645,GBPSGD_i,1.88231,1.8812,1.88028,1.8826800000000001,1.88148,1.8813866666666668,1.88134,1.8816175,5669,2021-05-24 04:00:00
646,GBPSGD_i,1.8812,1.87985,1.87706,1.88353,1.8802949999999998,1.8801466666666666,1.8800725,1.88041,10553,2021-05-24 08:00:00
647,GBPSGD_i,1.87987,1.87888,1.8759000000000001,1.88043,1.878165,1.8784033333333336,1.8785225000000003,1.8787700000000003,11007,2021-05-24 12:00:00
648,GBPSGD_i,1.87888,1.8787500000000001,1.87816,1.8805800000000001,1.8793700000000002,1.8791633333333335,1.8790600000000002,1.8790925,10597,2021-05-24 16:00:00
