,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
49,open,508,902,35,macdh,155,106,6,34,0.43,239,183,179,194,119,230,46,157,164,15,797,137,41,370,403,226,180,75,202,321,293,214,986,198,865,654,795,93,691,3,268,979,1506,9,811,5,47,186,42,570,9,2,0.7,0.68,3,27,0.81,0.94,0.95,0.8,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,-1,True,False
50,open,363,1060,24,macds,25,159,6,10,0.13,305,921,209,56,412,84,106,217,75,192,289,35,3,136,694,428,106,71,185,590,483,181,383,852,35,948,14,525,592,959,100,529,1860,25,616,44,60,84,4,256,35,22,0.48,0.71,8,17,0.85,0.92,0.84,0.89,True,True,False,True,False,False,True,True,True,False,True,True,False,False,True,True,False,-1,True,False
51,OHLC/4,721,847,50,macdh,171,186,6,50,0.69,453,776,58,107,16,92,172,605,10,99,118,216,228,692,811,163,316,64,463,456,135,40,969,599,744,223,636,680,219,848,407,1023,1424,28,802,33,46,72,41,629,33,21,0.21,0.41,28,12,0.8,0.83,0.96,0.94,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,-1,True,False
52,HL/2,395,1231,44,macd,103,206,6,8,0.41,2803,831,53,145,792,158,105,401,91,118,104,210,164,443,733,590,471,318,972,440,326,38,269,298,536,2,364,89,11,470,367,999,2075,31,542,49,87,142,34,824,8,48,0.33,0.72,39,6,0.81,0.85,0.88,0.87,True,True,False,True,False,False,False,False,True,False,False,True,True,True,False,True,False,-1,True,False
53,OHLC/4,663,789,47,macds,66,47,6,24,0.11,585,291,51,138,484,47,5,381,36,44,126,64,76,231,341,313,487,81,824,291,213,157,132,180,718,669,884,743,80,349,440,1079,2312,22,121,6,47,128,19,53,37,34,0.59,0.98,15,3,0.97,0.8,0.91,0.96,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False,-1,True,False
54,open,631,1116,34,macd,16,229,6,27,0.4,280,286,228,176,803,175,70,250,128,243,719,245,151,2,969,766,290,147,981,720,381,342,517,478,703,581,146,768,353,375,385,697,469,34,513,387,771,174,27,640,22,2,0.07,0.92,30,27,0.91,0.8,0.8,0.8,True,True,False,False,False,False,True,False,True,False,False,True,True,True,False,True,True,-1,True,False
55,HLCC/4,216,404,27,macd,6,50,6,3,0.89,731,574,60,238,954,177,173,464,61,212,43,171,173,170,619,686,262,228,950,930,449,23,265,141,268,401,609,386,964,856,140,1206,2256,19,137,433,653,187,15,886,43,16,0.1,0.15,2,36,0.81,0.94,0.9,0.8,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,-1,True,False
56,HLC/3,623,884,7,macdh,105,7,6,46,0.92,1856,218,22,211,20,175,207,315,24,209,42,155,149,635,519,923,267,8,927,545,126,18,886,719,434,689,646,590,454,109,295,1198,32,19,131,43,77,16,10,233,6,27,0.8,0.98,36,1,0.96,0.87,0.99,0.86,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,-1,True,False
57,OHLC/4,15,38,45,macdh,40,189,4,34,0.23,1520,409,190,71,621,138,104,781,49,98,221,12,242,960,733,343,390,224,131,879,392,362,730,107,529,550,597,42,295,961,27,1020,1291,4,183,19,62,98,29,973,8,9,0.87,0.24,32,47,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,-1,True,False
58,OHLC/4,48,511,13,macds,132,127,6,41,0.17,2568,96,62,164,870,98,166,254,105,10,532,206,122,460,796,860,444,160,95,283,218,122,673,113,438,936,405,470,344,227,458,1224,1950,18,748,32,39,174,35,871,13,50,0.37,0.23,11,19,0.83,0.95,0.91,0.99,True,False,True,True,False,False,True,True,True,True,False,False,True,True,False,False,True,-1,True,False
